tenure,monthly_charges,total_charges,num_products,support_calls,contract_type,payment_method,age_group,region,internet_service,online_backup,tech_support,churn
15,59.54,873.36,3,5,1,1,0,2,1,1,1,1
45,88.72,3791.47,5,3,0,3,0,1,0,0,1,1
65,101.48,7389.13,5,1,2,0,1,2,2,0,0,0
71,61.74,3855.98,4,2,0,2,3,3,1,1,0,0
9,50.97,406.01,4,3,0,0,1,3,1,1,1,0
1,113.78,106.93,2,0,2,1,2,2,1,1,1,0
8,87.71,798.51,2,2,2,1,1,3,0,0,0,0
63,31.9,2090.07,2,3,1,2,2,0,2,0,1,0
11,26.89,300.63,4,2,0,0,1,0,0,0,1,0
8,68.35,580.53,3,0,0,0,1,1,1,0,1,1
35,42.01,1433.91,1,1,0,2,1,2,0,0,1,0
35,45.4,1711.97,2,1,0,2,2,1,1,0,0,1
33,107.77,3442.47,1,2,2,2,1,0,1,1,1,0
5,28.96,158.96,5,2,0,2,2,1,1,1,1,0
41,91.54,3490.99,4,3,0,1,1,3,0,0,0,1
28,47.11,1231.16,5,4,1,1,2,2,1,1,0,0
7,96.03,676.74,2,2,2,2,3,2,0,1,0,1
12,92.24,1083.9,3,0,0,3,2,2,1,1,0,1
34,20.74,736.46,2,0,0,2,1,0,0,0,0,1
33,70.91,2244.87,1,3,0,3,2,3,1,0,0,1
48,33.93,1497.08,2,2,0,3,0,0,0,0,0,0
23,106.62,2430.11,3,1,0,0,1,3,2,1,0,1
62,107.16,6765.33,3,5,1,3,1,3,1,1,0,0
37,61.83,2042.57,4,1,0,3,1,2,0,0,0,0
44,64.44,2883.59,4,3,0,3,2,0,0,1,1,0
35,50.33,1665.98,3,4,0,1,2,1,1,0,0,1
65,91.66,5765.71,3,4,2,0,1,1,2,0,0,0
47,55.87,2451.87,1,6,1,0,1,2,0,1,0,0
3,46.78,158.5,2,1,2,3,1,0,2,1,1,1
1,63.22,66.7,4,4,0,1,1,3,1,1,0,1
5,29.15,135.36,1,4,2,2,1,2,2,0,0,1
14,94.66,1382.91,2,1,0,1,1,1,2,1,1,1
27,21.26,634.04,4,1,0,0,2,1,2,1,0,0
9,84.45,737.61,1,3,1,3,2,3,0,1,0,1
15,38.29,631.14,5,7,1,1,1,0,2,1,1,1
42,43.24,1627.81,5,7,2,3,3,1,0,0,0,1
51,83.56,4674.4,4,1,1,2,1,0,1,1,0,1
63,119.29,7606.39,1,2,0,1,2,0,1,0,0,0
52,97.77,4661.6,2,3,0,2,0,1,1,0,0,0
4,42.58,165.59,2,2,0,2,2,1,1,1,0,1
23,37.6,991.47,1,4,0,0,1,2,2,1,0,1
15,106.62,1735.4,5,3,1,0,2,0,2,0,0,1
43,64.42,2832.39,1,0,1,3,1,2,1,0,1,1
29,33.71,864.61,5,1,2,2,1,0,1,1,1,0
36,106.22,3729.68,5,1,1,2,2,1,0,1,0,1
13,101.61,1227.02,2,4,1,0,2,0,1,0,0,0
32,118.39,3300.92,4,5,0,2,1,2,1,1,0,1
71,110.97,7978.94,3,2,0,1,1,0,2,0,0,1
59,105.18,6930.1,1,2,2,2,0,1,2,1,1,0
28,25.26,744.46,5,6,2,2,0,2,1,1,0,0
66,30.44,1858.26,1,2,0,0,0,0,2,0,1,0
42,76.9,3301.03,4,3,2,0,1,0,2,0,1,1
45,73.15,3729.35,4,2,1,3,2,0,0,0,1,0
62,65.8,4352.18,3,5,2,0,2,0,1,0,0,0
57,59.68,3595.06,3,0,0,1,2,3,1,0,0,1
6,63.12,431.92,5,0,1,2,2,0,1,0,0,1
28,76.93,2347.17,3,0,0,3,2,1,0,1,1,0
28,20.21,504.13,5,1,1,2,1,1,1,1,0,0
44,46.07,1934.46,2,3,0,0,3,2,0,1,0,0
30,71.83,2455.53,5,1,0,2,2,0,2,1,0,0
62,92.22,5700.08,3,3,1,2,1,3,2,0,0,0
62,37.42,2049.5,1,1,0,1,3,3,1,0,0,0
1,74.69,73.76,3,3,1,2,0,1,0,0,0,0
27,91.45,2614.96,4,1,1,1,2,3,1,0,1,0
62,64.46,4593.26,3,4,2,2,0,1,1,1,1,0
3,22.71,64.53,2,1,0,0,2,0,2,1,0,1
70,64.93,4564.08,5,6,0,3,2,2,0,1,1,1
27,49.64,1493.08,4,6,0,0,2,0,2,1,1,1
9,112.96,972.54,5,3,0,3,2,3,1,0,0,1
62,32.46,1776.68,5,1,1,2,2,2,0,1,0,0
37,85.25,3578.97,3,1,0,0,1,2,0,0,1,0
51,25.27,1284.4,1,2,0,1,3,1,2,1,1,0
44,64.62,2845.52,4,2,0,0,1,2,1,1,1,0
24,75.4,1875.35,2,0,0,1,3,1,2,0,1,1
59,49.8,2500.36,2,2,2,2,2,3,2,1,1,0
32,65.51,2367.37,1,1,2,2,1,1,1,0,1,0
52,36.36,1811.9,1,5,1,3,0,0,1,1,1,0
62,50.41,3028.92,3,1,0,0,1,3,0,0,1,0
58,82.11,4296.81,2,1,2,2,3,0,2,1,1,0
52,50.18,2513.98,4,2,2,3,1,3,1,0,0,0
12,109.97,1440.03,1,0,2,3,1,2,1,1,1,1
39,82.84,3521.55,1,1,1,2,1,3,2,1,1,1
2,63.86,144.43,1,3,0,1,1,0,0,0,0,0
3,23.88,69.55,4,0,0,1,1,3,1,1,1,0
56,69.95,4162.77,2,4,2,3,1,0,1,0,0,0
59,96.48,5704.54,4,1,2,2,3,2,0,1,1,0
2,46.56,101.6,4,0,0,0,2,0,0,0,1,0
2,100.68,214.19,3,4,0,0,2,1,1,0,0,1
54,45.18,2343.07,1,3,1,3,2,3,1,1,0,0
1,102.37,97.36,2,1,2,0,1,0,1,1,1,1
19,28.53,501.76,3,3,1,2,3,0,2,1,0,0
2,106.62,218.13,3,2,1,0,0,0,1,1,1,1
53,69.92,4221.35,5,3,0,0,1,1,1,1,1,1
44,49.65,1988.18,1,1,0,2,1,2,0,0,0,1
32,46.51,1307.64,2,1,1,1,2,1,0,1,0,0
70,63.2,3918.93,2,2,2,1,1,2,1,1,0,0
32,119.9,4162.83,2,1,0,3,2,1,1,0,1,1
68,42.03,2729.7,1,6,0,2,3,0,2,0,1,1
55,30.32,1529.79,2,3,1,1,2,1,1,1,0,0
56,78.5,4202.12,4,5,0,0,1,3,1,0,0,1
17,68.85,1221.56,4,1,1,3,2,2,1,0,1,0
38,72.42,2790.57,1,1,1,2,3,0,1,0,0,0
24,86.69,2232.69,2,3,1,2,1,2,1,1,1,1
69,46.71,3067.68,5,0,2,3,0,0,2,1,1,0
70,111.07,7662.77,5,1,0,1,0,0,1,1,0,0
11,63.57,615.74,5,0,1,3,1,3,1,1,1,1
16,32.91,459.1,4,2,0,3,2,1,2,0,0,1
59,94.23,5496.61,5,2,2,2,2,3,2,0,1,1
70,84.31,5550.45,2,2,2,2,1,2,2,0,0,0
3,51.57,159.96,2,1,0,0,2,1,1,0,1,1
20,82.15,1417.78,5,1,0,3,2,2,1,1,0,1
59,41.99,2196.1,3,1,0,2,2,1,2,1,0,0
36,64.48,2575.75,5,1,1,2,1,3,2,0,1,0
19,109.94,2130.44,3,1,0,2,1,0,1,0,0,1
67,33.35,2376.84,1,0,1,2,1,2,2,1,0,0
19,58.67,1229.08,1,2,1,3,2,2,0,0,1,1
20,102.11,2020.13,2,3,1,3,2,3,0,0,0,1
71,116.95,8953.69,4,2,2,1,1,3,2,0,0,0
52,65.39,3425.5,2,6,0,3,0,1,2,0,1,0
33,70.7,2139.04,2,2,2,2,2,2,2,0,0,0
40,77.22,2938.26,4,7,0,0,1,3,1,1,1,0
39,113.23,4403.37,2,0,0,3,1,1,0,1,0,0
1,105.82,100.01,4,2,0,1,0,1,1,1,1,1
11,37.06,387.55,2,2,1,3,0,2,2,0,0,1
57,63.68,3452.46,1,4,0,2,1,1,1,1,0,0
50,66.4,2944.35,3,2,1,1,1,3,2,0,1,0
23,98.91,1991.45,2,1,0,2,2,3,2,0,0,1
31,80.29,2150.34,3,1,2,2,3,3,1,1,0,0
42,85.42,3168.99,5,6,1,3,1,2,2,0,1,0
7,119.82,799.41,2,3,1,3,1,3,2,1,1,1
16,27.5,452.33,1,0,2,1,1,0,2,1,1,0
60,42.3,2300.61,4,2,1,1,1,1,0,0,0,0
2,60.79,135.73,1,5,0,1,2,0,2,1,0,1
1,54.78,59.85,3,1,0,1,1,1,1,1,1,1
48,22.16,1070.45,4,2,1,0,0,2,1,0,0,1
12,29.18,373.68,1,0,0,1,2,3,2,0,1,1
69,88.1,5834.82,1,3,0,3,2,1,1,0,1,1
37,107.93,3438.54,1,1,0,0,1,1,1,1,1,1
32,71.42,2562.76,4,2,1,2,0,3,1,1,0,1
9,73.92,590.99,1,2,0,2,2,2,1,1,0,1
19,45.51,980.87,1,3,0,1,1,0,2,1,0,1
48,96.79,4745.99,3,3,0,2,1,2,2,0,1,1
3,95.18,268.88,1,1,1,0,2,3,1,0,0,1
20,78.84,1574.61,1,1,1,3,1,0,0,1,0,1
24,41.27,990.88,5,1,1,3,2,3,2,1,1,0
54,29.7,1374.52,4,0,0,0,2,0,1,0,0,0
33,26.42,834.18,5,5,2,1,1,1,0,1,1,0
24,79.27,2039.37,3,2,0,1,2,3,1,0,1,1
36,102.5,3701.27,5,2,1,1,2,3,0,0,1,1
38,105.83,3713.07,2,2,2,0,1,1,0,0,0,0
25,66.36,1576.99,4,2,2,1,0,3,1,1,0,0
18,98.43,1964.65,1,1,1,3,2,0,1,0,1,1
66,114.69,7627.43,5,1,2,0,2,3,1,1,1,0
54,47.52,2587.74,5,1,1,0,1,2,2,0,1,0
35,59.8,2382.6,1,0,0,2,0,0,2,1,0,1
61,113.15,6531.14,1,4,0,2,3,3,2,0,0,1
41,53.82,2193.2,3,3,1,1,2,1,1,1,0,0
33,111.39,4019.53,5,2,1,1,2,2,2,1,0,0
68,118.1,8654.91,5,5,0,3,2,2,2,0,1,0
33,86.18,2644.16,2,4,2,1,1,1,2,0,1,0
14,101.69,1274.63,2,3,0,3,3,2,1,0,1,1
21,94.95,2114.11,5,3,0,1,0,2,0,0,1,0
48,89.95,4003.85,2,2,0,3,2,0,2,0,0,0
20,50.69,1142.42,5,1,2,0,1,3,0,1,1,0
8,25.71,182.8,4,4,2,3,3,0,1,1,0,0
7,54.31,359.42,3,3,1,1,2,1,1,1,0,1
67,86.69,5032.67,2,2,2,2,2,0,1,1,1,0
17,30.25,545.67,5,5,2,1,3,2,1,0,0,0
33,21.19,781.42,2,3,2,0,3,1,2,0,1,0
48,33.97,1696.99,3,1,0,2,0,3,2,0,0,0
59,91.57,6112.38,4,1,1,3,1,1,0,0,1,0
22,117.28,2292.59,1,3,0,2,2,1,2,0,1,1
30,118.31,3110.23,1,0,2,1,3,2,1,1,0,0
38,69.4,2904.85,2,4,2,2,1,0,1,0,1,0
51,106.94,6035.35,5,1,1,2,0,2,1,1,0,1
54,93.68,5561.27,3,1,0,1,2,2,0,1,1,0
8,70.1,611.13,4,2,0,1,1,0,1,0,0,1
27,77.28,2000.22,4,3,0,0,2,0,2,0,1,1
27,33.72,833.34,4,2,0,2,1,2,2,1,0,0
21,113.77,2696.42,1,2,1,3,2,3,1,1,0,0
30,55.19,1559.92,3,2,0,1,3,0,1,1,1,1
28,64.61,1754.08,1,1,2,2,1,3,1,0,0,1
64,87.17,5912.6,2,1,0,1,0,2,2,0,1,1
69,53.39,3455.55,4,3,2,0,2,0,1,0,1,0
61,45.43,3036.27,3,0,1,1,1,2,1,1,0,0
48,83.1,3474.49,4,2,0,1,2,0,1,1,1,1
19,22.5,464.81,1,3,0,0,1,1,0,1,0,0
4,92.07,379.54,1,4,2,1,2,0,2,0,1,0
35,71.4,2553.81,1,5,1,0,3,2,0,1,0,1
64,80.58,5092.43,4,0,0,2,1,0,2,0,0,1
49,83.19,3803.57,3,2,0,2,3,0,2,0,1,1
17,72.71,1222.66,3,2,1,2,0,2,2,0,0,1
44,78.25,3391.53,2,1,0,3,2,0,2,0,0,1
30,88.38,2717.98,4,0,0,1,0,1,2,0,1,1
46,95.31,4097.05,2,1,1,0,1,3,1,1,0,0
6,92.75,485.95,2,3,1,1,2,3,2,0,1,1
37,106.96,3536.2,2,1,0,3,0,1,2,0,0,1
24,38.94,990.51,2,2,2,1,0,1,1,1,1,1
46,60.11,2369.15,1,0,1,3,1,3,1,1,0,0
53,114.78,6733.83,2,2,2,1,2,1,1,1,1,0
60,59.66,3788.3,3,4,0,3,0,0,1,0,1,1
63,32.49,2211.29,2,1,0,0,1,3,0,0,1,0
32,72.54,2555.41,1,2,0,1,2,3,1,0,0,1
33,30.95,905.72,5,2,0,1,1,3,2,1,0,1
67,40.29,2960.22,5,1,2,0,0,1,1,0,0,0
18,119.83,2159.98,5,4,2,0,2,0,2,1,1,0
25,74.14,2067.77,4,1,1,2,2,3,2,1,0,0
54,48.41,2917.07,3,1,1,3,2,1,1,0,1,0
58,119.48,5940.5,1,1,1,0,2,3,0,1,0,0
67,116.66,7541.29,5,3,1,2,1,1,1,1,0,0
46,64.07,2970.74,1,3,0,3,2,2,2,0,0,1
24,46.04,1164.09,1,3,1,2,1,0,2,0,1,0
32,103.84,3109.74,4,4,1,1,1,3,2,0,0,1
47,91.56,3983.43,5,2,0,3,0,0,2,0,0,1
23,88.69,1967.3,2,3,0,1,2,3,1,0,0,1
66,109.31,7216.58,1,0,0,1,2,0,0,0,0,0
27,88.94,2726.44,5,2,1,1,3,2,1,0,0,0
2,48.38,104.37,1,1,0,1,3,0,1,1,1,1
17,89.39,1487.35,4,1,1,1,3,2,1,1,0,1
33,50.58,1446.03,4,0,0,1,0,3,2,1,1,1
9,95.92,777.46,2,1,0,2,2,0,1,0,1,1
43,81.97,3478.31,4,2,2,2,1,1,0,0,1,0
48,27.74,1456.94,5,4,1,3,2,3,2,1,1,0
39,71.28,2680.56,4,5,0,3,1,2,2,0,0,1
42,54.33,2308.22,2,1,2,3,0,2,1,1,0,1
26,52.86,1535.82,3,2,0,1,2,2,2,0,1,1
50,80.23,4509.24,1,2,2,1,3,3,1,0,1,0
25,52.23,1194.47,1,2,1,2,2,3,2,0,0,1
24,97.69,2023.53,5,0,0,2,1,0,2,0,1,1
13,27.08,331.48,2,3,1,3,3,1,0,0,1,1
60,86.04,5465.57,2,2,0,0,1,2,2,1,1,0
7,100.92,802.04,2,1,0,0,3,2,2,1,0,0
57,87.28,4343.84,1,4,0,1,3,0,0,1,0,0
36,69.72,2154.97,4,0,0,1,2,0,2,1,1,0
45,115.03,5772.93,1,4,1,1,2,1,2,1,0,1
20,49.99,1074.31,1,4,2,2,2,2,2,1,0,1
65,21.92,1634.97,1,1,2,1,2,3,2,0,0,0
8,63.2,489.94,4,1,0,1,1,3,0,0,0,1
16,23.3,363.43,3,1,1,1,2,3,0,0,0,1
14,115.39,1456.7,5,4,0,0,0,2,1,0,0,1
15,40.99,544.02,3,0,1,0,2,3,1,1,1,1
66,98.89,6681.05,3,2,2,3,2,2,2,0,1,0
32,97.46,2991.66,1,2,0,1,1,3,1,0,0,1
63,41.77,2300.35,3,2,2,2,2,2,1,0,0,0
51,82.12,4674.5,1,4,2,0,1,2,0,1,0,0
25,24.81,564.07,1,4,1,3,1,3,0,1,0,1
58,68.36,4260.4,5,4,1,1,0,3,0,0,1,0
63,21.46,1263.93,2,2,1,0,1,1,1,1,1,0
62,112.11,7603.6,1,4,2,2,1,2,0,1,0,0
22,117.61,2291.18,3,3,1,2,1,0,2,1,0,1
58,42.23,2637.39,5,2,0,2,1,2,1,0,1,0
58,40.81,2081.64,3,4,1,2,0,3,2,1,1,0
49,95.37,4598.81,2,2,0,1,1,2,1,0,0,1
52,45.34,2523.08,4,2,2,3,2,2,1,1,1,0
42,109.51,4148.43,2,1,2,3,2,2,1,1,0,0
70,77.39,5069.16,5,2,1,2,1,2,2,1,0,0
15,55.08,916.57,2,0,1,1,3,1,2,0,0,1
54,103.27,6220.84,2,2,2,3,0,0,1,1,0,0
60,69.34,3592.46,5,1,0,3,2,1,1,0,0,1
8,111.16,800.76,5,1,1,3,3,0,1,0,1,1
53,112.8,5292.4,3,3,0,2,0,0,2,1,1,1
60,36.54,1981.84,1,3,1,1,1,0,2,0,1,0
5,20.23,115.43,4,2,0,2,2,3,0,0,1,1
68,118.39,8175.49,4,3,1,1,1,2,1,0,1,0
6,110.61,657.33,4,2,0,0,1,1,1,0,1,1
47,25.54,1375.09,2,2,0,1,2,0,2,1,0,1
55,103.3,5778.77,5,1,0,1,2,3,0,0,1,1
40,65.78,2758.4,5,2,0,2,1,0,0,1,0,0
52,45.9,2266.87,5,0,0,2,2,3,0,0,0,1
16,107.87,1664.95,1,1,1,0,2,3,0,0,1,0
13,39.67,530.27,5,2,1,2,1,2,2,1,1,0
30,114.73,2997.67,5,1,0,1,1,2,0,0,0,1
19,40.56,714.24,2,1,1,3,2,1,1,1,1,1
17,81.37,1257.44,3,3,1,2,1,0,2,0,0,0
63,42.31,2278.34,4,3,0,3,2,0,0,1,0,0
19,74.57,1432.45,2,3,0,3,1,0,0,1,0,0
58,88.4,5220.96,2,2,1,3,1,3,2,0,0,0
55,39.02,2071.52,2,4,0,2,1,1,2,0,1,1
62,72.09,4159.39,4,2,0,1,3,2,0,1,0,0
23,66.91,1609.04,2,2,2,3,2,2,1,0,0,1
9,27.1,217.2,3,1,1,0,2,1,2,1,0,0
12,101.83,1228.79,5,1,0,2,2,2,1,0,0,1
1,53.57,57.88,3,1,1,3,0,0,2,0,1,1
58,77.46,4040.13,5,1,2,3,2,3,1,0,0,0
1,71.48,76.91,5,1,2,2,1,0,1,1,0,1
34,71.33,2614.82,2,3,0,1,2,1,2,1,0,1
48,30.72,1279.98,2,2,0,0,2,2,0,0,0,1
1,62.35,53.35,4,0,1,3,0,1,1,0,0,0
16,65.24,1192.19,1,2,0,0,2,1,1,0,0,1
61,93.36,5171.35,3,1,2,2,2,2,1,1,1,0
64,104.0,7299.38,4,2,0,1,1,1,0,1,1,0
63,74.5,4780.48,4,2,0,2,2,0,1,1,1,1
69,28.68,1838.98,3,4,2,1,2,1,1,1,0,0
22,43.68,854.38,3,5,0,3,2,3,0,1,1,0
67,36.49,2442.62,5,1,0,3,0,0,1,1,1,0
26,32.46,820.54,1,0,1,3,1,0,2,0,1,1
16,56.59,959.46,2,1,0,1,3,1,1,1,1,1
51,42.94,2455.43,1,4,1,2,2,0,1,1,1,1
57,41.83,2602.67,1,2,0,3,2,1,1,1,1,0
29,25.47,688.63,2,1,0,1,1,3,0,0,0,1
69,21.77,1672.66,1,1,0,3,0,1,1,0,0,0
47,30.28,1565.34,4,4,1,2,3,2,1,0,1,0
62,37.22,2604.71,4,2,0,0,0,1,1,0,0,0
69,63.1,4299.79,2,1,0,0,3,0,1,0,1,0
16,71.05,1228.43,2,2,2,2,0,1,2,0,1,0
48,34.06,1679.8,3,2,2,3,1,1,0,0,0,1
39,62.48,2298.13,3,5,1,3,1,2,2,0,1,0
33,54.17,2052.95,1,3,0,0,2,2,0,1,1,0
23,38.34,759.73,1,4,1,0,2,0,0,0,0,0
10,20.68,185.88,2,1,1,0,3,3,0,1,0,0
69,66.7,5144.42,1,2,2,0,1,3,1,0,0,0
34,88.57,2614.24,5,2,2,1,0,0,0,1,0,0
52,42.63,2473.88,4,0,2,2,2,0,2,1,1,0
10,33.18,353.23,1,1,2,3,2,0,0,1,1,1
19,108.7,1778.3,1,0,0,3,1,3,1,1,0,1
58,47.5,2696.72,3,3,1,2,1,3,2,0,0,0
1,42.36,45.6,5,3,2,3,1,3,1,0,1,0
69,105.71,7475.81,1,1,2,3,2,2,1,1,1,0
4,101.71,460.04,4,0,2,0,1,1,1,1,1,0
16,64.83,1151.77,1,1,1,3,2,2,1,0,1,0
24,68.92,1571.12,2,2,1,2,1,2,2,1,0,1
2,41.77,73.14,5,1,0,2,2,2,1,1,1,1
32,27.83,1009.26,1,0,1,2,1,1,2,0,0,0
24,77.34,1865.86,5,2,0,3,1,3,1,0,1,1
12,29.83,312.3,1,5,2,1,2,1,1,0,0,1
50,64.93,3554.69,4,0,2,0,2,2,0,1,1,0
35,114.05,4433.03,4,2,1,2,1,1,1,1,0,1
33,115.28,3963.48,5,3,0,1,3,3,1,1,0,1
33,43.93,1426.97,3,2,0,3,2,2,0,0,0,0
61,82.41,5271.67,3,2,1,0,1,2,1,0,0,0
51,67.41,3650.95,2,2,0,1,2,0,0,1,0,1
43,107.57,5170.83,3,2,0,3,2,3,2,0,1,1
12,47.14,643.08,5,3,2,3,2,2,1,0,1,0
67,20.37,1370.67,3,1,0,1,3,2,2,0,1,0
65,36.26,2567.68,2,6,0,1,2,3,2,1,1,0
33,54.95,2066.13,1,2,1,2,1,2,0,1,1,0
40,51.57,1847.05,3,4,2,0,2,0,1,0,1,0
43,99.14,3646.79,5,1,2,0,2,1,0,1,1,0
44,88.06,4303.33,5,2,2,2,2,0,0,0,0,0
29,49.96,1316.27,2,1,1,0,1,1,0,0,0,0
13,65.77,737.7,2,2,0,0,3,0,1,1,1,1
12,29.56,318.5,4,1,2,3,2,1,1,0,0,0
46,109.81,4875.86,4,7,0,1,2,0,0,1,0,1
2,113.54,207.96,4,2,0,2,1,2,1,1,0,1
35,117.98,3888.06,1,0,0,1,2,1,1,1,0,1
8,106.86,976.73,5,1,2,0,1,3,1,1,1,1
26,37.4,1031.92,4,4,2,0,2,3,1,1,1,0
34,24.62,890.35,5,3,0,2,0,0,2,1,1,1
7,77.96,479.36,2,0,0,1,2,0,1,0,1,1
68,111.26,8092.51,1,1,2,3,1,0,2,1,0,0
58,37.74,2345.79,2,0,0,1,2,1,1,1,1,1
29,20.7,629.2,5,3,1,1,2,2,1,1,0,0
36,100.55,3324.89,4,3,0,2,0,3,0,0,1,1
21,27.68,567.85,2,2,0,3,1,0,1,0,0,0
36,61.37,2438.85,3,0,0,1,3,1,2,0,0,0
10,87.89,923.76,1,2,0,1,2,1,2,0,0,1
24,43.68,1121.52,5,3,1,0,1,3,2,0,0,1
64,28.4,1865.0,4,1,2,0,3,3,0,0,1,0
49,97.0,4681.22,2,3,0,3,2,2,0,0,1,1
36,83.02,3220.89,1,4,2,1,1,3,1,1,0,0
24,118.85,2482.65,4,4,1,1,2,2,2,0,1,1
23,54.43,1316.94,2,3,0,0,1,2,0,0,1,0
62,26.18,1865.0,5,3,1,3,0,1,2,1,1,0
37,93.44,3747.69,3,1,1,2,2,1,1,1,0,0
12,72.17,811.66,3,2,0,0,1,2,2,1,0,1
55,41.32,2121.14,5,1,0,1,1,0,1,0,0,0
13,98.17,1340.27,1,2,2,2,2,2,1,1,0,0
23,40.38,1038.92,5,4,1,1,3,3,1,0,0,0
30,46.07,1414.3,2,0,0,1,0,2,2,1,0,0
17,29.25,501.39,1,2,0,1,1,2,2,1,0,1
62,59.94,3337.83,3,2,0,3,2,2,2,0,0,0
13,61.89,856.62,2,3,0,2,2,0,0,1,0,1
59,71.46,4471.78,4,1,0,1,3,0,1,1,1,0
19,90.9,1968.96,4,1,0,3,0,2,2,0,0,0
49,110.61,5095.01,4,4,0,2,2,3,1,1,1,1
12,33.77,436.46,3,5,1,0,0,1,0,1,0,0
61,25.43,1520.83,5,2,0,3,2,3,2,1,0,0
19,21.85,422.49,1,1,0,2,0,1,1,1,1,1
9,34.36,338.62,3,2,0,1,3,3,0,0,0,1
