age,income,monthly_expense,credit_score,loan_amount,loan_tenure_months,num_existing_loans,num_late_payments,employment_type,education,years_employed,num_dependents,loan_default
45.0,97603.0,39601.622288932645,350,66344,12,1,9,salaried,phd,17.0,2,1
58.0,53872.0,25331.05895167561,559,49308,24,3,2,unemployed,high_school,12.0,1,1
56.0,30728.0,25694.672172202096,483,55639,60,4,6,self_employed,bachelors,4.0,0,1
61.0,115102.0,60556.58708761758,322,26326,48,0,9,salaried,high_school,25.0,4,1
43.0,115319.0,62801.80799298953,428,9597,60,4,8,self_employed,masters,23.0,2,0
48.0,142049.0,87658.40160266322,590,35788,24,4,9,salaried,high_school,18.0,2,0
56.0,40583.0,34123.705122505,800,70020,60,1,2,self_employed,high_school,22.0,3,0
22.0,105774.0,45787.52337754402,485,54477,24,1,9,contract,bachelors,2.0,3,1
56.0,27263.0,18394.486798695158,778,38071,48,4,8,contract,bachelors,21.0,2,1
58.0,146374.0,101553.04894286198,791,75603,48,1,7,salaried,bachelors,17.0,2,0
35.0,87450.0,55445.78613670449,812,66923,12,3,2,salaried,high_school,5.0,1,0
24.0,109285.0,38109.65611595486,366,75560,48,0,7,salaried,phd,5.0,0,1
22.0,39456.0,26525.46988327907,766,78251,36,4,3,self_employed,phd,,0,1
26.0,111118.0,37252.54185550476,584,62492,60,0,5,salaried,bachelors,4.0,4,1
47.0,85942.0,53961.13037318949,716,36770,60,3,9,salaried,masters,29.0,0,1
35.0,33689.0,23810.36265368281,399,40399,24,1,1,contract,bachelors,0.0,4,1
60.0,52934.0,22022.314104542053,488,62439,48,2,7,salaried,bachelors,7.0,3,0
48.0,53276.0,40643.83974061686,687,49415,12,3,8,salaried,bachelors,27.0,4,1
30.0,136349.0,43180.991066840776,540,17569,12,2,6,salaried,bachelors,24.0,4,1
36.0,149336.0,114107.20079400224,716,7369,12,0,7,salaried,bachelors,0.0,0,0
36.0,121968.0,67470.37750683822,475,5528,36,4,6,salaried,bachelors,20.0,2,1
47.0,39873.0,16733.636160891954,686,35314,48,1,9,salaried,masters,27.0,3,1
63.0,33050.0,12346.752230627853,770,23047,12,3,3,salaried,bachelors,5.0,1,1
34.0,86216.0,71069.48191815501,532,24748,36,1,0,salaried,bachelors,19.0,4,0
53.0,104444.0,35507.41654612948,751,40109,60,2,2,self_employed,high_school,13.0,4,0
60.0,104040.0,42604.52367557354,576,18919,24,2,6,salaried,bachelors,,4,1
53.0,41644.0,20459.79261007597,528,52498,48,4,6,self_employed,bachelors,1.0,2,1
25.0,82021.0,52586.05540065204,470,60808,48,2,2,salaried,bachelors,20.0,1,1
51.0,57125.0,34254.46909801842,512,75441,60,4,0,salaried,masters,,0,1
58.0,86899.0,32074.76161592572,581,79420,48,3,9,contract,masters,29.0,3,1
44.0,62291.0,28613.39520927042,340,33906,48,4,8,salaried,bachelors,3.0,2,1
60.0,55060.0,23748.119883798066,421,76486,48,2,5,salaried,bachelors,12.0,1,1
36.0,21538.0,8991.007300007135,526,71896,48,0,6,contract,phd,6.0,3,1
64.0,56176.0,29555.844335354865,593,26946,36,4,0,self_employed,bachelors,5.0,0,0
50.0,142430.0,97880.35988594632,566,52020,36,1,0,salaried,high_school,2.0,3,0
57.0,61520.0,25813.737414502393,840,79266,24,0,3,salaried,bachelors,8.0,4,0
34.0,45675.0,22913.931806738525,750,27161,48,4,6,self_employed,high_school,13.0,4,1
53.0,38287.0,19717.98053680717,748,32738,60,1,7,contract,masters,19.0,2,1
28.0,20174.0,16886.66871365648,360,8925,12,0,9,salaried,bachelors,10.0,3,1
43.0,,49503.98977700928,801,13463,24,4,8,salaried,bachelors,4.0,4,0
49.0,54998.0,40702.68172690927,446,62153,12,3,0,salaried,high_school,13.0,2,1
23.0,122591.0,53071.164819179605,633,66009,12,1,3,salaried,bachelors,18.0,2,1
,73312.0,24736.97336387867,441,46552,48,3,3,salaried,phd,7.0,2,1
,32112.0,15230.634118766586,343,61271,60,2,2,salaried,high_school,26.0,0,1
49.0,125410.0,56025.2874444732,443,14797,12,4,6,salaried,bachelors,6.0,4,1
49.0,95225.0,55064.7313754172,632,76942,12,4,0,salaried,phd,26.0,4,0
41.0,64814.0,47168.41121972367,796,18965,24,1,8,contract,bachelors,26.0,1,0
51.0,105091.0,81138.40878334494,695,18733,60,4,7,salaried,bachelors,6.0,0,0
32.0,70719.0,54077.06879088016,354,58223,60,2,1,salaried,bachelors,23.0,4,1
49.0,149887.0,74616.97996477308,606,31926,12,4,1,salaried,bachelors,22.0,4,0
46.0,53919.0,36555.9437107811,722,33783,60,0,7,contract,high_school,2.0,1,1
60.0,93155.0,43974.6383187028,716,41394,24,3,0,self_employed,high_school,2.0,3,0
54.0,91569.0,30538.082828676343,624,69796,24,2,6,self_employed,bachelors,17.0,3,1
22.0,61328.0,42062.47703489348,379,33287,24,2,8,salaried,phd,12.0,0,1
48.0,90482.0,27633.66913639075,330,35436,48,3,2,contract,high_school,0.0,2,0
34.0,44618.0,23426.69977797256,411,78567,12,3,6,salaried,bachelors,4.0,1,1
62.0,54675.0,26307.346352000044,771,8188,60,2,5,salaried,bachelors,27.0,1,0
24.0,121794.0,82985.27315950082,373,11765,24,3,6,self_employed,masters,3.0,4,1
60.0,38919.0,28077.529154898653,778,56626,12,1,6,contract,bachelors,15.0,4,1
,24173.0,11294.883799433614,686,15807,12,3,9,self_employed,masters,14.0,1,1
29.0,129369.0,96560.35637744395,732,15204,48,0,0,contract,high_school,28.0,2,0
48.0,46400.0,21420.75572808591,711,62944,60,0,2,contract,phd,26.0,3,0
30.0,70445.0,38426.30323608933,766,47120,60,1,9,salaried,bachelors,17.0,0,0
58.0,90305.0,63200.87444510625,547,27658,24,3,0,salaried,bachelors,16.0,3,1
54.0,57564.0,39207.19304130265,419,42081,24,0,4,salaried,bachelors,13.0,0,1
63.0,65814.0,55484.667750215325,366,39986,12,4,2,contract,masters,13.0,2,1
45.0,99747.0,42276.6251753566,626,55304,60,3,0,salaried,high_school,18.0,1,0
36.0,108791.0,72267.12547253659,769,70592,60,1,1,contract,high_school,28.0,2,0
53.0,47962.0,30471.46002659756,792,63548,24,3,9,salaried,bachelors,5.0,1,0
53.0,104892.0,84260.1788986025,585,44986,36,2,4,salaried,masters,12.0,4,0
45.0,105842.0,40854.92498778728,611,79095,12,2,2,salaried,masters,17.0,0,0
62.0,90533.0,64594.2987292087,608,71151,60,0,5,salaried,bachelors,25.0,4,1
,76184.0,46666.33694400092,396,78598,48,2,8,contract,bachelors,14.0,1,1
60.0,102912.0,46420.127695387106,412,33214,48,1,5,salaried,high_school,28.0,0,1
23.0,126416.0,70911.69025875605,755,43745,36,0,1,salaried,masters,22.0,0,0
24.0,123591.0,59765.78087464936,762,47548,24,1,1,salaried,masters,26.0,4,0
58.0,30578.0,18916.234876756058,431,15681,24,1,7,salaried,bachelors,6.0,0,1
38.0,38624.0,30472.417775658112,420,11984,24,2,7,salaried,bachelors,26.0,1,1
23.0,136164.0,83484.56414362669,496,32579,48,2,5,salaried,phd,18.0,1,1
23.0,59194.0,38324.997256733106,781,59933,24,1,9,contract,masters,29.0,4,1
49.0,129903.0,76033.69587105817,338,32399,48,2,6,salaried,bachelors,16.0,2,0
,20389.0,6690.467431004245,811,36481,36,2,0,salaried,bachelors,8.0,1,0
58.0,119303.0,51070.298426043766,773,5944,12,2,8,self_employed,bachelors,10.0,1,0
53.0,131116.0,74814.91431591933,460,14114,60,3,4,salaried,bachelors,4.0,0,1
54.0,133903.0,63018.68935959696,588,44846,36,1,8,salaried,bachelors,1.0,0,0
22.0,87391.0,34953.77641457169,499,37596,48,4,1,salaried,bachelors,14.0,1,0
40.0,126429.0,72984.05608899842,827,11907,36,1,7,salaried,bachelors,23.0,4,1
23.0,33794.0,16138.16878787716,802,33114,60,0,6,self_employed,bachelors,11.0,2,1
47.0,78002.0,34473.70181054698,547,30009,12,2,3,salaried,bachelors,9.0,0,0
53.0,55531.0,30830.365818734983,682,55241,60,2,2,self_employed,bachelors,9.0,0,0
27.0,72815.0,27182.301288739392,517,40725,48,4,3,contract,masters,19.0,2,0
53.0,24986.0,20245.160187642174,386,23996,60,0,3,salaried,bachelors,10.0,0,1
25.0,52298.0,40647.896374339194,381,11047,36,3,9,salaried,high_school,9.0,4,1
32.0,21481.0,14804.518791260843,361,33767,24,1,9,salaried,bachelors,27.0,0,1
38.0,76408.0,27385.97237610832,799,21347,36,3,7,salaried,masters,6.0,0,1
59.0,89267.0,64873.22918111035,341,29102,48,0,3,contract,masters,13.0,1,0
45.0,141950.0,105664.2484987914,311,9263,12,4,4,self_employed,bachelors,12.0,4,1
26.0,36835.0,26604.835331429193,414,72438,60,0,1,salaried,phd,4.0,4,1
,145355.0,52717.53133721951,517,35540,12,4,3,salaried,high_school,28.0,1,0
27.0,47798.0,31267.031892558756,405,68769,48,3,6,salaried,phd,18.0,3,1
43.0,111649.0,84728.04101634353,827,45843,60,3,2,self_employed,bachelors,9.0,2,0
32.0,84887.0,52421.488993133666,771,32690,36,0,0,self_employed,high_school,7.0,4,0
37.0,39477.0,25878.1231735336,686,7994,36,0,7,self_employed,bachelors,17.0,3,0
54.0,37266.0,20574.5553833654,525,72546,48,2,7,salaried,bachelors,0.0,2,1
30.0,106328.0,62817.415549747355,780,12377,60,4,5,self_employed,bachelors,4.0,4,1
27.0,105988.0,33800.34395464046,707,31467,36,2,6,salaried,masters,10.0,0,1
37.0,147815.0,96291.0755011396,756,5048,48,1,9,salaried,masters,19.0,4,0
50.0,63526.0,21903.50860536808,320,41978,48,1,1,salaried,bachelors,10.0,2,0
24.0,137965.0,74398.73367948191,502,52606,12,0,4,salaried,bachelors,15.0,3,0
41.0,134615.0,62052.171284873955,716,78414,36,3,6,self_employed,high_school,9.0,0,1
57.0,126870.0,76120.14422384801,715,54222,60,1,8,contract,high_school,14.0,2,0
40.0,147426.0,55045.77017446437,747,53115,36,1,0,salaried,bachelors,6.0,2,0
47.0,31889.0,21697.399045039932,811,45647,36,2,2,contract,high_school,14.0,4,1
24.0,44335.0,32686.260069348056,384,59607,36,2,5,salaried,masters,28.0,1,0
40.0,31254.0,12184.213984749938,466,62410,48,1,6,self_employed,bachelors,24.0,1,1
41.0,106610.0,38099.450033421286,683,26996,24,0,5,contract,high_school,15.0,0,0
53.0,31442.0,11949.013795390081,767,59921,24,2,0,salaried,bachelors,5.0,2,0
28.0,66289.0,51865.84992287938,371,51022,12,1,3,contract,high_school,10.0,3,1
62.0,73747.0,43547.9054177103,820,45148,36,3,5,salaried,bachelors,16.0,0,1
54.0,57327.0,31930.769114967152,772,72764,24,2,7,salaried,masters,14.0,0,1
61.0,36199.0,12984.273626827367,557,13888,12,1,9,self_employed,bachelors,15.0,4,1
60.0,92827.0,61011.08449157567,574,44159,48,4,3,contract,high_school,23.0,3,0
39.0,126464.0,98313.08521418135,319,47197,36,2,6,contract,masters,1.0,2,0
61.0,20112.0,15194.660812108308,789,29474,60,4,2,self_employed,high_school,3.0,2,1
22.0,107051.0,68976.18045810708,789,22333,48,2,7,salaried,masters,18.0,2,0
32.0,39581.0,13513.08378608444,625,41355,12,2,0,salaried,bachelors,5.0,0,1
49.0,134228.0,48566.155490080026,828,78903,48,4,3,unemployed,bachelors,17.0,4,1
46.0,79722.0,26078.656088703196,388,71258,60,0,7,salaried,masters,20.0,0,1
44.0,112036.0,49476.61782442266,785,36145,48,1,9,self_employed,masters,10.0,1,1
52.0,117562.0,44040.34837126958,649,54854,12,0,3,salaried,high_school,8.0,1,0
51.0,36523.0,16180.654015776803,383,72664,60,0,1,self_employed,bachelors,2.0,2,1
63.0,86960.0,44504.5566889265,686,40285,60,1,1,salaried,masters,1.0,4,0
56.0,137637.0,112675.2267981594,386,22533,48,3,3,unemployed,high_school,17.0,2,1
28.0,39552.0,25143.476654067017,606,37624,60,0,3,self_employed,bachelors,14.0,2,0
37.0,143396.0,108871.34553448675,453,51996,48,0,1,contract,masters,24.0,0,0
47.0,30808.0,21278.879968670044,739,51947,36,0,6,salaried,bachelors,21.0,2,1
23.0,124347.0,44998.28472437729,563,32956,60,3,5,self_employed,masters,17.0,2,1
22.0,92525.0,65207.56957986229,720,56030,48,2,2,self_employed,masters,18.0,4,0
33.0,43620.0,19685.897267484954,792,63597,36,4,7,self_employed,bachelors,14.0,4,1
26.0,124565.0,81155.25792849257,710,47443,60,4,7,contract,masters,29.0,4,0
58.0,20887.0,10183.020008914606,472,70464,36,3,0,salaried,bachelors,16.0,2,1
,51802.0,43965.38021989973,303,8952,60,0,2,salaried,bachelors,17.0,4,1
30.0,105024.0,46730.77682046827,771,61880,12,4,4,salaried,bachelors,17.0,4,1
62.0,115549.0,52403.98572212285,409,57201,12,3,1,salaried,masters,10.0,3,0
56.0,,48712.18443355915,336,47460,48,1,4,unemployed,masters,17.0,3,1
40.0,138639.0,43470.871587906324,330,27796,24,4,9,salaried,bachelors,22.0,1,1
37.0,138248.0,94448.12255752155,680,36746,12,1,2,salaried,bachelors,2.0,0,0
24.0,101938.0,71247.47689035867,567,5015,24,0,8,salaried,phd,12.0,0,0
41.0,106741.0,81124.03715224989,310,54757,36,4,0,salaried,bachelors,13.0,4,1
45.0,141028.0,117891.1749053976,643,30957,36,3,3,salaried,high_school,26.0,1,0
54.0,142746.0,119418.59935356452,843,26292,24,2,9,salaried,bachelors,3.0,1,0
45.0,46049.0,15467.961175047953,465,36876,48,4,5,salaried,phd,17.0,3,1
32.0,97789.0,73538.46504297598,641,65727,60,4,8,salaried,masters,4.0,1,1
29.0,,39328.227810693585,781,52046,24,4,2,unemployed,masters,13.0,2,0
57.0,27846.0,18268.038990564204,318,19817,24,4,2,salaried,bachelors,24.0,4,1
59.0,110563.0,40973.81411496527,483,14759,24,3,4,salaried,masters,11.0,2,1
61.0,124736.0,82026.76051657076,844,53432,24,3,6,unemployed,bachelors,24.0,0,1
41.0,66220.0,55648.99806807806,309,11412,24,2,4,self_employed,masters,,3,1
56.0,66163.0,53029.658609041144,491,62757,48,3,7,unemployed,bachelors,11.0,2,0
46.0,23765.0,12869.267084715002,619,25504,12,3,4,unemployed,high_school,7.0,4,1
56.0,137126.0,44150.64818165593,774,13507,60,0,6,salaried,bachelors,28.0,2,0
46.0,101486.0,50668.04441938843,726,26050,12,0,5,self_employed,bachelors,29.0,2,0
50.0,65270.0,49247.17260099253,358,9820,24,1,9,salaried,masters,20.0,1,0
,95277.0,65343.30143966314,735,12835,12,2,1,salaried,phd,20.0,3,0
39.0,108278.0,59838.64678722133,396,18587,48,0,2,contract,bachelors,27.0,0,0
23.0,146354.0,48341.581542149564,795,62732,36,2,3,salaried,masters,2.0,4,0
56.0,110239.0,58954.94634528218,577,56921,12,2,4,self_employed,bachelors,21.0,4,1
37.0,124245.0,69324.20199938664,564,50499,60,4,8,self_employed,masters,0.0,0,1
62.0,142332.0,115389.3413593385,308,11840,48,2,5,salaried,masters,2.0,4,1
57.0,123159.0,80373.23788709135,756,70077,36,4,0,contract,masters,10.0,1,0
54.0,42931.0,20238.064250695403,572,36440,48,1,2,salaried,bachelors,17.0,2,0
25.0,109116.0,64261.14525909269,307,40183,24,1,6,salaried,bachelors,6.0,1,1
54.0,140599.0,47287.72062346834,507,7389,36,1,7,contract,masters,8.0,1,1
35.0,75633.0,63146.939351793095,422,60076,60,4,6,salaried,bachelors,3.0,1,1
42.0,100702.0,50152.91373432538,332,71299,36,4,4,self_employed,masters,22.0,0,1
41.0,71913.0,40474.581301627586,812,44023,60,1,9,salaried,phd,23.0,3,1
29.0,139144.0,68932.7983211723,503,55029,24,4,7,salaried,bachelors,9.0,0,1
28.0,114776.0,77517.58148469935,817,44941,60,3,8,contract,masters,17.0,0,0
24.0,45991.0,30548.495556554975,816,58950,48,3,6,self_employed,masters,22.0,1,1
38.0,141049.0,97807.22311780324,742,70363,12,4,8,salaried,bachelors,15.0,3,1
54.0,74845.0,33491.54901116732,638,66742,48,4,0,salaried,bachelors,28.0,0,1
33.0,124092.0,58772.1632405362,737,50215,48,0,8,contract,masters,11.0,3,0
43.0,,22133.29062617486,744,52857,36,0,2,salaried,bachelors,18.0,1,0
43.0,75312.0,49745.871849820935,435,60476,24,2,5,contract,high_school,23.0,0,1
51.0,30561.0,9837.232004677682,686,33173,12,2,7,salaried,masters,21.0,3,1
59.0,36901.0,23200.59172473314,324,14395,60,2,2,self_employed,bachelors,2.0,4,1
59.0,126041.0,98101.83646242163,805,64768,36,1,3,contract,masters,7.0,0,0
29.0,115556.0,91284.3498502663,624,51229,24,3,6,salaried,high_school,26.0,0,1
48.0,82875.0,45330.20241486331,637,31639,12,1,6,self_employed,high_school,28.0,0,0
48.0,45917.0,25374.516098423836,394,67583,48,4,3,self_employed,phd,18.0,3,1
55.0,82120.0,28112.390119740114,844,33924,24,0,8,self_employed,high_school,8.0,2,1
42.0,21988.0,14708.229758692807,445,77969,24,4,2,salaried,masters,26.0,0,1
51.0,133745.0,100535.13764777142,530,35104,24,4,7,self_employed,masters,18.0,4,0
54.0,130041.0,56510.65337571832,794,42594,48,0,7,self_employed,masters,,4,0
49.0,148467.0,78942.20289640341,337,8664,60,4,3,contract,high_school,12.0,1,0
54.0,147400.0,112224.70503156047,724,15528,36,2,6,self_employed,bachelors,1.0,2,0
26.0,34256.0,26802.451307131636,736,33190,60,0,3,salaried,masters,3.0,2,1
40.0,138490.0,60069.89750673595,667,71033,12,4,0,unemployed,bachelors,28.0,3,1
25.0,107728.0,64939.93032482965,644,66161,36,2,0,salaried,bachelors,10.0,1,0
56.0,146155.0,59320.11003714862,459,78177,12,2,0,salaried,bachelors,1.0,3,1
38.0,48230.0,17171.487036947947,849,75179,48,3,1,salaried,high_school,3.0,1,1
49.0,125466.0,100512.85465520386,840,75592,60,2,5,salaried,masters,3.0,2,0
51.0,79778.0,59935.54621994606,443,37899,24,1,9,salaried,masters,19.0,3,0
50.0,,43081.15175950474,644,75979,36,0,4,salaried,phd,0.0,1,0
27.0,42625.0,13930.76538667556,568,22241,24,0,1,salaried,bachelors,24.0,2,1
56.0,52088.0,39797.87994508054,567,51211,12,0,7,self_employed,masters,25.0,2,1
62.0,99650.0,53903.10069018432,468,68472,24,4,8,salaried,bachelors,10.0,0,1
