age,income,loan_amount,credit_score,employment_years,num_accounts,missed_payments,default
50,20235,34142,767,0,6,0,1
22,62929,27916,753,29,8,3,1
59,87444,45965,567,17,5,0,1
56,28567,5648,685,15,3,4,1
58,90792,36133,686,8,3,0,0
45,85441,31523,558,18,6,3,0
24,104555,30052,582,21,2,2,0
26,93698,35414,339,4,6,1,1
25,25415,33781,785,26,6,0,1
29,56159,5599,519,1,8,1,1
51,63925,36046,428,29,7,4,1
50,25951,48064,819,14,8,2,1
65,107388,36923,559,6,9,2,1
40,28007,42089,665,3,6,0,1
41,61832,4814,843,0,3,2,0
54,78596,46893,823,12,3,0,1
52,50523,36984,315,19,1,0,1
61,108861,27616,428,21,5,1,1
57,106740,3113,408,6,4,2,1
39,35524,44006,832,14,9,0,1
44,39282,14760,568,22,9,1,1
52,43930,22927,461,13,5,3,1
18,20077,21939,559,22,4,1,1
52,40611,33419,401,18,7,1,1
54,36984,13588,805,21,6,0,0
64,34060,37142,546,28,4,4,1
31,102985,40198,836,23,2,4,1
20,104056,45738,430,19,1,4,1
18,63303,34397,652,28,4,1,0
22,79207,17653,495,23,4,0,1
43,95046,11831,681,17,1,2,1
31,49287,6724,526,9,6,1,1
56,113709,12083,775,8,4,1,1
44,59711,46917,776,24,1,0,1
26,31954,20816,564,7,1,3,1
32,93340,43240,671,25,1,1,1
32,92101,7276,785,29,8,3,1
43,91520,49403,733,28,8,3,1
59,107062,39663,510,9,2,4,1
30,38574,14994,676,16,7,0,0
68,29184,24499,694,1,8,3,1
49,39096,24040,749,5,8,0,1
56,87728,44320,663,25,7,4,1
66,54016,17959,756,4,5,0,0
69,31246,7099,525,27,1,1,1
49,65558,43267,430,29,9,3,1
21,38381,20576,775,8,7,0,1
47,56455,36946,576,4,2,2,1
54,112263,7116,455,17,6,0,1
40,24018,16563,517,25,2,3,1
56,31302,27788,489,19,1,4,1
62,87506,27928,716,8,7,4,1
32,61157,37336,845,16,2,3,1
60,74917,10847,340,26,2,1,1
46,112738,27155,606,16,5,1,0
53,116646,15135,637,11,5,4,1
30,103122,18774,613,6,7,4,1
49,44519,2742,374,26,1,3,1
24,116809,19309,578,2,8,1,1
68,107487,1619,475,9,3,4,1
39,76819,18658,572,1,4,1,1
45,100910,35707,588,24,9,4,1
19,91324,21337,571,2,4,0,1
59,25408,17001,365,15,5,2,1
62,79379,1968,782,1,7,0,0
23,45053,48614,547,27,4,4,1
45,29446,26892,455,23,1,2,1
45,20922,26619,346,9,9,2,1
61,118723,1281,753,5,4,4,1
61,71356,28420,500,21,9,4,1
37,30789,16360,423,25,6,1,1
47,117720,40030,300,10,1,4,1
28,86656,2058,490,22,3,3,1
45,64028,21677,815,6,2,4,1
42,84484,11724,741,26,9,3,1
56,52154,29404,442,28,1,4,1
50,102870,38946,490,14,9,1,0
18,22336,40748,832,5,9,3,1
44,87779,30856,526,19,8,0,1
69,39029,10200,612,26,8,3,0
30,79201,34997,601,8,1,1,1
58,52265,26611,759,21,8,3,1
20,63872,42235,700,19,3,4,1
56,66197,36057,692,11,7,4,1
23,75180,2239,506,18,1,1,1
25,43710,39138,509,19,1,2,1
44,49486,49938,414,2,5,4,1
26,91907,1125,550,14,5,0,0
54,91895,46272,518,1,8,1,1
50,84435,24857,706,29,7,3,1
68,60631,16398,742,20,8,3,1
59,40103,7638,653,1,6,0,1
61,84772,7570,849,21,6,4,1
41,34382,4249,441,2,2,1,1
32,104291,10110,800,5,6,0,0
49,23756,41363,846,14,5,4,1
49,40609,14605,841,26,3,1,0
41,36478,13115,806,9,6,3,1
58,59666,40062,580,8,8,1,1
69,95683,23911,723,0,9,2,0
66,119097,39525,569,15,1,1,1
66,91315,33556,453,5,3,2,1
69,97834,13595,382,8,3,1,1
29,34153,2969,725,26,8,2,0
56,96325,44753,574,3,1,3,1
19,32999,18275,583,26,5,4,1
20,75318,5470,472,27,3,2,1
66,20814,11225,626,1,2,2,1
54,96077,43324,362,28,8,3,1
66,110474,42974,372,3,3,2,1
34,22443,43759,674,0,7,0,1
66,95993,24196,807,18,1,3,1
19,95916,41287,697,25,6,0,1
19,93319,14669,419,24,3,3,0
45,37368,38380,736,9,8,2,1
40,35328,46141,764,20,6,0,1
54,76942,49320,585,14,2,2,1
49,111751,48414,564,26,6,3,1
50,119131,39006,619,21,7,2,0
18,47306,16577,675,18,5,0,0
36,105451,23473,388,15,3,0,1
19,59915,29625,502,20,4,2,1
61,57219,16504,633,26,4,1,0
43,100879,25089,521,23,6,3,1
49,84644,37487,340,21,1,3,1
23,80279,1302,367,3,4,2,1
49,73028,32463,813,1,4,1,1
21,20126,45912,426,29,1,0,0
28,72329,30259,554,24,9,4,1
34,47632,43823,315,12,4,4,1
55,85310,38208,776,27,7,2,1
41,75176,31659,361,0,3,1,1
22,106066,36840,731,16,3,1,0
69,64327,32890,567,12,8,3,1
51,88904,14598,334,3,8,0,1
23,23797,48055,793,6,1,1,1
39,67882,47733,768,16,2,4,1
28,33718,20508,624,8,8,0,1
65,54560,43287,603,3,1,0,1
33,96589,14380,575,18,8,2,1
50,42116,27984,500,0,8,1,1
26,56244,45633,744,9,2,2,1
23,21645,9125,623,3,4,1,1
33,67523,37059,334,8,6,3,1
46,39256,5033,781,12,9,2,0
20,73173,38873,779,13,8,2,1
37,57430,18087,364,9,8,4,1
53,59282,41901,307,5,7,2,1
36,83374,6704,600,15,9,1,0
43,88244,8848,642,5,2,4,1
20,31694,22592,730,16,3,2,1
36,76264,46743,723,9,8,2,1
37,95060,7924,631,17,6,3,0
49,117416,28208,737,26,9,2,0
24,77545,20614,473,21,4,0,1
69,59224,1488,826,17,8,4,1
58,117945,40882,325,2,3,0,1
50,33224,26923,705,19,3,4,1
57,60738,49508,531,26,8,3,1
56,45150,36941,832,20,5,2,1
35,83731,30165,849,24,3,2,1
57,69688,2667,804,27,1,2,0
18,119929,27213,478,14,3,4,1
28,93509,5114,431,14,9,2,1
45,28577,37321,754,3,5,0,1
42,28070,8761,647,28,2,2,0
67,28666,32116,839,26,7,3,1
40,77761,34768,705,8,2,0,1
48,56368,49406,375,26,4,2,1
47,26783,26426,791,25,7,2,1
59,61914,18772,493,18,4,1,1
52,90507,39218,461,23,7,4,1
24,99026,4712,646,27,7,0,0
33,87526,2367,660,16,1,1,0
43,90835,41957,386,10,6,3,1
65,65765,42781,561,24,9,4,1
69,39956,27200,513,8,2,0,1
66,107895,4726,561,9,3,2,1
19,66240,24616,582,17,5,0,1
18,57148,28723,766,19,9,2,1
65,114270,38574,679,12,4,4,1
29,24757,35958,661,7,1,2,1
22,39097,10108,748,6,4,3,1
54,30395,13178,740,16,6,2,1
49,36241,36643,392,20,5,3,1
26,47696,32324,723,22,1,4,1
58,90480,39360,441,14,4,4,1
52,66163,18824,590,19,6,0,0
36,39816,46360,731,14,4,3,1
65,69840,9927,348,0,9,3,1
33,72853,29144,601,24,5,1,1
20,44917,32010,489,13,8,1,1
37,116731,23443,435,4,9,1,1
41,41566,15437,703,10,5,2,0
50,95452,45298,640,15,6,1,1
41,82823,40778,617,1,1,3,1
69,40806,12207,662,7,7,2,0
28,95520,26537,681,10,4,4,1
66,21759,36757,532,28,2,0,1
25,61949,13040,643,17,5,1,0
53,112374,42986,848,2,3,4,1
55,22482,23612,828,29,6,3,1
57,44442,29441,482,25,8,0,1
37,53719,7471,340,0,7,4,1
52,78066,36631,696,10,3,0,1
65,113501,44461,793,15,8,1,0
42,22079,27523,632,17,2,3,1
52,22717,32348,426,29,9,0,1
42,79676,2177,300,15,4,4,1
46,47952,5760,467,22,1,1,1
35,106444,33779,318,9,8,1,1
63,62460,22636,631,17,7,4,1
35,110397,17353,755,5,5,4,1
19,92847,12556,408,18,5,0,1
52,113607,28598,567,3,7,2,1
33,109106,12563,744,26,5,1,0
58,38449,47819,539,12,8,0,1
53,53536,44790,600,23,6,4,1
50,84077,9234,402,13,5,0,1
21,58258,26519,549,2,9,4,1
50,68302,27966,752,9,2,3,1
31,48865,17173,819,5,1,4,1
38,26645,27987,452,0,8,4,1
65,58000,14178,473,22,3,4,1
37,46737,40338,642,23,7,2,1
25,31485,25596,730,26,8,4,1
24,58565,34174,623,13,6,1,1
20,45522,42974,719,7,9,1,1
34,85155,5431,784,18,7,0,0
50,75168,28764,711,13,5,2,1
65,72487,22627,383,9,8,0,1
29,32342,40310,412,16,2,1,1
68,60806,9906,631,8,7,1,0
39,68770,37914,677,28,4,3,1
39,98623,45814,340,5,9,4,1
63,119785,46379,404,10,1,1,1
47,95629,14076,501,24,7,0,1
55,72603,38650,749,6,6,0,1
55,101974,47881,565,16,8,4,1
62,46399,47413,509,27,5,4,1
68,105382,7012,417,27,1,3,1
25,101244,8151,676,0,1,2,0
44,96534,29211,839,21,9,0,0
44,75106,28117,383,4,6,4,1
51,50678,37378,753,8,5,0,1
38,96218,43652,813,17,1,4,1
47,83230,7894,686,23,6,1,0
50,94055,14467,649,26,6,0,0
45,76373,32010,595,20,3,1,1
64,51480,43641,557,1,8,0,1
50,105230,13289,380,28,1,2,1
22,88836,45976,567,25,1,3,1
65,92258,44596,718,10,6,1,1
36,59986,24171,534,26,1,4,1
21,44160,35905,610,27,6,2,1
52,105595,21829,656,5,1,0,0
66,99111,35054,512,25,6,1,1
34,84929,49478,348,7,3,0,1
61,93506,45139,426,3,8,0,1
45,54911,49713,522,17,6,0,1
47,107127,30734,578,27,1,3,1
46,51821,8052,707,10,5,3,1
63,95039,4654,804,4,8,4,1
23,80535,24486,593,14,3,1,1
52,104458,19743,576,27,6,2,1
58,32175,49368,737,17,5,2,1
54,74771,25489,406,1,6,2,1
41,106925,9636,719,21,1,0,0
46,86358,7441,728,10,7,3,1
66,37327,25611,674,25,9,1,1
63,67057,43435,372,24,2,0,1
48,26150,13149,329,12,5,3,1
52,24425,35566,487,3,4,3,1
50,36032,43368,663,21,6,1,1
69,22198,22675,750,6,6,1,1
38,80500,6495,494,28,2,1,1
49,73394,43668,455,10,2,0,1
40,40079,14673,471,21,4,4,1
50,56220,12130,340,23,1,1,1
20,61874,23668,362,3,9,4,1
35,33859,16222,322,27,7,0,1
42,70460,24669,659,14,7,4,0
59,51419,35068,374,0,3,2,1
48,28705,24253,417,22,3,4,1
20,62880,10435,679,2,1,1,0
57,43236,29552,589,13,3,0,1
63,107955,38384,739,5,3,1,0
41,105514,17393,306,17,4,2,1
67,35358,11617,495,24,4,1,1
49,119713,39520,720,0,3,1,0
64,114914,10852,492,5,8,1,1
39,96918,32401,447,5,8,3,1
40,34596,7295,501,20,1,2,1
19,53572,36993,743,15,7,1,1
44,98757,35084,718,28,2,1,0
59,21279,46105,726,4,1,1,1
19,83197,40575,778,16,3,0,1
43,82516,37451,774,9,4,3,1
34,27083,8227,425,27,6,0,1
57,37771,32910,694,20,5,3,1
50,49975,37041,624,17,4,1,1
26,65648,24384,691,6,8,2,0
60,68285,1145,739,2,4,4,1
65,39063,38778,503,12,2,4,1
56,87642,17035,785,14,3,1,0
46,110093,4040,330,19,6,0,1
59,106143,43422,687,18,8,2,1
43,57599,27160,733,2,8,3,1
52,71920,18633,675,3,9,1,0
67,48529,30344,643,4,7,2,1
42,55954,18014,742,0,2,2,0
41,47856,15996,374,3,8,3,1
30,22573,42621,454,11,7,2,1
24,98344,12695,729,27,8,0,0
53,55367,3852,662,26,3,0,0
62,119608,17014,747,23,7,0,0
37,80774,28042,533,9,9,2,1
18,43752,34755,561,22,3,0,1
25,75029,41390,424,24,6,3,1
63,37685,24711,544,20,2,2,1
33,71693,27122,841,28,2,4,1
31,75961,10160,784,25,5,2,0
29,96908,28213,421,19,5,3,1
68,94532,40420,424,23,7,4,1
40,101994,8421,848,24,2,2,0
32,76133,22400,469,12,7,0,1
45,117425,34537,423,22,5,1,1
51,81268,18727,334,13,6,1,1
19,112201,47882,386,22,8,0,1
49,58243,5358,500,4,4,1,1
40,77384,29482,668,3,7,1,0
39,51653,33117,376,13,6,0,0
68,46657,24164,358,9,2,0,1
42,59952,32910,730,16,8,2,0
39,42180,33496,799,9,9,2,1
39,117432,45311,408,25,5,0,1
66,98411,30371,577,6,4,3,1
69,21622,39467,367,15,6,1,1
59,68756,18625,368,0,8,2,1
23,60809,34893,464,16,3,1,1
32,36725,11793,788,20,1,4,0
60,81396,32007,604,28,4,0,0
54,71226,26766,664,8,4,3,0
50,101182,40532,678,5,1,4,1
25,102565,13323,642,18,9,4,1
61,49402,46799,653,12,3,4,1
61,24263,47820,715,2,5,0,1
22,116523,46408,408,6,6,2,1
56,66828,8843,796,21,8,0,0
21,67924,15210,640,8,6,2,0
23,94182,17456,682,21,3,4,1
62,113065,32367,832,4,6,4,1
49,79052,11106,599,9,1,3,1
69,31664,38957,438,22,4,2,1
47,55737,3472,658,16,6,4,1
64,109563,7704,798,11,7,1,0
52,49373,4713,684,22,3,3,1
57,56397,6051,579,15,9,0,0
69,106145,11756,782,2,7,3,1
33,58709,3475,410,29,1,1,1
30,81120,37378,438,24,2,2,1
67,39250,5255,734,21,1,0,0
59,41172,15484,808,8,9,0,0
47,31555,35503,572,28,9,2,1
36,107410,9258,398,14,7,3,1
34,98617,41747,403,4,3,4,1
36,73276,36196,513,22,5,3,1
45,77492,46113,464,12,4,1,1
43,73002,41194,819,13,7,4,1
54,109599,9533,583,19,9,3,1
43,92355,33581,816,14,2,2,0
40,111248,6249,463,15,8,1,1
26,44762,20201,363,22,9,1,1
29,31046,10686,390,12,9,1,1
18,116999,47877,416,16,7,4,1
18,48769,33007,566,22,9,0,1
64,73302,1661,439,7,9,4,1
51,43150,45843,545,20,3,3,1
49,88247,31137,694,1,4,0,0
65,24853,48556,786,4,2,3,1
42,114613,43828,775,5,3,0,0
57,109399,49604,816,11,5,4,1
62,41792,11526,483,17,5,1,1
18,79129,4374,319,29,6,2,1
33,94478,26592,823,21,7,1,0
56,87298,29982,828,21,7,4,1
22,51987,1207,446,0,1,0,1
39,35850,36433,603,29,2,1,1
46,32112,24197,527,16,9,4,1
20,44058,34400,401,29,2,3,1
29,65420,4083,716,10,6,2,0
43,58890,30328,515,9,1,1,1
33,86017,47479,706,18,3,0,1
68,67304,43891,698,13,2,3,1
54,52921,21103,798,25,3,4,1
39,21524,40891,764,9,5,2,0
46,35048,11754,381,14,6,0,1
31,55111,35447,664,27,9,4,1
45,57904,16901,462,18,4,4,1
22,74912,34004,347,3,7,1,1
64,54008,8446,810,1,6,1,0
66,20060,38211,628,8,2,0,1
47,94666,49231,415,9,8,4,1
63,103559,30301,636,27,7,1,0
69,75337,27116,446,10,7,2,0
22,33350,42323,622,13,8,2,1
29,44354,19752,742,6,1,4,1
33,65186,33376,312,22,1,1,1
43,48145,17669,793,14,8,0,0
43,54020,33916,586,21,4,0,1
65,106123,14395,413,18,5,0,1
38,95186,21421,779,21,8,2,0
56,105469,27342,321,14,5,1,1
53,40581,5895,648,29,4,1,0
50,108929,12023,619,27,6,2,0
47,43051,11699,425,23,5,0,1
54,71474,10715,576,7,7,0,1
40,111748,20169,503,10,7,4,1
27,89626,17163,493,28,4,3,1
22,26960,6782,846,8,5,1,0
53,55772,23641,585,14,3,1,1
51,41520,19792,356,0,4,1,1
69,69481,36585,602,29,4,3,1
48,56408,31682,462,0,3,4,1
27,114006,48864,318,18,5,3,1
36,77134,19880,669,2,5,0,0
49,40491,39067,563,9,7,0,1
18,21341,43685,412,7,4,1,1
22,64623,19073,787,14,4,2,1
62,110327,37035,626,9,9,1,0
21,20338,38174,841,0,6,2,1
33,91431,25837,364,28,4,3,1
41,32254,18826,591,17,2,0,1
33,71860,25981,324,1,6,2,1
19,31344,11382,848,18,2,3,1
66,21750,5437,300,12,5,0,1
45,74756,6435,848,21,6,2,0
49,87957,25819,440,0,4,1,1
44,78053,37875,487,1,3,1,1
37,90855,32982,427,28,7,1,1
41,35896,34328,500,15,2,3,1
29,75761,13329,426,14,6,1,1
67,82552,26169,556,12,4,4,0
52,97454,22932,846,15,6,0,0
50,110600,35594,493,16,4,3,1
50,47935,12421,403,20,4,1,1
68,57641,46033,834,28,4,0,0
60,49711,8629,564,28,9,2,1
54,90342,9325,683,6,7,1,0
29,32182,29495,559,23,3,0,1
20,107833,32750,713,25,3,4,1
18,76276,30619,657,16,6,2,1
50,39541,41461,374,6,6,4,1
57,114457,9264,654,12,4,0,0
27,102310,13686,487,4,9,4,1
60,64813,47484,589,25,4,0,1
61,57198,25226,344,16,9,0,1
46,28820,7721,382,2,4,4,1
30,44070,21609,422,6,2,0,1
29,89768,8373,657,25,2,1,0
48,31122,39675,827,16,5,0,1
63,100559,49895,365,6,4,3,1
19,93543,29937,674,20,7,0,0
68,103441,6656,461,0,5,3,1
67,61786,9984,679,16,6,0,0
52,114934,30984,657,29,4,0,0
40,119804,9286,487,16,2,4,1
34,26737,6901,621,10,9,1,0
43,56062,32552,749,24,7,1,1
25,74237,26709,773,26,4,2,0
46,71571,32055,312,28,3,4,1
43,45510,38685,483,2,3,4,1
27,39426,9429,410,14,9,1,0
43,57265,15716,807,28,5,4,1
51,37850,49563,589,20,3,1,1
68,86150,12138,594,10,5,4,1
58,107312,36298,750,25,2,0,0
24,109613,24429,514,27,4,1,1
21,94910,6772,326,15,2,1,1
67,72375,49244,530,24,2,3,1
62,55435,49519,620,21,8,4,1
28,116443,36732,532,27,1,4,1
46,77132,40905,736,8,7,1,1
53,98945,18347,832,23,5,0,0
42,102050,17920,702,23,8,0,0
38,115402,32822,352,0,1,0,1
53,22983,47659,612,28,7,4,1
27,117241,41108,580,24,5,3,1
54,40662,24563,330,21,4,1,1
26,43510,8967,636,15,7,2,1
41,98187,46183,482,8,2,3,1
52,60998,12871,322,18,1,2,1
66,76846,29763,843,11,1,3,1
52,114071,12916,745,18,1,0,0
65,26640,9734,373,21,5,4,1
53,64547,34613,309,8,7,2,1
35,74620,29179,783,6,2,3,1
66,35317,36262,755,13,8,4,1
56,27564,13677,459,28,4,2,1
49,47345,19268,313,18,3,1,1
41,114223,13330,477,18,8,3,1
40,99273,21733,711,1,2,1,1
49,94859,38947,352,8,3,0,1
54,100765,28286,707,12,3,1,0
29,94038,7610,321,14,1,1,1
66,72393,7430,329,2,6,3,1
30,86081,40922,559,10,2,0,1
40,49430,14828,504,20,1,1,1
42,95532,43913,358,13,2,4,1
52,47788,32497,770,29,6,2,1
58,115505,40256,765,24,4,1,0
47,68543,37618,311,7,6,0,1
34,33919,47332,589,17,9,1,1
66,89346,27526,653,18,8,2,0
37,116122,31158,374,15,1,0,0
65,59974,26032,740,1,8,3,1
42,36371,38846,540,7,9,0,1
39,65084,45936,453,21,6,3,1
30,49629,30794,395,5,5,0,1
36,71184,6448,593,11,6,2,0
66,81916,29861,508,14,6,2,1
53,93972,29141,642,24,9,0,0
29,82187,10074,387,7,4,1,1
58,32984,7406,689,3,2,2,0
36,53039,32823,624,14,9,3,1
29,105431,24291,456,27,2,3,1
26,103691,42568,436,19,9,4,1
24,78606,33003,727,24,2,3,1
45,30616,47851,751,16,8,4,1
31,70072,35406,440,12,9,0,1
48,44574,24312,382,17,9,0,1
69,23430,44108,476,1,9,0,1
36,32676,2382,497,12,2,1,1
64,30816,35171,720,12,4,1,1
33,52733,42779,700,21,7,4,1
22,105680,4292,770,14,2,3,0
52,22050,42779,517,19,1,3,1
29,53933,34187,474,28,3,0,1
42,44951,13411,322,26,4,2,1
69,52413,38285,534,9,8,1,1
38,54801,16422,312,28,6,1,1
53,75619,43468,400,2,2,0,1
40,52913,33371,835,18,9,1,1
33,60600,6693,822,2,2,0,0
56,77775,34535,751,21,5,4,1
62,110816,15818,730,13,4,3,1
59,110093,32238,832,7,7,2,0
56,55400,31874,592,26,8,3,1
31,24494,27715,400,22,5,3,0
48,100688,28605,801,29,5,4,1
22,109431,35317,603,3,2,1,0
52,94691,32174,839,26,8,2,0
40,117419,10956,654,27,2,1,0
46,63001,39908,602,19,6,3,1
60,87364,11837,795,10,8,0,0
28,65028,4716,526,25,6,3,1
35,117659,5481,535,10,4,1,1
64,57573,25282,754,26,4,3,1
29,20806,7548,312,29,6,0,1
26,76638,38605,509,10,4,4,1
27,49757,8758,696,1,8,1,0
61,54636,44668,399,29,9,3,1
34,100097,24177,330,16,1,1,1
55,68280,25022,827,8,4,4,1
24,44262,41761,628,27,4,3,1
63,100435,6542,465,27,2,3,1
30,82211,26476,758,1,6,1,0
57,74842,31784,399,28,3,1,1
59,76979,23740,472,23,7,0,1
26,101470,25817,461,14,5,4,1
67,58197,48596,562,15,4,0,1
44,61844,17052,573,24,5,3,1
19,84754,36153,302,3,8,1,1
22,54157,48076,327,7,3,3,1
46,97129,1671,625,8,7,3,0
54,60042,1163,448,25,6,2,1
55,81665,42424,839,25,1,2,1
36,102856,45002,787,4,7,3,1
25,47376,5795,737,15,7,1,0
65,75554,11634,364,12,1,3,1
62,34199,5798,655,29,9,2,0
18,101412,23420,832,6,6,1,0
39,70948,30300,551,25,2,3,1
69,93781,25345,534,19,5,4,1
34,92750,11749,526,16,4,4,1
24,86262,39595,824,2,7,3,1
42,66600,26121,612,4,8,1,1
62,96898,38487,348,18,1,3,1
21,82483,29411,417,11,5,3,1
53,38297,34361,353,28,3,2,1
23,50448,22223,343,26,1,4,0
48,46172,8394,352,6,3,2,1
36,62874,15056,824,27,6,2,0
61,27657,29380,401,8,7,3,1
56,104386,27035,697,27,8,2,0
44,45425,31620,437,5,4,4,1
27,46685,20877,686,28,3,2,1
43,44578,44404,410,25,5,4,1
36,48831,31911,316,16,9,2,0
56,27906,33784,481,15,6,4,1
20,81413,4191,835,22,9,2,0
62,74028,34160,840,2,6,2,1
30,27287,26000,470,20,2,1,1
67,53660,40040,708,25,5,4,1
45,95758,4631,677,3,9,4,1
37,80504,7172,487,9,8,4,1
45,79720,43080,529,4,7,0,1
25,54701,24561,418,20,1,2,1
58,103300,25817,455,21,4,4,1
56,37674,21281,764,29,7,0,1
18,103560,29671,403,9,7,1,1
20,43874,26364,801,11,6,4,1
30,63642,42674,474,9,8,4,0
45,117820,28425,720,28,6,0,0
66,85160,29602,433,12,3,2,1
42,37602,24253,690,10,4,1,1
50,108801,24472,800,21,3,4,1
55,45931,9080,332,15,1,2,1
23,114377,8099,354,7,5,1,1
61,49192,26431,818,7,1,3,1
62,66542,32186,311,26,1,3,1
49,62520,48684,827,24,2,1,1
62,84772,31111,672,7,4,0,1
64,78762,40851,783,12,6,1,1
38,70106,23614,527,26,8,1,1
33,101121,27724,606,1,3,0,0
38,45559,42991,756,29,1,0,1
28,53742,5940,459,29,3,2,1
54,89669,29758,630,11,3,2,0
53,100199,37224,524,9,5,0,1
52,41754,8788,803,11,4,3,1
36,23972,29082,755,10,4,3,1
37,90831,25034,344,14,9,1,1
35,61873,36479,513,15,7,4,1
64,114661,12280,358,16,4,1,1
58,29903,19052,494,25,3,1,1
66,23020,17531,788,1,6,4,1
31,61755,23804,456,17,3,0,1
32,105956,29903,525,11,6,3,1
48,106988,45857,711,18,9,1,1
18,65648,11142,504,25,6,4,1
20,29516,49355,378,22,4,2,1
33,22396,10866,423,17,5,1,1
40,104082,5531,770,29,6,3,1
28,39129,46454,517,16,3,0,1
29,21591,39098,815,29,8,1,0
27,31303,39278,403,5,4,1,0
49,50561,29138,692,24,8,4,1
33,91719,28065,733,14,3,2,0
25,112108,30956,630,2,7,2,0
55,119616,42732,442,5,9,0,1
29,106231,40261,839,2,4,3,1
41,27314,11759,577,29,8,0,1
45,39623,6439,532,28,3,1,1
25,87675,48241,828,0,7,1,1
45,116826,43533,389,29,3,2,1
53,85082,29270,791,12,7,3,1
43,103624,14279,498,27,6,4,1
