age,income,credit_limit,transaction_amount,num_transactions_30d,account_age_months,num_prev_disputes,merchant_category,country_match,time_of_day_hour,is_weekend,card_present,distance_from_home_km,is_fraud
64,145674,32412,508,35,91,3,online,1,1,0,1,37,0
45,145307,50793,4739,53,216,3,retail,1,13,0,1,64,0
69,134397,41772,1683,26,205,0,travel,1,8,1,0,0,0
47,42771,11566,3077,14,90,2,food,1,17,1,1,58,0
62,54975,8371,124,45,29,1,online,1,18,0,0,136,0
48,70648,32119,2989,44,179,2,food,1,11,0,1,62,0
36,73285,20513,4779,65,49,3,travel,1,12,0,1,1,1
35,44063,7836,1746,51,171,1,online,1,11,1,1,23,0
67,92642,22892,3621,43,220,4,online,1,11,1,1,82,1
71,115093,30574,2263,23,220,3,food,0,17,0,1,159,1
64,139390,60079,2304,56,72,2,travel,1,8,0,1,23,0
72,111143,43728,3640,19,215,2,retail,1,16,0,0,92,1
23,62599,25522,156,76,221,2,online,1,20,0,0,99,0
57,76920,8031,3992,55,133,0,retail,1,15,0,1,6,0
71,53529,14263,3463,60,42,3,travel,1,16,0,1,93,0
27,60954,17831,4517,59,135,1,online,1,20,1,0,19,0
41,52856,5691,2420,33,42,2,online,1,23,0,1,44,0
29,27573,5622,146,19,164,2,retail,1,7,1,1,38,0
59,103344,41762,3370,28,105,0,electronics,1,10,0,0,54,0
38,60367,9347,3015,52,27,1,retail,1,23,0,1,67,0
24,127337,39999,3562,49,58,3,retail,1,1,1,1,29,1
45,131732,24512,28,37,46,4,electronics,1,7,0,1,109,0
34,124608,13064,2252,26,66,0,travel,1,11,0,1,82,0
70,85774,16852,458,40,25,3,travel,1,20,0,1,76,0
29,48752,23905,1958,38,73,4,online,1,0,0,1,30,0
46,80029,33661,955,77,117,2,food,1,22,0,0,1,0
73,42685,20652,4246,54,155,2,food,1,12,1,1,33,0
22,76693,22635,1930,22,129,1,online,1,21,1,1,114,0
40,141739,20395,2987,16,87,4,food,1,20,1,1,10,1
48,80961,25841,4198,28,74,2,retail,1,16,0,0,202,1
67,131937,37173,4025,35,170,2,retail,1,13,1,0,82,0
27,149956,65642,248,60,180,1,electronics,1,13,1,0,61,0
64,101908,14188,214,45,153,3,electronics,1,15,0,1,56,0
28,99532,29391,2617,46,182,2,online,1,16,0,0,44,1
67,106994,17121,4350,72,125,0,online,0,5,0,1,63,1
55,81133,18650,4937,55,67,0,online,1,6,1,1,27,0
34,122425,48350,3398,26,6,3,retail,1,0,0,1,93,1
37,86268,25052,2982,25,125,4,food,1,14,1,1,59,0
56,117201,29341,4400,65,58,1,online,1,19,0,0,73,0
70,63243,16303,2697,6,70,0,online,1,20,1,1,78,0
60,82384,23378,4961,23,53,0,retail,0,17,0,1,4,1
24,56653,23454,4176,64,66,3,retail,1,12,0,1,2,1
22,51657,23598,1358,43,58,4,retail,0,23,0,1,80,1
26,64952,31315,4410,23,82,4,food,1,1,0,1,15,1
74,47180,19568,826,30,87,3,online,1,18,1,1,43,0
62,122432,27689,830,77,2,0,travel,1,14,1,1,29,0
24,146829,55098,202,18,204,1,travel,1,11,0,1,1,0
74,103411,28442,1786,79,150,0,online,1,14,0,0,2,0
49,26622,5374,3655,21,37,4,online,1,17,0,0,87,1
38,73756,32183,4634,57,148,0,online,1,13,0,0,46,0
46,65809,7592,260,23,103,1,online,1,5,0,0,37,0
64,41725,19222,1798,45,24,2,food,1,11,1,1,144,0
54,86396,24587,3710,44,112,0,travel,1,19,1,0,9,1
30,76226,27051,2473,47,212,3,electronics,1,22,0,1,14,0
56,131296,47757,1177,40,65,2,travel,1,5,0,1,70,0
34,106182,48636,3903,51,193,3,travel,1,8,0,1,74,1
51,107565,38149,1106,42,209,3,retail,1,3,0,0,25,1
68,54402,18799,2689,7,129,3,online,1,16,0,1,150,0
35,29263,3706,1857,50,117,0,online,1,1,0,1,139,0
28,148489,45640,3914,48,116,4,online,1,15,0,1,0,1
34,121523,19451,514,6,237,2,retail,1,23,0,1,9,0
43,71828,28370,1631,9,222,1,food,1,13,0,0,85,0
60,145824,44460,2482,57,105,4,food,1,7,0,1,20,1
41,72924,27134,2556,31,239,0,electronics,1,13,0,1,5,0
36,99182,11571,1397,21,3,3,food,1,1,1,0,76,0
65,118065,15810,3004,40,46,1,food,1,15,0,1,30,0
38,84052,32488,3826,45,55,2,online,1,3,1,1,33,0
67,36664,4723,727,77,75,4,travel,0,0,0,1,10,0
73,60737,7804,3494,49,216,4,food,0,22,0,1,54,1
44,126332,13245,4444,20,214,1,food,1,19,0,0,40,0
46,114563,55288,668,17,192,0,retail,1,13,0,0,11,0
45,54373,21477,4018,28,236,2,electronics,1,7,1,0,20,0
65,142369,34353,4534,41,45,1,retail,1,2,0,1,45,0
61,61397,13422,4244,66,154,3,online,1,4,0,1,129,1
49,111145,26661,3774,25,77,2,travel,1,5,0,1,126,0
35,126371,51794,2999,58,193,4,electronics,1,21,0,1,16,1
65,63709,23225,4647,41,24,1,retail,1,7,1,1,66,0
21,141074,24557,2114,6,202,4,food,1,5,0,1,74,1
45,86120,14609,1265,75,35,4,food,1,5,0,1,82,0
27,44250,6166,2492,38,24,4,electronics,1,3,0,1,42,1
29,46172,16812,393,6,28,0,food,1,6,1,1,0,0
44,36555,14832,2617,45,228,4,retail,1,23,0,1,71,0
21,112410,23158,203,75,208,3,retail,1,18,0,1,5,0
64,103617,11229,3817,14,232,3,food,1,6,0,1,6,1
28,78276,10400,3729,66,16,2,food,0,2,1,0,46,1
44,82492,40185,2591,40,59,4,online,1,7,0,1,205,1
31,78002,17018,2575,3,209,4,travel,1,0,0,1,13,1
71,145103,59156,2773,24,182,1,electronics,1,0,1,1,51,1
37,149938,52458,2808,19,207,0,retail,1,13,1,1,18,0
28,114599,28967,2349,18,144,2,electronics,1,5,0,0,114,0
55,97355,17745,3416,64,15,4,online,1,9,1,1,45,0
55,116248,17269,741,35,226,1,retail,1,13,0,0,11,0
53,49762,17217,2882,62,11,0,online,1,3,1,1,15,1
25,36046,14773,3130,1,193,2,online,1,5,0,0,28,1
62,121999,43622,4790,25,79,2,food,1,15,0,0,6,0
59,149130,46546,4187,45,218,4,electronics,1,20,1,1,4,1
61,141021,16468,2614,49,115,2,electronics,1,0,1,1,56,1
48,53769,26206,2392,16,68,1,food,1,5,0,1,26,0
27,78302,32846,541,19,43,2,electronics,1,8,1,1,64,0
29,48150,10454,4326,23,69,3,food,1,14,0,1,5,1
28,93247,45876,644,25,227,1,retail,1,11,1,1,47,0
32,29853,10172,1779,16,141,0,online,1,2,0,1,29,0
54,119613,39827,3814,54,138,0,online,1,10,0,1,2,0
53,145900,58247,2380,73,75,4,electronics,0,14,0,0,39,1
68,114399,48586,12,1,210,4,travel,1,2,0,1,4,0
43,46792,16966,215,42,226,3,online,1,13,0,1,87,1
44,84129,12723,4145,19,103,0,food,1,1,0,0,49,0
57,131019,30829,2631,34,41,0,travel,1,3,0,1,40,0
55,99478,46877,4749,55,234,0,travel,1,18,1,1,7,1
64,138811,26352,2900,18,178,0,online,1,11,0,1,16,0
60,139130,34624,3203,34,215,2,online,1,1,0,0,33,1
42,92298,25181,2676,45,199,1,online,1,16,0,1,50,0
47,56987,15714,3316,6,59,1,food,1,2,0,1,10,0
55,40850,14100,907,21,39,3,travel,1,9,0,1,0,0
21,37112,17710,1095,70,3,2,electronics,1,15,0,1,21,0
55,146789,28811,1289,48,204,0,food,1,21,0,1,32,0
57,49058,7290,680,39,7,0,retail,1,8,0,1,10,0
67,70420,12604,1515,31,49,4,online,1,10,0,1,33,1
34,63890,29055,3585,10,26,4,travel,1,20,0,0,20,1
23,91017,32613,4824,30,161,3,food,1,14,1,0,30,1
21,72304,15499,1965,18,101,0,retail,1,2,0,1,21,0
25,57921,24696,259,60,176,3,food,1,15,1,1,49,0
46,130921,58200,1902,73,79,2,food,1,20,0,1,2,0
34,26524,11633,3449,15,2,1,electronics,1,20,1,1,9,0
59,125424,58644,1863,4,233,0,electronics,1,20,0,1,28,0
47,40048,8045,2864,63,127,2,food,1,11,0,1,22,0
29,60111,24165,1513,40,199,0,retail,1,22,1,1,24,0
35,62904,17878,3395,9,160,4,travel,0,4,0,0,81,1
35,79912,34905,3581,9,132,3,travel,1,6,0,1,108,0
46,59008,23095,3802,26,20,4,online,1,8,0,0,14,1
62,25060,10289,3436,4,117,1,online,1,20,1,1,90,1
33,99666,36125,53,16,164,4,travel,1,17,0,1,30,0
71,108559,18560,3622,15,32,0,food,1,20,0,1,15,0
52,80337,25548,2628,52,28,4,food,1,7,0,0,211,1
59,135616,66976,4688,69,77,0,electronics,0,11,0,1,87,1
69,38350,18214,3173,5,1,1,electronics,1,19,1,1,257,0
72,49354,5787,1298,20,188,4,online,1,1,0,1,9,0
52,70186,11645,2952,79,56,3,travel,1,9,1,1,7,1
24,53145,8114,229,18,35,3,food,1,18,0,1,34,0
50,59020,23040,1935,2,112,3,travel,1,8,0,1,50,0
57,111123,47462,2982,13,30,4,retail,1,23,0,1,9,1
43,131667,24411,3523,4,54,4,travel,1,7,0,1,98,1
59,100186,30290,2458,42,36,4,retail,1,23,0,1,37,0
65,110469,48195,3481,74,183,0,electronics,1,23,0,1,26,1
35,45581,17918,2784,61,217,1,electronics,1,23,0,1,46,0
63,113929,36103,1000,8,80,3,online,1,0,0,1,50,1
49,48051,16151,2956,67,58,0,travel,1,5,0,1,2,0
56,76474,23197,1822,63,83,3,travel,1,11,0,1,456,0
33,116748,25570,4963,9,65,0,retail,1,23,0,0,22,0
52,139618,45516,813,11,69,4,electronics,1,18,0,1,3,0
27,94626,35537,499,42,128,3,retail,0,16,0,1,95,1
71,31960,14360,3566,13,51,4,electronics,1,1,0,1,248,1
42,60772,21544,1503,36,22,3,retail,1,10,1,1,84,0
48,46520,18814,3655,13,216,2,electronics,1,17,0,1,95,0
22,74481,12217,2901,12,107,0,retail,1,22,0,1,49,0
62,61408,17478,1715,37,109,2,electronics,1,21,0,0,127,0
65,119006,12344,3526,74,116,0,retail,1,10,1,0,1,0
73,82134,16317,3350,73,101,1,travel,1,17,0,0,72,1
26,45491,17768,63,52,181,3,online,1,7,1,1,55,0
48,26341,13084,2585,71,100,1,retail,1,14,0,0,2,0
48,69623,9724,3601,2,164,1,online,1,8,1,1,39,1
64,115327,30053,625,56,68,0,travel,1,14,0,1,36,0
64,25338,10642,964,60,36,2,travel,1,6,0,1,58,0
40,96431,17513,2443,23,180,4,electronics,1,19,0,1,4,1
50,37254,11997,1639,40,181,0,online,1,12,1,1,81,0
31,76860,30223,2791,64,210,4,food,1,12,1,1,7,1
48,36344,12589,659,23,178,1,electronics,1,0,0,1,27,0
45,26750,4686,2357,29,208,4,online,1,19,0,0,106,0
59,79756,19313,4500,78,169,2,retail,1,3,0,1,41,0
53,92957,38439,3288,51,146,0,retail,1,23,0,1,23,0
21,130423,41955,2650,69,22,2,travel,1,3,0,1,2,0
47,83053,8479,3811,31,66,2,food,1,3,0,0,55,0
72,95855,38763,2571,50,21,0,retail,1,12,1,1,215,0
33,40896,4667,3259,20,100,2,online,1,1,0,1,121,0
61,80761,32166,380,55,128,3,online,1,22,0,0,63,1
23,87552,15846,867,2,44,3,retail,1,14,0,1,5,0
59,145075,70104,4896,25,103,3,online,1,3,1,1,13,1
26,102454,25324,4763,13,47,4,online,1,5,1,1,10,0
28,143681,33157,393,70,39,2,travel,1,2,0,1,21,0
47,115600,18444,3887,67,29,0,food,1,6,1,0,13,0
29,147732,32832,2562,58,54,0,travel,1,5,1,1,14,0
57,137153,61809,4344,75,90,4,food,1,2,0,0,47,0
53,147926,73746,4300,64,85,0,online,0,3,0,0,19,1
71,52935,13092,2735,69,17,3,food,1,9,1,1,56,0
62,62641,17504,4044,59,80,2,online,1,20,0,1,147,0
64,54711,21273,3303,60,188,0,online,1,8,0,0,50,0
44,95342,43330,4261,62,159,0,travel,1,5,0,1,69,0
35,131896,44477,3998,16,73,1,travel,1,19,0,1,69,0
74,37182,9541,932,68,223,1,electronics,1,10,1,1,20,0
52,112833,29906,2925,15,206,1,retail,1,6,0,0,0,1
52,81276,30742,2960,55,49,2,electronics,1,17,0,0,2,0
44,44541,4511,3056,35,101,3,electronics,1,3,1,1,16,1
61,119457,41551,984,55,2,3,food,1,4,0,1,58,1
72,107310,25990,1240,14,176,3,online,1,3,0,0,118,1
69,69813,29159,2445,49,238,2,online,1,3,1,0,159,1
69,62198,8533,1824,7,142,2,online,1,12,0,1,1,0
72,33820,11339,2944,30,59,1,retail,1,15,0,0,230,1
32,49070,14347,4943,49,97,0,food,0,13,0,1,19,0
59,94768,33825,1373,16,99,4,food,1,10,0,1,92,0
22,36122,4549,3950,51,186,4,online,1,1,1,0,9,1
23,105559,35044,213,72,103,0,electronics,1,21,0,1,3,0
69,98543,31986,170,42,186,1,retail,1,13,0,1,23,0
57,108441,35163,4497,17,239,0,electronics,1,23,0,1,97,0
69,66786,22800,778,63,179,0,travel,1,23,0,1,12,0
37,119934,44446,3758,45,212,4,food,1,6,1,0,8,0
69,124804,52666,2591,77,2,1,food,1,10,1,1,120,0
22,31737,6599,1103,7,41,2,electronics,1,3,1,1,139,1
22,61062,26257,4510,27,211,4,retail,1,6,0,1,0,0
48,79237,23715,617,10,123,2,food,1,15,0,0,64,0
74,76571,10017,1550,34,229,1,electronics,1,5,0,1,18,0
43,50510,6233,2885,36,82,0,retail,1,5,1,1,23,0
57,44426,10382,3201,25,144,3,electronics,1,1,1,1,31,1
52,62265,25775,1847,6,132,3,retail,1,23,0,1,27,0
53,42850,16414,699,24,140,1,online,1,7,0,1,36,0
21,143249,59512,3769,18,29,3,retail,1,6,0,1,43,0
39,91150,27974,2959,6,135,2,travel,1,23,0,0,31,1
22,112312,31007,2113,29,14,3,online,1,13,1,1,60,1
73,114613,18221,375,25,12,1,electronics,1,8,0,1,63,0
64,99910,23106,3585,55,99,1,online,1,14,0,1,29,0
46,77375,21170,4560,46,133,2,online,1,21,0,1,7,1
52,146826,19886,4209,24,81,3,electronics,1,17,1,1,51,1
26,60435,11376,4182,75,106,3,electronics,1,11,0,1,74,0
52,121443,41204,4335,26,32,0,travel,1,22,0,1,50,0
24,82132,32381,2388,28,74,4,electronics,1,18,0,1,44,0
31,103945,51903,1215,3,171,1,food,1,12,0,1,13,0
37,107050,50660,4998,75,81,0,food,1,6,0,1,51,0
58,120402,42986,3849,38,69,1,travel,0,9,1,1,20,1
44,27983,7513,2745,61,45,0,retail,1,9,0,1,126,1
25,122241,43330,3357,78,106,4,retail,1,1,0,1,53,1
72,45662,18915,1685,51,137,0,food,1,13,0,0,16,0
54,48510,7147,308,48,177,1,electronics,1,12,0,1,32,0
26,103187,27237,966,21,161,3,travel,1,21,0,1,93,0
42,65998,28769,1124,54,228,1,retail,1,5,0,0,20,1
31,81846,20750,2515,56,100,2,retail,1,8,0,1,37,0
68,119071,39144,1484,59,146,2,online,1,12,0,0,56,0
36,31640,10602,4470,72,9,2,food,0,8,0,1,70,1
53,69547,12086,4456,51,62,2,electronics,0,12,1,1,9,1
29,79620,19498,3736,20,185,4,travel,1,4,0,1,41,0
26,40317,9426,3481,59,29,3,retail,1,13,1,0,121,0
36,140608,15534,2838,71,125,3,online,1,4,1,1,172,1
49,32564,3571,2860,9,114,1,food,0,8,0,1,53,0
23,52345,22648,2516,1,206,0,food,1,7,1,1,205,1
40,138824,29045,3780,29,153,1,travel,1,6,0,1,42,0
56,119223,36629,2974,63,143,1,retail,0,7,0,1,29,1
39,148372,32566,4604,72,134,1,travel,1,21,0,1,40,0
46,104273,49662,959,56,120,1,travel,1,2,0,1,6,0
23,99859,20343,4613,68,170,3,online,1,22,0,1,25,1
39,105765,28753,2860,35,157,0,food,0,23,0,1,30,0
40,135017,60635,175,3,79,1,electronics,1,14,0,1,94,0
52,99038,43257,3496,7,93,3,food,1,7,0,1,71,0
27,148618,25925,2519,27,4,1,food,1,0,0,1,45,0
72,77393,32586,929,1,82,2,online,1,6,0,0,21,0
61,91081,25800,123,71,185,1,electronics,1,18,0,1,10,0
53,127650,37425,3514,44,177,1,retail,1,1,0,1,21,0
60,54430,8349,1001,41,172,4,electronics,0,13,0,1,56,0
59,100532,13294,3849,75,231,2,retail,1,17,0,1,15,0
38,52788,20649,1268,42,208,0,electronics,1,14,1,1,27,0
60,120505,35980,3436,33,75,1,travel,1,13,1,1,24,0
21,73543,20205,524,50,14,0,electronics,1,23,0,1,72,0
31,38919,15248,4814,63,131,2,online,1,18,1,0,107,1
48,94346,38323,3206,37,114,1,retail,1,18,0,0,60,0
45,121122,19811,4444,59,62,4,food,1,21,0,1,20,0
70,64974,22356,2594,48,106,3,online,1,16,1,1,28,1
43,132309,20394,77,5,64,4,retail,1,21,0,0,7,0
51,41371,16571,1606,48,102,4,retail,1,18,1,1,9,0
50,70084,25425,4488,3,173,3,food,0,15,0,1,8,1
62,54629,26366,28,47,106,3,travel,1,19,0,1,6,0
55,76184,9719,2740,62,210,3,online,1,18,0,1,9,1
27,86916,10675,3531,14,186,1,food,1,0,0,1,11,1
36,98972,21068,582,63,20,0,food,1,18,0,0,5,0
46,87187,17845,2268,61,58,0,travel,1,6,0,0,51,0
68,37984,7550,2912,31,112,3,online,1,22,1,1,232,0
72,58039,26843,660,17,217,4,food,1,10,0,0,105,0
69,110431,22066,2597,24,57,2,travel,1,4,0,1,2,1
22,108691,22692,3272,23,230,3,online,1,16,0,1,27,1
21,83606,33756,1348,50,205,4,electronics,1,10,1,1,98,0
68,35616,9968,3644,78,196,4,retail,1,23,0,1,7,0
32,127665,52430,2837,79,119,1,travel,1,7,0,1,94,0
25,130373,16446,2227,79,206,1,retail,1,9,1,1,44,0
57,75072,22148,3549,70,97,0,electronics,1,11,0,0,133,0
52,49574,5623,1047,27,92,0,food,1,9,0,0,104,0
29,28430,3555,4393,15,52,2,food,1,12,1,0,56,0
61,144123,66667,3988,50,37,2,online,1,17,1,1,53,0
55,37676,5866,2971,36,8,2,travel,1,9,0,1,11,0
39,35816,11209,3236,8,44,2,travel,1,18,0,1,6,0
68,57733,15266,1108,79,98,4,online,1,19,0,0,26,1
36,110680,26445,2334,3,236,4,retail,1,16,0,1,10,0
23,27050,12441,949,62,133,0,food,1,19,1,1,5,0
40,134996,14678,3726,47,118,1,food,1,15,0,1,18,0
44,58933,21540,3424,77,69,1,travel,1,4,0,0,98,1
74,49951,24244,1458,61,159,3,travel,1,2,0,1,0,0
53,57413,18605,580,32,45,4,online,1,14,0,1,17,0
44,59801,28389,2914,13,137,2,electronics,0,1,1,1,27,1
72,80619,9747,2515,1,234,2,retail,1,12,0,0,35,0
31,57913,15492,927,34,32,3,electronics,1,21,1,1,10,0
69,137573,28073,1884,62,33,1,electronics,1,7,0,0,166,0
28,144076,56525,4938,79,126,2,travel,1,22,0,0,43,0
56,65600,32309,1688,78,67,1,travel,1,16,1,1,36,0
58,82775,16771,625,71,30,3,travel,1,3,1,1,0,0
60,115816,41887,4511,31,114,1,electronics,1,18,1,1,33,1
40,115093,20629,1759,64,204,1,retail,1,21,1,1,90,0
55,137590,44872,3835,25,29,1,travel,1,8,0,1,12,0
68,60400,17248,4198,38,131,2,food,1,22,0,1,21,0
45,29494,14416,2487,14,218,0,retail,1,14,1,1,1,0
55,105688,36294,4759,8,185,4,food,1,8,0,1,188,0
45,147744,35429,3515,54,30,1,retail,1,23,0,1,3,0
49,114431,16665,3485,2,137,1,travel,1,20,0,1,114,0
38,99691,16000,4539,78,154,1,online,1,8,0,0,18,0
66,122419,23275,1145,56,130,0,travel,1,13,1,1,44,0
38,133730,26797,4010,61,62,3,electronics,1,22,0,1,56,1
22,68001,29937,384,22,3,2,electronics,0,20,1,0,7,0
74,92364,29971,216,35,174,0,retail,1,15,0,1,29,0
55,149988,46399,4885,16,68,1,electronics,1,23,0,1,19,0
36,70028,10217,1329,50,25,0,travel,1,22,0,1,2,0
61,132434,58808,1151,43,179,0,food,1,16,0,0,89,0
56,122659,47729,4637,17,141,0,travel,0,12,0,1,2,1
53,62573,7950,2700,58,231,3,retail,1,8,0,0,52,1
24,25806,9887,3265,2,44,4,electronics,1,14,0,0,18,1
53,149343,47403,99,4,163,2,food,1,6,0,1,10,0
34,81638,10832,4118,39,55,3,online,1,0,0,1,54,1
41,131506,37258,3030,6,215,3,food,1,0,0,1,42,0
68,54757,16091,1867,69,137,4,food,1,4,0,1,18,0
40,59636,9918,814,69,130,3,travel,1,23,0,1,35,1
28,105097,50265,954,20,189,0,online,1,8,1,1,14,0
27,73280,32242,2799,64,41,0,retail,1,11,0,1,99,0
23,49262,18109,3885,16,172,1,retail,1,5,1,0,18,1
37,105435,30040,1620,51,64,3,food,0,12,1,1,14,1
53,87211,23085,2933,37,31,1,food,1,7,0,1,69,0
68,79842,28774,3892,73,236,2,electronics,1,14,1,1,0,0
32,81979,26083,3231,69,47,0,online,1,5,0,1,15,0
71,139524,17427,4401,42,130,2,food,1,5,1,0,23,0
42,106470,32473,4745,57,96,4,electronics,1,3,1,1,106,1
42,63197,26704,2397,66,210,0,online,1,10,0,1,150,0
66,66844,18963,4733,9,77,2,retail,1,20,0,1,63,0
50,89754,10840,951,64,110,4,electronics,1,17,0,1,33,0
58,126868,52588,4935,22,69,2,online,1,2,0,1,51,1
58,59157,10680,2576,34,58,4,electronics,1,2,0,1,26,1
65,102129,20777,985,55,106,4,food,1,11,0,0,17,0
71,65042,10789,964,29,44,0,travel,1,20,0,0,150,0
74,86665,20113,1272,38,74,1,retail,1,20,0,1,6,0
28,140512,56584,953,18,56,4,food,1,5,1,1,21,0
47,141953,43686,2212,71,171,4,food,1,20,1,1,114,0
47,107856,19624,3337,65,127,0,online,1,5,0,1,64,0
54,52376,23628,4284,1,217,1,electronics,1,7,0,1,1,0
41,134049,60567,2269,4,162,3,retail,1,14,0,1,1,1
50,80554,36106,1838,4,229,3,food,1,17,0,1,36,0
53,39199,7664,1267,27,30,1,online,1,19,1,1,33,0
48,143533,40260,474,43,71,2,retail,1,15,0,1,29,0
67,106412,52567,3304,59,198,0,electronics,0,5,0,1,18,1
53,75948,31047,1240,32,118,1,food,1,20,1,1,215,0
25,98781,10951,2664,33,55,3,food,1,16,1,1,15,1
68,97750,12324,894,28,67,4,food,1,8,0,1,33,1
39,91262,26061,3815,55,141,3,retail,1,18,0,0,25,0
24,142424,66040,3866,60,3,4,retail,1,17,0,1,9,0
55,71600,22588,3145,70,26,0,retail,1,22,0,0,11,1
69,101898,30480,934,62,57,4,retail,1,4,1,1,125,0
37,87483,12439,4599,34,126,1,online,1,5,0,1,97,0
64,43297,15704,1556,56,152,4,travel,1,11,0,1,11,0
48,55448,23778,1104,13,53,2,online,1,10,1,1,104,0
50,51172,12903,2421,56,198,1,food,1,15,1,0,11,1
49,67874,27844,2627,18,43,0,online,1,19,1,1,49,0
66,32657,15864,772,54,188,1,electronics,1,16,0,0,4,0
73,109386,19854,2333,77,186,2,retail,1,19,0,1,106,0
26,50425,15598,4155,43,49,0,electronics,1,8,0,1,2,0
55,51685,11104,2785,39,42,3,electronics,0,0,0,1,40,1
61,147000,61319,4669,61,204,2,food,1,2,0,1,75,0
57,137855,45635,4888,42,228,0,retail,1,20,0,0,6,1
44,49578,17542,3165,79,194,4,electronics,1,22,0,1,25,1
49,53831,22564,3980,18,11,1,food,1,8,1,1,2,0
69,32906,8502,2050,23,103,0,retail,1,21,0,1,57,1
66,86413,40271,593,54,98,1,travel,1,18,1,0,18,0
73,79028,24752,4341,30,218,4,food,1,12,0,0,40,0
51,32287,5268,2113,58,146,0,online,0,22,1,1,134,1
55,58660,22194,1952,68,85,3,retail,1,13,0,1,18,0
53,100758,42046,4465,67,100,2,electronics,1,19,1,1,2,0
72,85504,19384,119,71,104,0,electronics,0,18,0,1,56,0
41,84720,37520,201,18,180,4,online,1,22,0,0,77,0
52,127979,59184,913,7,46,0,online,1,6,1,1,158,0
43,59701,12582,871,40,44,1,electronics,1,3,0,1,8,1
53,108300,53436,1093,70,22,0,retail,1,11,0,1,24,0
23,135177,21126,659,65,181,3,food,1,22,1,1,92,0
38,42674,7715,4144,68,187,0,online,1,13,1,0,82,0
45,108560,18855,3621,49,222,2,online,1,1,0,1,49,0
62,136543,62481,646,52,114,0,online,1,0,0,1,15,0
51,48874,17678,1046,29,235,1,travel,1,17,0,0,16,0
74,68642,11040,4141,21,125,0,retail,1,19,0,1,6,0
23,148867,41106,2158,78,124,3,retail,1,7,1,1,127,1
60,122820,42510,3875,9,30,4,retail,1,2,0,1,9,1
66,90160,12026,3167,47,8,0,retail,1,5,0,1,42,0
44,42602,19297,3597,76,98,0,retail,1,21,1,1,43,0
70,128320,54079,3304,42,57,2,electronics,1,12,0,1,23,0
52,113801,34377,4271,51,111,3,online,1,8,0,1,21,0
67,50931,24795,2440,56,73,4,electronics,1,8,0,1,55,1
42,119377,31886,1889,51,115,1,travel,1,19,0,1,24,0
43,54192,26751,3976,70,20,0,food,0,8,0,1,14,1
22,71542,26267,3723,20,232,4,online,1,14,0,1,25,1
47,67520,23893,4136,27,25,1,travel,1,12,0,0,82,0
62,89772,14936,4116,38,19,3,electronics,1,21,0,1,169,0
22,83762,37925,2021,72,5,3,food,1,15,0,1,50,0
46,75106,20353,3383,65,75,4,travel,1,1,0,0,76,1
37,106121,17498,2153,54,207,1,food,1,13,0,1,38,0
60,50559,5310,2510,24,128,3,travel,1,5,0,1,49,1
53,130595,42300,4591,47,72,4,electronics,1,1,0,1,221,1
29,58742,18266,1299,71,211,3,food,1,7,0,1,28,0
63,94669,36707,1457,63,215,3,travel,1,3,0,1,3,1
74,105199,47981,3209,57,155,3,electronics,1,20,0,0,157,1
68,46754,6160,1953,55,40,2,online,1,23,1,1,78,0
59,28972,11374,3193,60,224,1,electronics,1,13,0,1,25,0
