credit_score,monthly_income,loan_amount,debt_to_income_ratio,employment_stability,late_payment_rate,total_debt_burden,default
798,2375.94,8504,0.5322,5,0.1363,1264.41,0
691,13272.56,34368,0.4965,4,0.1339,6589.93,0
718,2420.78,41572,0.2772,3,0.0328,671.04,0
588,5304.39,47017,0.3823,7,0.0582,2027.91,0
678,2509.7,39305,0.4015,1,0.2489,1007.75,1
789,4655.71,33094,0.2435,5,0.0733,1133.84,0
530,6107.74,15685,0.5333,9,0.0869,3257.45,0
340,2344.01,9724,0.2689,5,0.2611,630.25,1
327,4443.27,6084,0.5138,4,0.1254,2282.81,1
434,4032.42,35810,0.1026,1,0.0146,413.56,1
500,1794.75,17741,0.1429,4,0.0108,256.46,0
332,8321.77,17761,0.5846,2,0.0954,4864.78,1
347,3135.98,14336,0.2563,6,0.022,803.82,0
802,4918.73,21872,0.2947,6,0.2152,1449.71,0
706,4392.65,14414,0.4438,7,0.2136,1949.5,0
398,4380.1,5797,0.0722,9,0.0333,316.39,0
846,1953.67,4307,0.2261,8,0.0383,441.81,0
761,3702.99,47489,0.3958,0,0.039,1465.56,0
304,3908.6,33568,0.0393,3,0.0655,153.46,1
517,6791.67,3596,0.2242,5,0.0034,1522.97,0
802,8830.8,18167,0.1444,6,0.0215,1275.54,0
697,4649.68,23308,0.0922,4,0.02,428.48,0
692,1863.13,25215,0.3652,5,0.0405,680.4,0
506,2581.2,12795,0.1159,0,0.008,299.05,0
314,2220.98,15984,0.2875,4,0.2505,638.55,1
760,2032.37,13134,0.2636,1,0.084,535.65,0
540,3322.19,11782,0.5909,1,0.0623,1963.06,1
395,2542.31,43002,0.0767,0,0.1468,194.9,0
784,2485.15,22651,0.4701,9,0.0426,1168.27,1
706,1724.98,25022,0.415,8,0.0252,715.8,0
530,1571.31,19922,0.2714,3,0.027,426.45,0
470,1933.76,15618,0.4054,3,0.1365,783.99,0
840,2255.92,18245,0.3076,8,0.2073,693.97,0
335,3755.38,19260,0.3746,4,0.075,1406.79,1
824,4357.65,11027,0.0683,3,0.0424,297.63,0
459,2106.05,14986,0.2868,6,0.0654,604.03,1
542,3712.03,46168,0.2225,4,0.1286,825.84,0
385,3172.67,4526,0.4934,7,0.1316,1565.42,1
327,2310.54,27261,0.2427,2,0.0051,560.7,1
639,1527.46,45361,0.3449,7,0.0287,526.86,0
630,4017.07,2622,0.3721,5,0.3408,1494.68,0
805,6129.02,39286,0.32,8,0.0103,1961.41,0
647,2526.17,30533,0.7846,5,0.1703,1982.04,0
772,2065.36,36425,0.4826,3,0.1148,996.78,0
530,10222.98,19316,0.2346,1,0.1406,2397.9,1
489,2786.47,9699,0.072,2,0.0328,200.66,0
524,2512.41,14955,0.3919,6,0.2443,984.61,1
684,9282.36,32543,0.31,9,0.0721,2877.68,0
676,8295.42,36424,0.4285,4,0.1637,3554.29,0
582,3879.34,17673,0.5067,6,0.083,1965.81,0
558,4187.41,24395,0.2899,6,0.0529,1214.12,0
658,2482.32,39626,0.2187,5,0.053,542.96,0
755,1826.15,24707,0.4383,1,0.0181,800.34,0
710,4907.93,20213,0.3959,4,0.1271,1942.82,0
617,1914.09,11401,0.2059,9,0.0094,394.13,0
524,3886.08,22196,0.2114,5,0.0745,821.54,0
533,12786.93,26976,0.4473,7,0.1194,5719.66,0
673,13716.36,9758,0.1122,0,0.2043,1539.59,0
771,2594.23,2473,0.3213,9,0.1581,833.55,0
532,5413.87,14281,0.265,6,0.0798,1434.65,0
412,4070.4,49732,0.4944,4,0.3361,2012.53,1
796,9839.75,33548,0.31,6,0.1972,3049.95,1
741,2766.69,19371,0.4632,2,0.1325,1281.49,0
567,1514.84,29363,0.1643,3,0.1995,248.9,0
809,2209.63,13057,0.1451,1,0.2729,320.7,0
685,3220.2,41441,0.6461,5,0.2301,2080.54,0
686,3017.56,20644,0.0983,4,0.2268,296.56,0
412,7768.64,29123,0.2323,0,0.0643,1804.6,1
380,6064.75,24874,0.6067,0,0.0366,3679.2,1
412,2924.17,24123,0.6332,7,0.1905,1851.6,1
301,3948.07,15281,0.385,7,0.0215,1520.15,1
519,1901.75,4251,0.1776,5,0.1948,337.71,0
524,10636.88,23289,0.6263,8,0.3711,6661.42,1
684,12459.7,6054,0.6879,0,0.2275,8571.55,0
702,17108.99,35484,0.0574,9,0.05,982.32,0
429,9616.6,42972,0.1692,7,0.0085,1627.24,0
352,2264.45,47874,0.2334,1,0.2211,528.62,1
715,1689.19,2310,0.4067,7,0.0504,686.93,0
546,4966.16,30146,0.6081,2,0.0138,3020.02,0
738,11249.27,30312,0.2645,5,0.0015,2974.99,0
502,2280.9,31981,0.1919,6,0.0167,437.63,0
483,1528.27,49650,0.214,2,0.311,326.98,0
422,8049.21,5257,0.6581,1,0.0077,5297.19,0
700,1819.62,16846,0.1008,0,0.0191,183.49,0
593,3635.74,23483,0.3494,4,0.0261,1270.18,1
579,6043.85,27558,0.0876,0,0.1921,529.28,0
497,2580.93,44188,0.1879,0,0.092,484.84,1
810,1850.79,14012,0.2057,4,0.2767,380.66,0
443,7379.07,34236,0.2533,2,0.2903,1868.78,1
500,5478.9,39673,0.4293,9,0.0411,2351.95,0
423,19358.32,46076,0.2646,2,0.2674,5122.46,1
486,3188.26,49402,0.2564,6,0.1371,817.34,0
625,1755.01,29931,0.0681,2,0.1305,119.59,0
763,6802.3,33076,0.2042,1,0.0204,1389.21,0
648,4450.35,15801,0.292,2,0.0298,1299.48,0
702,2459.14,10628,0.2811,3,0.0831,691.33,1
645,7588.07,9728,0.1565,8,0.0107,1187.22,0
810,2411.4,18335,0.3219,1,0.0151,776.28,0
446,2708.0,44773,0.4133,5,0.0203,1119.14,1
447,1888.37,29570,0.1722,4,0.1137,325.24,1
788,3539.52,23459,0.6485,5,0.0091,2295.5,0
637,3671.53,41658,0.171,4,0.2021,627.66,0
772,4390.81,8077,0.1594,5,0.0249,700.06,0
450,6437.24,2971,0.4148,3,0.0346,2670.12,0
714,10962.14,47336,0.467,7,0.0505,5119.03,0
597,2092.77,34959,0.8438,8,0.1226,1765.97,0
562,1723.52,46588,0.2056,9,0.3533,354.42,0
443,1574.82,41533,0.2285,6,0.1331,359.92,1
645,2120.17,44022,0.1019,0,0.0211,216.06,0
301,5791.19,4046,0.1605,4,0.1145,929.24,1
603,6700.13,45518,0.3249,6,0.1897,2176.91,1
553,7676.58,13703,0.7695,4,0.1035,5906.93,0
752,2617.31,9043,0.3779,4,0.0363,988.97,0
336,2960.53,38676,0.2909,4,0.0783,861.1,0
459,4139.89,44395,0.6718,4,0.0598,2781.14,1
308,1761.07,3804,0.5923,4,0.0475,1043.05,0
532,5278.16,11176,0.5996,0,0.0554,3164.87,0
398,17974.97,4936,0.3644,5,0.0844,6549.9,0
507,3290.19,32174,0.0636,5,0.0025,209.19,0
430,7091.0,18096,0.3033,7,0.1807,2150.92,0
703,4272.86,24232,0.2093,4,0.0705,894.38,0
451,2047.0,43641,0.5472,1,0.1124,1120.2,1
353,4991.37,26909,0.0698,6,0.1011,348.37,0
419,2925.98,45158,0.0274,0,0.1812,80.26,1
719,1640.04,9366,0.0362,4,0.075,59.3,0
721,5530.66,20589,0.5641,4,0.0966,3119.71,0
403,9334.06,48382,0.2769,2,0.1275,2584.51,1
553,3191.07,7506,0.2384,1,0.0514,760.71,0
526,3479.12,29842,0.294,3,0.1658,1023.01,0
411,10366.43,18458,0.351,6,0.01,3638.36,0
809,8219.63,22831,0.0686,9,0.0706,563.69,0
772,6520.4,9783,0.2505,2,0.3465,1633.62,0
398,2644.32,12170,0.7236,5,0.0016,1913.56,0
452,11141.42,15609,0.3449,6,0.3501,3842.84,0
637,2170.91,41090,0.1252,1,0.0111,271.82,0
462,5442.25,45942,0.5802,2,0.1265,3157.37,1
460,1616.9,24035,0.2741,8,0.047,443.14,0
697,5628.15,17208,0.3357,0,0.1182,1889.39,0
576,2798.18,36178,0.5245,7,0.0053,1467.61,0
803,3889.0,14636,0.1114,0,0.041,433.21,0
691,3194.1,10039,0.4693,2,0.0824,1499.14,0
434,2258.63,15990,0.0704,5,0.3264,158.94,0
494,5391.24,7441,0.2105,7,0.4186,1134.65,1
700,10047.45,9685,0.2298,6,0.0715,2309.11,0
332,14284.96,14778,0.2941,2,0.0173,4201.11,0
759,2354.49,46959,0.2192,5,0.0064,516.06,0
769,6554.51,27862,0.6058,0,0.3424,3970.64,0
674,5866.62,28273,0.454,7,0.0356,2663.25,0
321,3182.59,29413,0.2018,8,0.0263,642.38,0
337,1577.14,43500,0.2995,8,0.147,472.4,0
529,6182.04,4956,0.1385,3,0.256,856.33,0
664,13137.84,7553,0.4809,3,0.0208,6318.11,0
737,5500.0,24253,0.513,6,0.2095,2821.54,0
582,3785.79,24915,0.2941,6,0.1625,1113.52,0
326,4479.06,3365,0.3047,5,0.1385,1364.68,0
525,2390.72,7668,0.6024,6,0.0207,1440.19,0
576,7053.89,6000,0.4051,0,0.1818,2857.69,1
583,6988.3,4675,0.3693,8,0.0681,2580.56,0
780,2129.04,13907,0.282,5,0.1575,600.32,0
752,9914.23,18336,0.2201,7,0.0096,2182.42,0
815,2754.41,20684,0.0437,4,0.1659,120.31,0
846,17626.85,29311,0.4434,6,0.0947,7816.42,0
491,3430.92,16136,0.3597,2,0.0138,1233.95,0
348,2283.5,44923,0.3255,9,0.2048,743.36,1
811,3233.73,13219,0.2244,0,0.0954,725.62,0
316,3820.56,4247,0.2403,6,0.1119,918.1,0
471,1787.31,5415,0.4556,4,0.474,814.36,1
519,4953.07,7472,0.2499,0,0.0243,1237.62,0
457,5141.56,23380,0.5976,8,0.0119,3072.48,0
776,6871.87,38616,0.5083,8,0.2334,3492.73,0
345,1618.42,28280,0.3726,5,0.126,603.02,1
672,4616.9,22859,0.6406,8,0.0048,2957.76,0
817,1717.43,34805,0.9206,6,0.0322,1581.14,0
398,6331.18,49402,0.1382,7,0.1618,875.15,0
336,1729.36,9262,0.426,1,0.1037,736.76,1
579,11209.32,12066,0.1769,1,0.225,1983.22,0
648,6343.76,16554,0.0994,3,0.0571,630.31,0
796,4332.15,8008,0.1199,0,0.0846,519.3,0
601,3830.03,23315,0.0816,7,0.014,312.63,0
480,2060.14,16263,0.6594,4,0.0951,1358.53,0
398,2875.6,17238,0.3421,6,0.0854,983.85,1
415,9628.98,39410,0.3576,1,0.0586,3442.89,1
490,10892.54,17489,0.2263,4,0.1423,2465.18,0
552,1502.99,18153,0.2749,8,0.0717,413.15,0
460,5106.95,48299,0.3171,8,0.0489,1619.41,0
555,6581.88,44152,0.5061,1,0.0576,3331.01,0
622,5357.17,25283,0.81,1,0.0761,4339.21,0
427,1840.84,47429,0.3739,4,0.075,688.26,1
317,2482.2,12687,0.2424,2,0.2121,601.78,1
622,2652.54,23998,0.2243,0,0.0005,595.06,0
587,8628.61,29887,0.0699,0,0.0201,603.13,0
454,3988.51,47172,0.1851,4,0.177,738.29,1
789,4168.58,5355,0.1611,2,0.0322,671.41,0
685,12426.9,34701,0.2413,8,0.0532,2998.56,0
403,5554.36,42534,0.3684,2,0.0502,2046.21,1
692,10657.4,6906,0.1452,2,0.0119,1547.58,0
545,3938.97,13572,0.2647,2,0.0419,1042.79,0
475,2147.42,13279,0.6109,0,0.3904,1311.77,1
338,12133.36,44491,0.3056,2,0.1986,3707.52,1
776,3955.16,11611,0.6089,4,0.0695,2408.37,0
837,2301.77,9261,0.0793,7,0.0858,182.47,0
707,2940.41,5474,0.3037,6,0.1205,893.05,0
824,1708.55,26878,0.3315,3,0.1493,566.42,0
805,4026.71,29390,0.2578,3,0.0697,1038.09,0
335,9172.78,27925,0.6765,3,0.2684,6205.51,1
319,12347.06,17638,0.3977,7,0.0132,4910.24,0
620,12288.57,24471,0.0627,7,0.0201,770.65,0
811,2035.18,5787,0.5432,1,0.0549,1105.49,0
699,3425.42,47343,0.1958,6,0.2991,670.72,0
770,1614.54,8862,0.3627,4,0.1024,585.57,0
442,9228.65,44724,0.34,1,0.018,3137.43,1
391,3277.38,11663,0.3419,2,0.0077,1120.39,0
653,5489.1,17120,0.1635,6,0.0869,897.35,0
350,6519.64,23740,0.4506,5,0.104,2937.58,1
489,3747.39,37510,0.2637,5,0.0705,988.23,0
424,2963.68,3035,0.2846,6,0.1143,843.41,1
449,14603.15,35735,0.2945,5,0.0614,4300.31,0
613,14851.56,2852,0.1987,1,0.0395,2950.96,0
641,2866.79,44315,0.7664,7,0.0088,2197.21,0
604,4112.82,40386,0.2745,6,0.0484,1129.08,0
353,15924.65,47627,0.6793,5,0.055,10817.2,1
743,1519.52,9303,0.3811,4,0.0228,579.05,0
563,3628.73,45118,0.7471,5,0.1572,2710.88,0
352,1923.48,1164,0.0364,2,0.0642,70.06,1
304,4346.53,40726,0.2754,1,0.2671,1197.19,1
402,1599.92,35905,0.1504,8,0.0409,240.55,1
495,3589.56,11215,0.0805,0,0.2287,289.09,0
649,2497.43,31694,0.2916,1,0.0843,728.23,0
346,4548.35,32253,0.5833,9,0.0558,2653.18,0
568,23579.5,25230,0.356,9,0.0166,8393.18,0
669,7948.49,17925,0.5658,0,0.35,4497.63,1
405,8973.93,7033,0.2754,7,0.0764,2471.01,0
419,5534.34,3665,0.6625,3,0.0192,3666.28,1
357,1669.79,28025,0.4429,5,0.2188,739.52,1
645,2426.71,24533,0.4786,4,0.1407,1161.46,0
773,11864.51,46897,0.5368,7,0.0362,6368.43,0
416,3323.54,13125,0.3397,9,0.0114,1128.91,0
426,1937.64,21998,0.5825,6,0.1517,1128.65,1
692,6348.09,39957,0.1563,0,0.0165,992.27,0
357,2923.6,24057,0.1318,7,0.0291,385.33,1
812,2752.58,14708,0.6879,3,0.1236,1893.39,0
395,26313.6,19072,0.0867,6,0.186,2280.29,1
417,9311.63,6095,0.2225,2,0.2173,2072.01,0
787,3596.57,32495,0.3421,1,0.2175,1230.31,0
536,17200.68,48177,0.3438,0,0.165,5913.3,0
571,5700.58,41351,0.2264,9,0.4488,1290.84,1
488,6919.53,2637,0.4795,4,0.1107,3317.72,0
746,1628.08,15670,0.3619,2,0.0908,589.16,0
546,2018.64,39734,0.2477,2,0.0201,500.09,0
375,5510.5,38438,0.183,7,0.127,1008.62,1
453,10671.49,29658,0.1378,0,0.1812,1470.42,0
734,5409.94,6203,0.2215,1,0.3157,1198.28,0
385,2075.6,22518,0.35,0,0.1842,726.46,1
584,1992.11,9669,0.795,6,0.2869,1583.8,1
519,8936.37,48736,0.3082,3,0.0433,2753.88,1
368,2100.05,3366,0.138,2,0.0246,289.71,0
346,4437.81,19910,0.3328,2,0.1238,1476.81,1
393,1651.28,32087,0.4959,9,0.1132,818.81,1
752,1836.44,1366,0.1527,2,0.2099,280.51,0
503,5963.22,49415,0.3206,1,0.2211,1911.88,0
517,6174.18,10907,0.4638,4,0.2031,2863.39,0
773,3170.98,40374,0.0496,0,0.0442,157.13,0
731,2471.39,31289,0.1536,4,0.1686,379.62,0
640,8221.81,33780,0.2325,9,0.031,1911.43,0
588,2479.02,20623,0.2954,7,0.0223,732.42,0
553,4623.78,36085,0.2245,6,0.1413,1038.11,0
656,15294.27,21426,0.1999,2,0.1151,3056.95,0
322,2139.98,49197,0.4616,8,0.095,987.86,1
821,12812.49,8485,0.5751,9,0.0118,7369.07,0
399,2307.94,34024,0.2449,6,0.1414,565.27,0
479,4852.17,26469,0.5583,0,0.1933,2708.85,1
522,3392.88,16903,0.2314,5,0.0862,785.07,0
741,14901.48,4212,0.2683,3,0.0077,3997.72,0
624,2778.3,39943,0.2519,5,0.0081,699.9,0
815,3541.02,28799,0.1565,2,0.0665,554.24,0
315,17765.39,47339,0.2004,4,0.2112,3560.97,1
635,4575.54,17087,0.2475,2,0.3227,1132.45,0
557,4293.69,8446,0.1759,6,0.1362,755.06,0
796,2692.43,30281,0.2084,4,0.0252,561.09,0
459,6334.11,15877,0.1992,3,0.0628,1261.8,0
774,1557.91,25723,0.4592,9,0.0658,715.4,1
679,1703.12,13943,0.2448,6,0.0705,416.93,0
844,5158.75,11306,0.1228,6,0.0013,633.33,0
726,3172.22,37784,0.2283,9,0.1599,724.06,0
567,13757.45,21455,0.6643,8,0.1941,9139.63,0
716,10840.05,25491,0.6098,2,0.1554,6610.49,1
467,6502.95,6912,0.2075,9,0.2987,1349.04,0
342,8318.2,30974,0.2907,7,0.2875,2418.46,1
584,5902.44,28371,0.4857,6,0.0035,2866.53,0
696,2036.79,34210,0.3521,8,0.136,717.05,0
311,7301.94,36712,0.3926,1,0.0135,2867.01,1
601,2443.86,4936,0.2388,5,0.1005,583.54,0
552,3062.95,34166,0.7635,4,0.2149,2338.64,1
798,8342.21,26727,0.0822,2,0.0647,685.65,0
334,4576.02,49464,0.0636,6,0.0809,290.91,0
389,9362.76,29368,0.3631,4,0.0835,3399.35,0
717,2458.29,3995,0.2782,5,0.1151,684.01,0
414,5243.71,40097,0.1277,3,0.0642,669.85,0
495,1850.04,35984,0.347,6,0.0934,641.88,0
800,5620.76,45291,0.3301,6,0.2623,1855.42,0
792,7250.92,27563,0.154,4,0.0275,1116.54,0
374,5017.24,23150,0.4216,6,0.0735,2115.02,0
712,2738.25,23061,0.1367,6,0.0027,374.44,0
675,1627.38,30178,0.3416,9,0.2158,555.99,0
719,2008.83,36336,0.6029,7,0.0618,1211.07,0
576,5394.65,1160,0.4712,0,0.0209,2542.12,0
693,12397.95,16648,0.0428,3,0.0812,530.37,0
756,2425.38,41835,0.7155,0,0.1421,1735.29,1
491,6812.5,37672,0.2051,2,0.1896,1397.13,0
398,9553.15,4573,0.283,7,0.0923,2703.27,1
847,4443.23,35593,0.1703,6,0.1809,756.5,0
395,5925.76,14786,0.1208,2,0.2331,715.96,1
489,8249.93,29500,0.0633,3,0.0394,521.88,0
336,2708.07,10815,0.1997,1,0.0273,540.85,1
668,2909.0,22966,0.1271,1,0.2187,369.67,1
824,1502.51,14794,0.1796,4,0.3342,269.88,1
578,14697.54,32423,0.2215,1,0.0364,3255.44,0
516,11482.01,34944,0.1348,6,0.0582,1547.96,0
572,7285.34,22302,0.6075,0,0.0923,4425.87,0
361,1829.51,22264,0.2172,8,0.4523,397.31,1
641,3873.23,20604,0.8285,9,0.0314,3208.96,0
696,1929.86,28835,0.8451,0,0.0309,1630.93,0
318,1564.19,8820,0.3764,0,0.2701,588.72,1
476,5330.36,2499,0.3182,8,0.0068,1696.03,1
695,14459.32,24814,0.4917,6,0.2568,7109.61,0
744,10826.74,25089,0.0575,9,0.3393,622.08,0
532,6272.85,8626,0.5437,3,0.0408,3410.76,0
375,1906.54,33746,0.2555,2,0.0617,487.19,1
564,2781.72,17137,0.1164,4,0.0456,323.92,0
754,3042.98,22260,0.1188,1,0.012,361.49,0
683,7261.31,37476,0.342,5,0.0108,2483.46,0
805,7982.99,27283,0.4388,5,0.0388,3502.88,0
666,3445.22,2769,0.7047,0,0.0268,2427.85,0
443,3664.34,43278,0.1015,9,0.1018,371.88,0
368,1682.12,47994,0.3323,8,0.0411,558.92,0
398,2865.1,16634,0.2998,0,0.1879,859.01,1
695,3900.71,40499,0.6514,5,0.0577,2541.07,0
324,1997.64,11965,0.2059,6,0.1186,411.33,1
768,3915.18,28566,0.1728,7,0.0536,676.6,0
783,9174.08,34143,0.1466,1,0.0066,1344.72,0
450,4982.6,49285,0.3891,7,0.0564,1938.96,0
443,1828.88,20420,0.6989,9,0.1633,1278.27,1
338,2351.15,26236,0.7313,1,0.1398,1719.41,1
408,4073.96,7218,0.6815,1,0.1214,2776.47,1
341,3294.45,9495,0.6619,8,0.1388,2180.45,1
485,3277.2,34853,0.0931,6,0.0229,304.98,0
697,4513.86,14073,0.1419,7,0.037,640.61,0
522,5012.09,12371,0.2062,0,0.1174,1033.62,0
432,7875.47,18594,0.5238,9,0.0708,4125.15,0
462,3167.92,12226,0.4665,5,0.0378,1477.85,0
514,8048.6,11046,0.1759,0,0.0579,1416.07,0
534,3153.65,44809,0.4292,4,0.0329,1353.59,0
308,1728.11,38117,0.1441,1,0.1835,249.07,1
373,4731.43,5965,0.0183,8,0.0598,86.42,0
791,5045.98,47260,0.7303,2,0.0232,3685.16,0
552,12405.28,14336,0.3659,9,0.2898,4539.02,0
529,6679.4,20843,0.4986,6,0.0186,3330.37,0
818,11493.07,18373,0.3355,1,0.0047,3855.42,0
473,11058.99,46452,0.1858,9,0.1873,2055.26,0
467,5211.17,7654,0.1658,3,0.1013,864.23,0
469,4501.09,32280,0.3064,9,0.0455,1379.3,0
692,4760.73,41110,0.1625,2,0.2544,773.61,0
493,16827.45,23407,0.1905,0,0.2011,3205.95,0
816,7434.18,3358,0.1277,9,0.3479,949.09,0
328,1949.39,27583,0.0864,5,0.2344,168.45,1
464,7528.04,29706,0.5742,4,0.2279,4322.73,1
721,2247.91,7360,0.4077,5,0.1399,916.58,0
638,3872.13,4743,0.192,0,0.0344,743.34,0
795,2445.22,8159,0.2296,7,0.1723,561.36,0
664,6179.36,33151,0.2485,3,0.1287,1535.73,0
641,9892.37,1518,0.2667,6,0.0266,2638.47,0
799,2872.0,17652,0.0485,7,0.0849,139.22,0
810,1842.28,13925,0.5013,2,0.1851,923.63,0
626,2918.1,48578,0.074,3,0.0201,216.08,0
516,5963.38,6475,0.145,8,0.2671,864.84,0
600,3094.51,37953,0.352,8,0.1633,1089.23,0
431,2803.54,38929,0.2899,6,0.0031,812.67,1
369,2315.5,43348,0.4124,2,0.1023,954.94,1
551,4252.77,10886,0.4169,3,0.0729,1772.88,0
714,2791.57,12465,0.6484,6,0.0006,1809.97,0
744,6752.33,12221,0.275,5,0.0396,1857.03,0
481,1818.87,25395,0.6264,5,0.0493,1139.25,1
466,5862.97,3335,0.3437,3,0.0383,2015.29,0
390,2584.93,37442,0.5673,9,0.0611,1466.46,0
830,4187.73,5576,0.4495,7,0.0179,1882.21,0
338,2847.99,48740,0.2949,8,0.0041,839.91,0
425,6631.61,1500,0.2306,9,0.2359,1529.51,0
750,13124.08,27675,0.487,6,0.1835,6391.72,0
472,11459.36,9083,0.3327,7,0.1536,3812.41,1
519,5002.77,42062,0.2276,9,0.2154,1138.75,0
357,3984.13,16720,0.045,1,0.1121,179.28,0
775,8321.6,6543,0.3147,3,0.1616,2618.78,0
755,6099.53,4276,0.5019,2,0.1705,3061.17,0
660,2311.23,31635,0.5326,5,0.0877,1230.85,0
300,8379.67,25180,0.3841,1,0.1385,3218.63,0
686,3740.65,7613,0.6547,6,0.0602,2449.05,0
647,2337.88,45497,0.0835,7,0.0721,195.18,0
489,2824.01,2327,0.0728,3,0.1219,205.68,0
804,2745.32,41540,0.418,7,0.1241,1147.62,0
490,4429.27,11666,0.6175,7,0.1629,2734.94,1
807,2568.23,27255,0.5772,2,0.0419,1482.39,0
668,2027.58,21130,0.3611,0,0.1518,732.06,0
708,2028.15,23068,0.1486,2,0.1528,301.3,0
416,5001.33,19946,0.4852,9,0.0081,2426.45,0
433,6808.47,21547,0.4715,0,0.0455,3210.03,0
357,3051.68,20701,0.1039,1,0.0203,317.03,0
