event_id,event_type,student_id,job_id,session_id,model_version,rank_position,score,recruiter_id,timestamp
EVT-076D0D87E6,impression,5,3,SESS-f59702c1,reco-v1.3,2,0.597,,1784639934.417
EVT-6B67D7CD6C,impression,5,1,SESS-f59702c1,reco-v1.3,3,0.564,,1784639934.417
EVT-3941135F65,impression,5,2,SESS-f59702c1,reco-v1.3,4,0.552,,1784639934.417
EVT-FE0B5BB827,impression,5,12,SESS-f59702c1,reco-v1.3,5,0.552,,1784639934.417
EVT-3E52079293,click,5,5,SESS-f59702c1,,,,,1784639934.417
EVT-E32664FDA5,impression,6,2,SESS-e0520ace,reco-v1.3,1,0.856,,1784639934.417
EVT-E8C164BBBA,impression,6,6,SESS-e0520ace,reco-v1.3,2,0.851,,1784639934.417
EVT-757CCE86B4,impression,6,12,SESS-e0520ace,reco-v1.3,3,0.69,,1784639934.417
EVT-DA20CEEFD5,impression,6,1,SESS-e0520ace,reco-v1.3,4,0.685,,1784639934.417
EVT-417D525D19,impression,6,10,SESS-e0520ace,reco-v1.3,5,0.685,,1784639934.417
EVT-CD3B7E2C8F,click,6,2,SESS-e0520ace,,,,,1784639934.417
EVT-F526021558,apply,6,2,SESS-e0520ace,,,,,1784639934.417
EVT-63CC4F8DAE,shortlist,6,2,SESS-e0520ace,,,,REC-002,1784639934.417
EVT-AEF1DC19F7,click,6,6,SESS-e0520ace,,,,,1784639934.417
EVT-677AA59F50,apply,6,6,SESS-e0520ace,,,,,1784639934.417
EVT-0A9E783717,shortlist,6,6,SESS-e0520ace,,,,REC-006,1784639934.417
EVT-44C25A466C,click,6,12,SESS-e0520ace,,,,,1784639934.417
EVT-56F629C612,impression,7,9,SESS-15adc5ec,reco-v1.3,1,0.866,,1784639934.417
EVT-F75A812BD4,impression,7,2,SESS-15adc5ec,reco-v1.3,2,0.371,,1784639934.417
EVT-5EB8D9A120,impression,7,5,SESS-15adc5ec,reco-v1.3,3,0.371,,1784639934.417
EVT-4319F46796,impression,7,12,SESS-15adc5ec,reco-v1.3,4,0.371,,1784639934.417
EVT-B1E156B2A8,impression,7,1,SESS-15adc5ec,reco-v1.3,5,0.366,,1784639934.417
EVT-72B878ABB9,click,7,9,SESS-15adc5ec,,,,,1784639934.417
EVT-CB67F0F9E6,apply,7,9,SESS-15adc5ec,,,,,1784639934.417
EVT-0F64936AB9,click,7,12,SESS-15adc5ec,,,,,1784639934.417
EVT-6502040925,click,7,1,SESS-15adc5ec,,,,,1784639934.417
EVT-96950C64CC,apply,7,1,SESS-15adc5ec,,,,,1784639934.417
EVT-BB684127DE,impression,8,5,SESS-b141cd8e,reco-v1.3,1,0.863,,1784639934.417
EVT-8C747EB223,impression,8,12,SESS-b141cd8e,reco-v1.3,2,0.563,,1784639934.417
EVT-EA7317CB48,impression,8,2,SESS-b141cd8e,reco-v1.3,3,0.53,,1784639934.417
EVT-877F9FF8EC,impression,8,1,SESS-b141cd8e,reco-v1.3,4,0.525,,1784639934.417
EVT-75A7A70446,impression,8,3,SESS-b141cd8e,reco-v1.3,5,0.525,,1784639934.417
EVT-029813A4BC,click,8,5,SESS-b141cd8e,,,,,1784639934.417
EVT-26A7FB6232,impression,9,7,SESS-4b6fd1f1,reco-v1.3,1,0.877,,1784639934.417
EVT-B2CCB4CD55,impression,9,4,SESS-4b6fd1f1,reco-v1.3,2,0.422,,1784639934.417
EVT-70576F92D4,impression,9,5,SESS-4b6fd1f1,reco-v1.3,3,0.394,,1784639934.417
EVT-39E10AAB89,impression,9,12,SESS-4b6fd1f1,reco-v1.3,4,0.394,,1784639934.417
EVT-02CFFE44EC,impression,9,1,SESS-4b6fd1f1,reco-v1.3,5,0.389,,1784639934.417
EVT-AAF0CB5520,click,9,7,SESS-4b6fd1f1,,,,,1784639934.417
EVT-54D1EFAA61,apply,9,7,SESS-4b6fd1f1,,,,,1784639934.417
EVT-92E9314F9C,shortlist,9,7,SESS-4b6fd1f1,,,,REC-007,1784639934.417
EVT-ABCD494A81,click,9,4,SESS-4b6fd1f1,,,,,1784639934.417
EVT-E4A2979014,click,9,12,SESS-4b6fd1f1,,,,,1784639934.417
EVT-EC4C1A2239,impression,10,2,SESS-f8097bd8,reco-v1.3,1,0.617,,1784639934.417
EVT-C57F7E2F1F,impression,10,5,SESS-f8097bd8,reco-v1.3,2,0.592,,1784639934.417
EVT-DF1D3D7B9F,impression,10,6,SESS-f8097bd8,reco-v1.3,3,0.526,,1784639934.417
EVT-F11B54D602,impression,10,1,SESS-f8097bd8,reco-v1.3,4,0.433,,1784639934.417
EVT-7D82CCF212,impression,10,3,SESS-f8097bd8,reco-v1.3,5,0.433,,1784639934.417
EVT-D4A98E2654,click,10,5,SESS-f8097bd8,,,,,1784639934.417
EVT-857324B540,apply,10,5,SESS-f8097bd8,,,,,1784639934.417
EVT-7C45ECF73F,shortlist,10,5,SESS-f8097bd8,,,,REC-005,1784639934.417
EVT-8479C2F8C4,click,10,1,SESS-f8097bd8,,,,,1784639934.417
