tenure,monthly_charges,total_charges,num_products,support_calls,contract_type,payment_method,age_group,region,internet_service,online_backup,tech_support,churn,charges_per_tenure,high_support,churn_score,score_band,prediction,prediction_label,model_version,model_hash,scored_at
59,38.54,2427.2,1,0,0,0,1,0,1,0,1,0,0.6423333333333333,0,0.306612,MEDIUM-LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
42,38.21,1532.35,5,2,0,2,2,3,2,1,0,0,0.8886046511627907,0,0.345202,MEDIUM-LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
60,71.29,4037.64,5,1,2,0,2,3,1,1,0,0,1.1686885245901641,0,0.026923,LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
15,104.48,1613.34,2,3,2,0,3,3,1,1,0,0,6.53,0,0.604116,HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
62,27.96,1700.4,4,1,0,2,2,2,1,1,0,0,0.4438095238095238,0,0.142645,LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
62,90.7,6434.28,4,2,0,0,1,3,0,1,1,0,1.4396825396825397,0,0.247017,MEDIUM-LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
47,85.43,3842.27,1,3,0,3,2,0,1,1,0,1,1.7797916666666669,0,0.600326,HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
62,107.25,6876.83,2,1,1,3,2,3,1,1,1,0,1.7023809523809523,0,0.244645,MEDIUM-LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
51,44.41,2137.16,2,4,0,0,3,2,1,0,1,1,0.8540384615384615,1,0.400752,MEDIUM-HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
55,65.01,4101.86,5,1,1,1,2,0,1,1,0,0,1.1608928571428572,0,0.113557,LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
64,112.58,7086.65,1,2,2,0,3,0,1,0,0,0,1.732,0,0.092651,LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
3,86.0,268.38,3,1,2,2,0,1,2,1,1,0,21.5,0,0.535893,MEDIUM-HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
51,58.88,2666.46,4,4,0,1,2,2,1,1,1,0,1.1323076923076925,1,0.421231,MEDIUM-HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
7,33.14,248.21,4,4,2,2,0,1,0,0,0,1,4.1425,1,0.709061,HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
21,46.25,903.97,2,0,1,3,2,2,0,0,1,0,2.102272727272727,0,0.426735,MEDIUM-HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
39,78.12,2999.77,1,3,0,2,2,2,1,1,1,0,1.953,0,0.676155,HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
18,91.82,1842.66,3,1,0,0,0,2,1,0,1,0,4.832631578947368,0,0.671301,HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
4,32.44,148.09,4,2,1,3,2,1,1,1,1,1,6.4879999999999995,0,0.686846,HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
60,79.96,4689.02,1,0,2,1,0,3,0,1,1,0,1.3108196721311474,0,0.07532,LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
14,75.04,1156.0,3,2,0,0,0,2,1,1,1,0,5.002666666666667,0,0.710015,HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
9,71.4,556.46,2,3,0,3,1,0,0,0,0,1,7.140000000000001,0,0.899656,HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
53,89.01,5209.57,5,0,0,1,1,0,0,1,1,1,1.6483333333333334,0,0.315574,MEDIUM-LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
2,103.74,215.55,4,4,2,3,0,2,2,1,1,1,34.58,1,0.811975,HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
60,52.3,3127.31,4,0,2,1,0,2,2,0,0,0,0.8573770491803279,0,0.103283,LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
71,108.9,8636.54,3,6,0,1,1,2,2,1,1,0,1.5125000000000002,1,0.487884,MEDIUM-HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
44,36.06,1751.18,5,4,0,2,0,3,0,1,1,0,0.8013333333333333,1,0.407928,MEDIUM-HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
8,37.3,280.24,1,7,2,0,1,2,1,0,0,1,4.144444444444444,1,0.822045,HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
47,46.68,2385.67,2,0,1,1,2,3,1,0,0,0,0.9725,0,0.193569,LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
35,31.95,983.98,1,2,2,1,2,3,2,1,0,1,0.8875,0,0.219093,MEDIUM-LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
36,43.03,1699.15,3,0,2,2,3,2,1,0,1,0,1.162972972972973,0,0.110233,LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
50,30.64,1612.7,4,1,0,1,0,2,1,1,1,0,0.6007843137254902,0,0.335173,MEDIUM-LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
4,102.18,358.17,4,2,1,1,3,3,0,0,0,1,20.436,0,0.747971,HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
2,33.9,71.52,1,2,0,3,1,1,1,0,1,1,11.299999999999999,0,0.819425,HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
6,94.73,582.11,2,2,2,0,1,3,2,1,1,0,13.532857142857143,0,0.645542,HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
54,24.79,1376.71,3,1,1,2,1,0,1,1,0,0,0.4507272727272727,0,0.086617,LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
4,114.85,430.58,2,4,2,2,0,2,0,0,0,1,22.97,1,0.8119,HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
54,91.12,4575.6,3,2,2,1,1,1,1,1,0,0,1.6567272727272728,0,0.109165,LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
63,20.68,1405.43,2,3,0,1,2,1,2,1,0,0,0.323125,0,0.090228,LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
18,96.39,1608.37,1,2,0,2,3,2,0,0,0,1,5.073157894736842,0,0.850471,HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
44,71.41,3091.31,5,3,0,1,3,1,1,0,0,0,1.5868888888888888,0,0.485321,MEDIUM-HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
34,97.94,3524.43,3,1,2,1,2,0,2,1,0,0,2.798285714285714,0,0.188439,LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
62,72.25,3914.55,1,2,2,3,2,2,1,0,1,0,1.1468253968253967,0,0.18039,LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
14,84.1,1210.83,4,5,2,2,1,3,0,0,1,1,5.6066666666666665,1,0.701315,HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
48,98.63,4861.33,4,3,1,1,3,2,1,1,1,0,2.012857142857143,0,0.261924,MEDIUM-LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
15,60.51,957.83,2,2,0,0,2,0,0,1,1,0,3.781875,0,0.64001,HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
62,20.27,1207.75,4,0,0,1,1,1,0,1,0,0,0.3217460317460317,0,0.137935,LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
40,104.99,4135.5,5,1,0,3,2,2,0,1,0,1,2.560731707317073,0,0.586113,MEDIUM-HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
53,58.09,2921.68,3,2,1,3,1,0,0,0,1,0,1.0757407407407409,0,0.222145,MEDIUM-LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
24,69.6,1824.94,2,4,2,2,2,3,2,1,0,1,2.784,1,0.5934,MEDIUM-HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
26,20.78,480.33,3,1,0,3,3,0,2,0,0,0,0.7696296296296297,0,0.35137,MEDIUM-LOW,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
60,69.21,4729.28,3,5,2,3,2,2,1,1,0,0,1.134590163934426,1,0.205343,MEDIUM-LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
41,118.65,5061.38,1,3,0,0,3,0,2,0,1,0,2.825,0,0.77691,HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
29,47.83,1547.97,4,2,0,3,3,3,2,0,1,0,1.5943333333333334,0,0.460686,MEDIUM-HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
15,59.54,873.36,3,5,1,1,0,2,1,1,1,1,3.72125,1,0.750575,HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
45,88.72,3791.47,5,3,0,3,0,1,0,0,1,1,1.928695652173913,0,0.615014,HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
65,101.48,7389.13,5,1,2,0,1,2,2,0,0,0,1.5375757575757576,0,0.079903,LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
71,61.74,3855.98,4,2,0,2,3,3,1,1,0,0,0.8575,0,0.189527,LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
9,50.97,406.01,4,3,0,0,1,3,1,1,1,0,5.0969999999999995,0,0.716939,HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
1,113.78,106.93,2,0,2,1,2,2,1,1,1,0,56.89,0,0.671301,HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
8,87.71,798.51,2,2,2,1,1,3,0,0,0,0,9.745555555555555,0,0.560454,MEDIUM-HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
63,31.9,2090.07,2,3,1,2,2,0,2,0,1,0,0.4984375,0,0.105895,LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
11,26.89,300.63,4,2,0,0,1,0,0,0,1,0,2.2408333333333332,0,0.499384,MEDIUM-HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
8,68.35,580.53,3,0,0,0,1,1,1,0,1,1,7.594444444444444,0,0.757124,HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
35,42.01,1433.91,1,1,0,2,1,2,0,0,1,0,1.1669444444444443,0,0.425368,MEDIUM-HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
35,45.4,1711.97,2,1,0,2,2,1,1,0,0,1,1.261111111111111,0,0.424367,MEDIUM-HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
33,107.77,3442.47,1,2,2,2,1,0,1,1,1,0,3.169705882352941,0,0.317301,MEDIUM-LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
5,28.96,158.96,5,2,0,2,2,1,1,1,1,0,4.826666666666667,0,0.716939,HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
41,91.54,3490.99,4,3,0,1,1,3,0,0,0,1,2.17952380952381,0,0.540492,MEDIUM-HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
28,47.11,1231.16,5,4,1,1,2,2,1,1,0,0,1.6244827586206896,1,0.308754,MEDIUM-LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
7,96.03,676.74,2,2,2,2,3,2,0,1,0,1,12.00375,0,0.751242,HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
12,92.24,1083.9,3,0,0,3,2,2,1,1,0,1,7.095384615384615,0,0.878013,HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
34,20.74,736.46,2,0,0,2,1,0,0,0,0,1,0.5925714285714285,0,0.35518,MEDIUM-LOW,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
33,70.91,2244.87,1,3,0,3,2,3,1,0,0,1,2.0855882352941175,0,0.715611,HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
48,33.93,1497.08,2,2,0,3,0,0,0,0,0,0,0.6924489795918367,0,0.505028,MEDIUM-HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
23,106.62,2430.11,3,1,0,0,1,3,2,1,0,1,4.4425,0,0.775989,HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
62,107.16,6765.33,3,5,1,3,1,3,1,1,0,0,1.700952380952381,1,0.323095,MEDIUM-LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
37,61.83,2042.57,4,1,0,3,1,2,0,0,0,0,1.6271052631578946,0,0.369159,MEDIUM-LOW,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
44,64.44,2883.59,4,3,0,3,2,0,0,1,1,0,1.432,0,0.418545,MEDIUM-HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
35,50.33,1665.98,3,4,0,1,2,1,1,0,0,1,1.3980555555555556,1,0.623115,HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
65,91.66,5765.71,3,4,2,0,1,1,2,0,0,0,1.3887878787878787,1,0.133822,LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
47,55.87,2451.87,1,6,1,0,1,2,0,1,0,0,1.1639583333333332,1,0.368336,MEDIUM-LOW,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
3,46.78,158.5,2,1,2,3,1,0,2,1,1,1,11.695,0,0.633137,HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
1,63.22,66.7,4,4,0,1,1,3,1,1,0,1,31.61,1,0.828106,HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
5,29.15,135.36,1,4,2,2,1,2,2,0,0,1,4.858333333333333,1,0.708486,HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
14,94.66,1382.91,2,1,0,1,1,1,2,1,1,1,6.310666666666666,0,0.772312,HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
27,21.26,634.04,4,1,0,0,2,1,2,1,0,0,0.7592857142857143,0,0.243583,MEDIUM-LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
9,84.45,737.61,1,3,1,3,2,3,0,1,0,1,8.445,0,0.843454,HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
15,38.29,631.14,5,7,1,1,1,0,2,1,1,1,2.393125,1,0.664346,HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
42,43.24,1627.81,5,7,2,3,3,1,0,0,0,1,1.0055813953488373,1,0.411886,MEDIUM-HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
51,83.56,4674.4,4,1,1,2,1,0,1,1,0,1,1.606923076923077,0,0.183584,LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
63,119.29,7606.39,1,2,0,1,2,0,1,0,0,0,1.86390625,0,0.455995,MEDIUM-HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
52,97.77,4661.6,2,3,0,2,0,1,1,0,0,0,1.8447169811320754,0,0.587921,MEDIUM-HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
4,42.58,165.59,2,2,0,2,2,1,1,1,0,1,8.516,0,0.84482,HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
23,37.6,991.47,1,4,0,0,1,2,2,1,0,1,1.5666666666666667,1,0.738765,HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
15,106.62,1735.4,5,3,1,0,2,0,2,0,0,1,6.66375,0,0.700072,HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
43,64.42,2832.39,1,0,1,3,1,2,1,0,1,1,1.464090909090909,0,0.338394,MEDIUM-LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
29,33.71,864.61,5,1,2,2,1,0,1,1,1,0,1.1236666666666666,0,0.108475,LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
36,106.22,3729.68,5,1,1,2,2,1,0,1,0,1,2.8708108108108106,0,0.383444,MEDIUM-LOW,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
13,101.61,1227.02,2,4,1,0,2,0,1,0,0,0,7.257857142857143,1,0.73543,HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
32,118.39,3300.92,4,5,0,2,1,2,1,1,0,1,3.5875757575757574,1,0.843454,HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
71,110.97,7978.94,3,2,0,1,1,0,2,0,0,1,1.54125,0,0.522857,MEDIUM-HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
59,105.18,6930.1,1,2,2,2,0,1,2,1,1,0,1.7530000000000001,0,0.229992,MEDIUM-LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
28,25.26,744.46,5,6,2,2,0,2,1,1,0,0,0.8710344827586207,1,0.410252,MEDIUM-HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
66,30.44,1858.26,1,2,0,0,0,0,2,0,1,0,0.45432835820895523,0,0.236277,MEDIUM-LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
42,76.9,3301.03,4,3,2,0,1,0,2,0,1,1,1.7883720930232558,0,0.256751,MEDIUM-LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
45,73.15,3729.35,4,2,1,3,2,0,0,0,1,0,1.590217391304348,0,0.279008,MEDIUM-LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
62,65.8,4352.18,3,5,2,0,2,0,1,0,0,0,1.0444444444444445,1,0.214127,MEDIUM-LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
57,59.68,3595.06,3,0,0,1,2,3,1,0,0,1,1.0289655172413794,0,0.369159,MEDIUM-LOW,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
6,63.12,431.92,5,0,1,2,2,0,1,0,0,1,9.017142857142856,0,0.574401,MEDIUM-HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
28,76.93,2347.17,3,0,0,3,2,1,0,1,1,0,2.6527586206896556,0,0.526465,MEDIUM-HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
28,20.21,504.13,5,1,1,2,1,1,1,1,0,0,0.696896551724138,0,0.189393,LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
44,46.07,1934.46,2,3,0,0,3,2,0,1,0,0,1.0237777777777777,0,0.380309,MEDIUM-LOW,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
30,71.83,2455.53,5,1,0,2,2,0,2,1,0,0,2.317096774193548,0,0.549145,MEDIUM-HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
62,92.22,5700.08,3,3,1,2,1,3,2,0,0,0,1.463809523809524,0,0.261924,MEDIUM-LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
62,37.42,2049.5,1,1,0,1,3,3,1,0,0,0,0.593968253968254,0,0.237913,MEDIUM-LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
1,74.69,73.76,3,3,1,2,0,1,0,0,0,0,37.345,0,0.740472,HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
27,91.45,2614.96,4,1,1,1,2,3,1,0,1,0,3.2660714285714287,0,0.397847,MEDIUM-LOW,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
62,64.46,4593.26,3,4,2,2,0,1,1,1,1,0,1.0231746031746032,1,0.11744,LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
3,22.71,64.53,2,1,0,0,2,0,2,1,0,1,5.6775,0,0.819692,HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
70,64.93,4564.08,5,6,0,3,2,2,0,1,1,1,0.9145070422535212,1,0.322468,MEDIUM-LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
27,49.64,1493.08,4,6,0,0,2,0,2,1,1,1,1.772857142857143,1,0.674469,HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
9,112.96,972.54,5,3,0,3,2,3,1,0,0,1,11.296,0,1.0,HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
62,32.46,1776.68,5,1,1,2,2,2,0,1,0,0,0.5152380952380953,0,0.061939,LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
37,85.25,3578.97,3,1,0,0,1,2,0,0,1,0,2.2434210526315788,0,0.345202,MEDIUM-LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
51,25.27,1284.4,1,2,0,1,3,1,2,1,1,0,0.48596153846153844,0,0.231611,MEDIUM-LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
44,64.62,2845.52,4,2,0,0,1,2,1,1,1,0,1.4360000000000002,0,0.322197,MEDIUM-LOW,0,NO_CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
24,75.4,1875.35,2,0,0,1,3,1,2,0,1,1,3.016,0,0.700608,HIGH,1,CHURN,v1.0.0,af74b39f,2026-08-21T04:42:40.646452+00:00
