age,income,credit_score,loan_amount,debt_to_income,employment_years,num_accounts,late_payments,savings,education_level,default
57,93367.64,431,68690,0.1055,23,4,1,3043.71,2,0
21,30563.36,675,75302,0.1563,6,4,1,17242.59,0,0
19,41407.9,398,12230,0.3879,0,1,0,4008.41,0,0
23,15997.06,333,6902,0.2873,24,5,0,9914.92,2,0
59,31117.67,470,67758,0.1381,9,5,1,5921.77,2,0
21,46429.06,665,28050,0.3583,1,2,1,1068.39,1,0
46,17601.7,358,75586,0.3676,5,1,1,22572.19,2,1
35,45397.29,480,70110,0.1221,25,5,0,7880.29,0,0
43,132846.56,318,77693,0.3847,20,5,0,6574.15,3,0
61,20011.7,525,20575,0.3539,5,7,1,21160.86,1,0
51,80060.67,772,59940,0.5236,23,11,0,3975.28,2,0
27,38718.39,394,41244,0.5836,7,10,0,8447.66,2,1
53,62912.15,596,15962,0.3079,25,10,0,21394.06,2,0
31,28564.12,474,78332,0.4653,17,2,1,4198.9,1,1
48,22818.71,521,25450,0.3039,6,14,1,15776.27,1,0
65,22870.69,353,54494,0.279,17,13,1,7223.1,2,1
32,18289.49,702,46037,0.5029,0,12,2,1716.98,1,0
25,24241.24,617,31041,0.5264,27,14,1,414.38,3,0
31,64108.38,648,11715,0.3462,23,8,0,12972.78,0,0
40,111050.35,742,22803,0.5498,24,5,2,3036.42,3,0
57,90720.81,839,69906,0.3402,13,5,0,16913.47,0,0
38,67002.41,581,62726,0.1519,22,9,0,2093.99,1,0
33,20265.86,659,2908,0.3308,19,2,3,8389.97,2,0
62,30360.59,307,38075,0.267,6,10,1,981.3,1,1
35,31685.27,790,65587,0.4166,19,11,1,13309.27,3,0
64,27943.11,640,54648,0.2412,6,2,1,14511.65,3,0
41,47562.81,771,22134,0.402,3,5,1,24834.6,1,0
43,49510.93,548,57143,0.3205,29,1,2,8240.76,2,1
42,34864.5,534,70123,0.4285,29,11,4,1125.44,2,0
62,34648.33,382,46153,0.292,24,5,1,17588.97,0,0
58,94357.33,392,3413,0.0179,4,5,1,3767.23,3,0
46,85077.87,693,23555,0.2852,22,8,0,22985.28,0,0
32,31554.34,567,11952,0.2343,26,6,3,38092.22,1,0
62,125292.8,716,69993,0.8369,23,11,0,1421.27,0,0
18,152415.58,828,75000,0.6044,20,6,2,866.04,2,0
42,32803.24,552,67686,0.2766,0,5,2,22789.02,3,0
24,34692.62,421,33264,0.3915,19,5,0,22914.1,2,0
26,46701.58,309,48553,0.1576,2,8,1,8799.53,0,1
41,142452.04,615,55359,0.2397,12,14,0,21903.4,1,0
18,109052.39,572,10808,0.2984,6,1,2,26667.39,0,0
61,19869.8,605,53330,0.8119,5,9,0,8105.57,2,0
25,37445.24,509,39345,0.1326,5,6,2,11600.46,3,0
41,51271.23,763,70617,0.5062,1,9,2,9508.12,0,0
28,46474.43,715,40222,0.4545,15,2,0,1918.86,3,0
68,24697.57,515,58755,0.1877,5,3,2,5731.19,3,0
34,103096.35,379,9933,0.5971,7,1,1,11437.7,0,0
25,65846.38,779,69207,0.4574,20,5,1,9422.98,2,0
52,96881.71,846,44739,0.4779,24,2,2,2421.96,1,0
52,103079.63,317,48738,0.4013,10,11,1,24052.73,2,1
50,77088.27,464,22883,0.4319,17,1,1,15327.93,0,0
22,41028.44,824,44401,0.2181,22,9,1,709.14,3,0
59,57435.52,501,16380,0.5091,5,11,0,4217.14,2,0
56,22865.48,645,19212,0.5478,13,9,1,54121.88,1,1
58,65389.69,665,29174,0.2275,14,6,4,4939.85,3,0
45,23889.33,747,7861,0.4906,10,11,2,10889.49,1,0
24,68280.25,812,7094,0.2448,26,11,3,1061.14,3,0
26,26737.94,618,52319,0.3399,14,8,1,3724.04,1,0
25,20627.46,516,47728,0.1912,12,13,1,21375.27,1,0
29,23129.89,333,25363,0.1795,5,11,2,7144.51,0,1
51,15089.74,565,40300,0.264,3,12,2,17436.11,0,0
50,72081.35,379,55808,0.331,13,9,0,76.89,3,0
65,74321.96,712,6943,0.1659,12,5,2,10970.36,0,0
40,47556.1,551,43616,0.4114,9,2,1,3565.72,0,0
41,22918.97,311,75329,0.1509,24,4,2,19716.75,1,1
54,18926.36,700,26287,0.3678,21,3,0,28832.36,3,0
52,15869.14,581,34971,0.437,28,10,0,11635.32,1,0
61,23154.9,411,57152,0.2597,11,7,1,1579.16,0,1
57,114678.73,677,43351,0.5678,23,10,1,6313.13,0,0
39,27440.75,567,61040,0.3368,7,10,1,6245.46,2,1
44,34681.91,597,61616,0.3366,19,10,2,17737.14,1,0
52,20009.29,616,24897,0.4604,4,8,0,6173.27,0,0
18,26317.2,808,24010,0.4059,1,13,2,4044.18,3,0
52,47955.98,845,41154,0.3404,19,5,2,9450.8,3,0
54,57113.82,664,21114,0.1021,11,2,0,10415.2,0,0
64,27667.69,846,20050,0.3803,5,12,0,16604.57,0,0
31,17675.96,570,22125,0.0674,29,9,2,23070.09,0,0
20,37319.59,773,51396,0.1937,14,14,1,22068.83,3,0
18,27007.74,836,45846,0.1333,17,1,0,9854.37,0,0
22,26155.03,533,21396,0.3993,17,5,2,7429.25,1,0
43,159695.33,358,39973,0.2446,9,12,2,16155.62,2,0
31,58105.3,550,24574,0.3638,6,12,0,3664.22,2,0
56,51626.0,385,14869,0.1456,9,3,3,14185.33,2,1
44,39186.12,689,67194,0.2068,4,8,0,7054.28,1,0
26,40212.09,479,63167,0.1499,15,8,1,1319.91,0,0
32,50032.42,448,57147,0.6955,28,13,0,13978.28,2,0
32,68646.41,420,13122,0.1824,18,12,1,10454.6,3,0
43,69501.85,555,44827,0.1971,2,12,1,860.2,0,0
59,23476.76,608,14335,0.5891,6,1,0,5985.08,3,0
30,46201.77,358,64576,0.3824,18,4,1,6664.95,2,1
68,38893.07,368,22677,0.4073,11,12,0,10599.07,1,1
49,106992.72,745,29223,0.209,9,10,2,11347.21,2,0
56,59914.26,687,30814,0.4045,4,8,1,2113.71,2,0
66,49216.41,385,44185,0.2394,28,9,0,342.8,0,1
69,20517.61,526,77794,0.3981,1,9,2,15802.33,0,1
49,56871.86,483,76675,0.4826,2,2,1,39951.16,2,1
21,20609.75,621,43325,0.2838,13,9,0,28249.33,1,0
47,33508.14,617,41503,0.6398,14,8,1,6947.48,3,0
54,21935.98,698,20514,0.4421,19,11,2,7527.55,3,0
40,68005.26,592,57196,0.2976,12,14,1,26675.21,1,0
56,25394.52,592,21917,0.8004,16,11,0,7855.83,0,0
62,37380.71,784,55699,0.0906,19,13,2,3252.66,2,0
32,116710.9,746,51119,0.1919,3,14,4,11319.34,2,0
60,25284.91,711,26061,0.428,18,9,2,6485.53,2,0
46,46899.62,807,10947,0.3641,25,9,0,15371.19,3,0
53,39456.25,543,33632,0.0315,14,3,2,15292.73,1,0
30,15823.06,719,20352,0.2943,14,5,0,27482.28,1,0
49,85824.09,453,24653,0.4551,8,13,1,1482.92,2,0
24,18219.54,723,68115,0.3206,2,11,1,7367.44,2,0
68,43932.26,572,44755,0.5933,1,3,1,15411.3,1,1
39,52013.55,819,72988,0.2188,6,6,2,5706.49,3,0
45,59550.38,427,38921,0.665,8,10,0,9858.66,0,1
19,67505.04,672,60003,0.2648,21,13,1,16984.43,2,0
59,28142.47,458,47668,0.4825,29,5,2,6412.5,1,0
62,15451.3,475,56175,0.2192,4,2,2,5247.25,3,0
23,72840.33,510,48738,0.8281,16,3,0,1991.3,0,0
45,49520.89,746,54452,0.2322,2,7,2,17404.01,1,0
45,96387.31,466,69323,0.5764,8,10,1,15885.52,2,1
61,92514.37,759,47149,0.3184,7,10,0,13592.65,1,0
61,98411.51,656,16839,0.7731,8,12,0,4997.47,3,0
37,44869.75,603,3155,0.1714,23,5,1,8751.26,2,0
47,33265.85,532,8019,0.4609,16,3,1,1323.74,1,1
28,85564.29,626,55512,0.7565,23,4,0,3849.55,1,0
45,42008.67,481,62690,0.3435,7,6,0,5718.63,2,1
42,24119.59,633,27190,0.3715,20,8,1,445.16,2,0
56,101887.91,328,11928,0.2787,13,12,0,1093.55,3,0
50,111382.2,392,49425,0.0436,21,7,0,17703.38,2,0
18,43257.29,629,75134,0.0993,15,12,0,35475.16,3,0
44,18542.32,483,49974,0.511,17,3,2,3885.93,1,1
69,37083.25,394,48796,0.2557,16,2,0,1128.78,2,0
30,88227.8,652,49743,0.189,23,3,1,27394.22,3,0
58,119421.81,564,71035,1.0,6,5,1,24570.37,1,0
20,25237.23,318,38677,0.1282,19,14,1,10632.22,0,1
56,18119.48,798,57321,0.244,14,7,1,4133.82,1,0
23,109429.09,438,59973,0.0276,26,14,0,1194.26,2,0
25,37199.46,824,53414,0.1258,27,8,1,28050.02,3,0
44,50116.39,554,26602,0.4797,6,6,0,25304.97,0,0
26,169983.52,384,30692,0.2982,1,13,0,13594.66,3,0
54,18099.76,757,49750,0.4558,26,2,1,27163.79,3,0
50,62026.26,831,22760,0.6289,1,11,0,1505.44,0,0
68,18464.77,391,69456,0.2405,6,2,3,1156.91,0,1
59,36183.94,368,25085,0.1174,18,10,1,2132.43,3,0
61,88291.27,336,64964,0.3329,5,11,1,2426.99,2,1
41,40570.31,439,23925,0.3835,29,5,0,17554.42,0,0
32,279233.41,477,6615,0.4089,27,11,0,25476.54,2,0
49,51848.02,436,38083,0.8609,11,14,3,2428.24,0,0
49,32431.78,489,69319,0.821,14,5,1,6211.89,3,1
41,26187.18,641,10605,0.3378,12,1,1,6060.25,0,0
58,34421.28,304,45608,0.2477,6,1,0,1958.57,3,1
69,35972.91,556,20192,0.1792,6,9,1,19196.88,0,0
66,18203.48,542,4331,0.572,14,14,2,7391.76,0,0
66,35761.19,714,52330,0.1873,25,7,0,8352.61,0,0
69,43082.98,642,50949,0.5014,3,8,2,2989.83,1,1
29,72725.62,678,69382,0.4081,2,12,0,8190.7,0,0
56,63115.64,445,38586,0.2245,0,13,0,15728.16,1,1
19,70513.22,622,53243,0.361,6,5,1,3637.45,2,1
20,15377.95,421,59618,0.3005,8,3,0,1202.43,2,0
66,26046.39,551,79311,0.2253,0,13,2,8771.67,0,1
54,63769.91,610,8549,0.1875,4,3,0,10101.36,2,0
66,44773.26,774,53494,0.4574,14,12,2,2257.27,0,0
34,15239.74,791,24958,0.2437,3,3,2,2854.24,1,0
66,88447.54,646,38538,0.2259,9,1,0,1661.36,2,0
19,81688.5,786,6833,0.2307,1,11,0,25431.48,3,0
19,50775.04,772,24386,0.3365,22,11,1,2395.42,0,0
45,18094.88,681,72778,0.5888,6,3,0,106.95,0,0
40,80458.69,579,25832,0.223,28,13,0,18335.37,2,0
54,54437.18,371,78857,0.3239,23,2,1,16257.07,2,0
49,83538.45,820,39930,0.6168,18,8,1,6097.9,2,0
50,77698.81,665,33407,0.2789,5,10,2,15953.49,0,0
18,88105.29,393,5073,0.181,14,14,0,5971.4,3,0
36,47842.26,672,18667,0.291,19,10,0,2542.66,0,0
19,21804.01,638,17035,0.4395,11,6,0,5552.21,0,0
61,65047.93,736,7732,0.2171,10,5,1,6672.34,1,0
43,58597.42,635,56097,0.3136,2,1,1,90.44,0,1
49,76009.99,791,4487,0.5192,19,2,1,1202.82,0,0
23,23378.38,339,58702,0.4166,27,2,0,20775.64,0,0
49,24759.7,658,30075,0.0468,16,7,0,4982.8,3,0
21,114495.21,553,72031,0.5342,6,12,1,4026.7,2,0
28,77379.25,697,15781,0.1816,22,7,5,21924.45,0,0
34,122480.4,469,40865,0.1948,22,6,0,1679.1,1,0
55,78980.0,810,9469,0.3531,17,14,1,2446.06,1,0
41,55914.19,559,46167,0.4396,16,8,1,17599.73,2,0
22,62776.51,758,20928,0.8009,15,4,3,3280.25,1,0
69,113972.02,828,77521,0.1476,24,9,0,10030.26,1,0
51,53909.86,640,40599,0.3965,1,8,0,13454.28,3,0
23,60033.13,356,17775,0.4843,4,3,4,2519.55,0,1
39,22657.55,517,67504,0.278,29,3,2,2922.36,0,0
28,43903.69,763,76918,0.665,20,12,1,7262.8,0,0
65,71708.11,546,71687,0.7816,12,12,2,15712.45,0,1
33,29220.13,672,27804,0.4038,28,9,0,8082.83,0,0
50,25168.44,716,33259,0.1071,10,9,0,697.11,1,0
26,31948.13,330,44560,0.1029,23,13,2,4320.72,3,1
23,27438.6,667,28256,0.3716,0,11,0,4014.3,0,0
33,25888.21,407,7125,0.4198,26,5,1,16481.89,1,0
46,39890.66,717,5370,0.6105,22,10,0,3420.17,2,0
20,122289.58,697,5838,0.3474,2,14,1,23148.34,1,0
37,46831.52,571,58429,0.2923,17,14,0,4079.44,3,0
53,24367.06,415,4134,0.3772,20,1,1,2158.06,0,0
36,18604.29,555,44199,0.3321,3,3,0,7763.98,0,0
43,68605.86,380,78092,0.2401,28,11,1,4883.91,0,0
20,36715.21,427,34822,0.7455,8,5,1,10429.61,3,0
36,92626.01,534,21113,0.3754,10,4,0,24735.27,2,0
37,63481.73,480,64594,0.1089,16,4,0,28264.18,2,0
49,86586.88,456,3669,0.3261,10,1,0,2579.48,1,0
24,29282.11,753,50427,0.5429,2,6,2,1770.61,1,0
69,68046.97,323,13938,0.4127,18,12,2,28126.95,0,0
58,28797.42,772,6717,0.2105,19,10,0,16735.91,0,0
50,140910.21,699,78818,0.7448,22,11,1,3033.73,0,0
57,60523.36,433,48659,0.481,20,4,2,16345.22,1,1
56,32654.38,720,65575,0.154,10,1,0,13511.38,0,0
35,29131.9,512,17289,0.1132,25,10,4,2924.43,1,0
57,24533.95,781,25406,0.2131,13,14,0,23621.69,1,0
18,68382.02,647,13873,0.0424,5,6,2,3883.2,3,0
28,26106.72,465,24461,0.6886,18,5,1,6542.71,0,1
45,55707.78,647,21710,0.3053,20,5,3,9397.17,0,0
42,28832.48,697,14448,0.1209,28,2,1,2122.82,1,0
67,63807.79,734,16198,0.3246,14,1,0,9449.17,1,0
40,90918.32,520,74158,0.1071,27,7,1,12251.01,1,0
48,82733.62,607,68938,0.5437,10,5,0,1070.81,3,0
47,79380.14,765,51799,0.4538,17,3,1,4769.85,3,1
59,24356.09,398,35961,0.4696,3,14,1,9469.04,1,1
52,19164.19,541,44007,0.3478,27,6,2,26066.25,3,0
24,69021.38,457,66470,0.4154,18,3,1,22162.56,3,0
33,35673.69,526,53256,0.2711,2,6,1,1859.29,2,1
43,40480.96,722,21739,0.4944,11,6,1,9429.12,0,0
65,16424.0,371,59186,0.4844,3,14,0,1031.61,1,1
69,28523.98,542,27547,0.356,23,9,0,3479.69,2,0
66,16541.54,829,52431,0.6262,11,8,2,9094.9,2,1
19,110107.56,344,26476,0.5427,23,1,0,848.66,3,0
18,27551.23,771,79411,0.1431,0,7,0,21969.83,1,0
65,51672.61,670,11686,0.1476,27,11,0,17660.25,3,0
29,16789.17,391,18536,0.1117,15,9,1,6412.95,2,0
22,64461.96,321,35062,0.1916,20,2,1,6767.9,2,1
54,32555.6,471,49216,0.413,29,9,1,21316.86,2,0
49,117689.57,491,26041,0.8302,1,6,4,517.54,0,1
26,113564.05,376,32653,0.3453,25,3,0,1553.46,1,0
58,32706.3,580,22673,0.3762,21,8,2,3681.76,0,0
52,119050.82,663,11367,0.4571,2,7,2,4531.61,2,0
36,265275.48,478,20629,0.4215,27,12,0,43777.78,2,0
65,93540.63,537,73190,0.2048,15,8,0,1595.37,2,0
33,98857.52,434,26063,0.249,25,8,0,3611.19,0,1
20,27886.26,579,20322,0.4399,9,7,1,17599.7,3,0
37,53685.59,318,13693,0.2577,28,1,2,15341.2,1,1
41,18133.1,670,10241,0.2684,28,13,1,10636.8,3,0
50,19487.83,411,30778,0.2581,8,10,1,3983.18,3,0
41,321258.8,520,13651,0.4761,13,10,0,1253.1,2,0
69,32796.33,603,26966,0.1651,24,10,1,41072.2,0,0
28,77057.53,624,10275,0.2453,7,8,0,2895.86,3,0
66,88949.9,736,46606,0.7711,1,5,1,18619.88,0,0
25,102844.15,737,2658,0.4851,10,13,1,22538.73,0,0
53,286986.62,469,73468,0.1694,1,2,2,5814.26,0,0
55,27438.35,674,15248,0.3835,26,2,1,19026.73,1,0
57,16853.44,680,25437,0.1816,14,2,1,3271.67,3,0
37,38834.44,313,40727,0.8045,17,9,1,22064.67,2,1
52,21270.97,799,19201,0.1471,4,14,2,10105.09,2,0
65,16020.65,690,42150,0.1635,27,5,1,2161.33,1,0
42,35112.94,848,15999,0.4528,25,3,1,15443.39,3,1
52,83906.96,829,7376,0.2159,24,6,0,24498.37,2,0
42,52580.72,791,52673,0.6139,6,9,2,8449.7,0,0
46,31879.4,849,4476,0.3978,22,11,1,14286.71,2,0
35,62803.75,684,70902,0.5978,18,9,1,15837.57,3,0
63,26879.51,495,78994,0.1461,18,9,1,15483.63,0,0
35,15651.86,599,63878,0.1382,25,11,1,6059.08,1,0
19,80043.99,846,21615,0.3594,15,10,1,13468.53,2,0
52,58986.74,607,12164,0.4869,18,14,0,7952.48,2,0
33,79654.06,551,40316,0.073,16,11,0,5355.62,1,0
58,16787.24,307,69560,0.4786,12,4,1,1812.97,3,1
53,96663.27,507,30559,0.4229,27,5,0,23973.15,0,0
50,58485.21,430,63968,0.4514,7,12,0,5359.92,2,0
21,52292.72,325,67800,0.2151,27,14,0,2738.65,3,0
50,59091.03,753,10047,0.6253,10,1,2,2774.62,0,0
31,104923.1,485,45985,0.1001,17,11,3,2771.88,2,1
38,54786.93,783,73123,0.3863,10,10,1,24.77,3,0
65,54139.47,350,7577,0.4749,22,6,0,5766.43,3,0
37,225397.6,304,4870,0.1555,8,2,2,22135.45,1,0
25,78611.28,459,35094,0.069,13,7,0,254.68,2,0
24,41276.53,507,56329,0.6988,1,4,1,31372.38,0,1
20,70302.23,556,10217,0.5116,28,4,1,1973.82,2,0
34,37186.6,504,67141,0.4798,16,9,0,12689.53,1,0
50,26695.74,310,23343,0.3004,20,13,1,15386.46,0,1
65,55880.31,307,51822,0.3724,15,1,1,13284.61,3,1
29,133512.97,708,14003,0.3368,25,6,1,4142.67,1,0
68,134116.91,331,60538,0.5237,4,2,0,12167.62,0,0
39,33828.29,839,33089,0.3306,0,6,1,6405.06,0,0
39,48754.19,686,54595,0.1593,8,7,0,1651.07,2,0
63,25700.79,527,31029,0.1512,2,3,0,2243.06,3,0
47,259496.08,774,52324,0.6143,13,4,1,263.74,1,0
55,193629.36,506,52962,0.0982,17,2,4,4034.23,3,0
55,62178.9,617,40042,0.4698,11,7,0,13019.15,1,0
62,88428.99,647,77380,0.2221,22,9,2,34753.27,2,0
68,71502.79,533,46957,0.0468,13,5,2,1433.6,0,0
25,55469.89,343,44739,0.4776,27,11,3,4358.43,2,1
44,17467.07,441,39733,0.431,15,5,1,2002.8,1,1
44,42294.17,475,46389,0.3081,4,9,1,14308.2,3,0
51,65547.28,748,30715,0.2253,19,8,3,25205.4,0,0
38,65928.76,381,40116,0.6816,19,1,2,1210.4,1,0
47,36015.19,434,57922,0.3423,14,2,3,23391.1,0,1
50,142890.71,476,57251,0.2687,8,7,0,3167.58,0,0
45,23241.77,682,62794,0.1349,24,3,1,2523.97,2,0
64,46223.98,542,18580,0.1432,16,6,0,583.01,1,0
50,67831.74,440,1823,0.4825,11,1,1,838.91,3,0
22,68751.19,756,8084,0.2655,12,8,4,717.37,2,0
65,62067.34,739,78991,0.0137,9,2,0,5913.35,2,0
36,29489.16,355,11607,0.2044,6,1,1,10748.29,2,0
21,22643.14,826,77355,0.5408,26,2,1,2038.57,1,0
52,60469.69,718,12969,0.4471,23,8,1,2454.39,1,0
66,56154.64,387,64059,0.229,20,13,1,1898.26,0,1
34,23894.97,307,18333,0.784,6,10,2,16427.79,0,1
61,69956.33,776,78236,0.1287,7,14,3,1475.49,0,0
45,42327.83,514,37668,0.109,23,5,1,762.39,0,0
47,64585.48,796,12945,0.0986,14,12,0,374.08,2,0
46,96731.68,802,47526,0.1843,24,9,1,409.79,3,0
63,23370.11,544,48717,0.451,20,12,0,7911.41,0,0
23,15869.87,777,60426,0.2215,17,3,1,987.0,1,0
52,82952.56,608,79349,0.2876,21,8,0,2515.77,0,0
58,57337.49,530,5601,0.0678,0,4,1,17878.28,1,0
54,69124.74,682,13930,0.6133,9,7,0,34453.97,3,0
41,96950.22,454,5333,0.5502,21,10,0,19722.6,2,0
46,88061.65,474,71935,0.2721,18,10,0,32089.9,3,0
66,160896.67,414,18839,0.2707,28,8,0,11100.31,3,0
63,49547.89,689,52337,0.3221,2,3,0,43595.94,2,0
48,45167.96,610,41204,0.3694,6,3,1,6858.61,1,0
52,38128.92,599,21195,0.3455,3,1,0,15832.26,3,0
50,22509.19,317,28848,0.3683,4,8,1,35635.79,2,1
69,53252.33,311,41854,0.2844,5,2,0,12354.33,1,1
38,29596.35,703,51998,0.1444,27,7,0,31400.64,1,0
49,129399.34,531,68390,0.3716,9,11,0,2925.53,1,0
40,54380.7,577,32558,0.2424,11,7,1,3570.69,2,0
50,55434.73,652,3985,0.3342,13,14,2,5062.36,0,0
20,34727.47,602,62794,0.0976,21,7,2,6247.16,2,0
35,17402.53,840,44585,0.2538,1,4,0,22769.63,3,0
42,16451.63,769,41264,0.1849,2,7,1,21880.29,2,0
59,39772.23,376,34326,0.4496,0,10,2,10728.28,2,1
48,18976.03,820,60261,0.3498,2,14,1,2643.59,3,0
20,57010.03,323,35022,0.2,23,11,1,2749.33,2,1
57,110778.22,314,16667,0.2183,14,8,0,9989.75,2,1
63,111518.41,824,19065,0.4027,15,9,2,6999.46,3,0
41,63420.27,646,11006,0.388,19,7,2,2991.24,0,0
67,25677.73,471,72819,0.3144,1,6,2,1842.08,0,1
49,104448.81,626,46076,0.423,19,5,0,12823.87,1,0
64,112756.95,784,69861,0.5678,15,10,2,16778.86,0,0
39,24853.62,788,51393,0.1837,29,10,1,3028.7,2,0
40,75175.02,761,4143,0.0885,14,7,2,5532.5,3,0
19,30192.01,677,58505,0.4411,6,10,0,12499.96,1,1
44,88022.73,463,13417,0.2136,24,2,2,6334.11,2,0
59,280129.38,671,32300,0.4284,4,5,1,32508.07,1,0
19,16371.87,723,29896,0.4654,28,13,1,1388.01,3,0
43,117446.31,776,51629,0.3709,4,8,1,19265.33,2,0
34,58853.87,681,28606,0.2053,27,6,0,3653.89,1,0
57,178178.59,454,40916,0.0355,20,6,1,11617.02,1,0
50,43147.78,556,62330,0.1244,25,1,0,2926.21,0,0
26,99593.52,367,8551,0.1535,8,2,2,33953.04,1,0
60,17899.15,643,57422,0.4015,22,3,0,514.35,0,0
65,33377.46,576,68782,0.6291,13,7,2,7206.65,0,0
56,18121.55,690,66391,0.1585,18,12,0,24136.65,3,0
46,181621.49,748,64411,0.3535,29,10,0,6345.77,0,0
59,91415.69,558,74185,0.2557,17,6,0,18347.48,1,0
43,101141.19,606,1888,0.1752,8,5,1,29923.11,0,0
52,140102.71,394,58135,0.4753,2,9,2,702.46,0,0
67,19002.49,763,30424,0.5523,28,10,1,6710.09,1,0
42,36919.73,545,42559,0.3639,10,7,0,11597.09,3,0
41,18315.78,486,12075,0.4478,23,9,1,17848.48,3,0
30,25652.7,672,23699,0.3568,14,11,0,1781.17,1,0
24,26724.36,705,48972,0.3037,27,11,2,8365.21,2,0
53,43493.78,707,10950,0.5919,3,3,0,1778.38,2,1
62,29073.44,424,6413,0.137,20,11,4,14081.18,1,0
37,19790.16,636,40305,0.1451,23,8,0,3349.65,0,0
18,23249.01,640,4569,0.0352,4,12,0,3130.93,1,0
25,22169.35,477,67778,0.3985,25,9,0,14688.15,1,0
63,177664.51,469,31085,0.4453,17,2,0,18452.08,2,0
