event_id,event_type,student_id,job_id,session_id,model_version,rank_position,score,recruiter_id,timestamp
EVT-355242FD59,impression,4,1,SESS-951eba23,reco-v1.3,3,0.381,,1784640383.577
EVT-57CD4706D5,impression,4,10,SESS-951eba23,reco-v1.3,4,0.381,,1784640383.577
EVT-8070E674DB,impression,4,2,SESS-951eba23,reco-v1.3,5,0.369,,1784640383.577
EVT-C9FF789BEB,click,4,4,SESS-951eba23,,,,,1784640383.577
EVT-DF6C7847F9,impression,5,5,SESS-8d4a633f,reco-v1.3,1,0.635,,1784640383.577
EVT-A42093411A,impression,5,3,SESS-8d4a633f,reco-v1.3,2,0.597,,1784640383.577
EVT-53932F067C,impression,5,1,SESS-8d4a633f,reco-v1.3,3,0.564,,1784640383.577
EVT-468E48DCF2,impression,5,2,SESS-8d4a633f,reco-v1.3,4,0.552,,1784640383.577
EVT-A2BD9E8D24,impression,5,12,SESS-8d4a633f,reco-v1.3,5,0.552,,1784640383.577
EVT-A4A213C039,click,5,5,SESS-8d4a633f,,,,,1784640383.577
EVT-211F5C0FC7,impression,6,2,SESS-d3eeae96,reco-v1.3,1,0.856,,1784640383.577
EVT-1992047661,impression,6,6,SESS-d3eeae96,reco-v1.3,2,0.851,,1784640383.577
EVT-272FF40240,impression,6,12,SESS-d3eeae96,reco-v1.3,3,0.69,,1784640383.577
EVT-45152CB2CE,impression,6,1,SESS-d3eeae96,reco-v1.3,4,0.685,,1784640383.577
EVT-942A5E5520,impression,6,10,SESS-d3eeae96,reco-v1.3,5,0.685,,1784640383.577
EVT-BDB8589BB0,click,6,2,SESS-d3eeae96,,,,,1784640383.577
EVT-A182934E73,apply,6,2,SESS-d3eeae96,,,,,1784640383.577
EVT-4CDD868B74,shortlist,6,2,SESS-d3eeae96,,,,REC-002,1784640383.581
EVT-26A1EA7E89,click,6,6,SESS-d3eeae96,,,,,1784640383.581
EVT-E6E8098455,apply,6,6,SESS-d3eeae96,,,,,1784640383.581
EVT-29E9B45A05,shortlist,6,6,SESS-d3eeae96,,,,REC-006,1784640383.581
EVT-F2D2ABE12B,click,6,12,SESS-d3eeae96,,,,,1784640383.581
EVT-91C14FB365,impression,7,9,SESS-1ae01806,reco-v1.3,1,0.866,,1784640383.581
EVT-BFF8CA4CF0,impression,7,2,SESS-1ae01806,reco-v1.3,2,0.371,,1784640383.581
EVT-144977FA71,impression,7,5,SESS-1ae01806,reco-v1.3,3,0.371,,1784640383.581
EVT-9812BFACB6,impression,7,12,SESS-1ae01806,reco-v1.3,4,0.371,,1784640383.581
EVT-279432016E,impression,7,1,SESS-1ae01806,reco-v1.3,5,0.366,,1784640383.581
EVT-04F7F64876,click,7,9,SESS-1ae01806,,,,,1784640383.581
EVT-FC5E8933CD,apply,7,9,SESS-1ae01806,,,,,1784640383.581
EVT-2181DA1257,click,7,12,SESS-1ae01806,,,,,1784640383.581
EVT-B8DA5E75BA,click,7,1,SESS-1ae01806,,,,,1784640383.581
EVT-275C70F57C,apply,7,1,SESS-1ae01806,,,,,1784640383.581
EVT-C3D31CE9F3,impression,8,5,SESS-6248584b,reco-v1.3,1,0.863,,1784640383.581
EVT-0015DD5E9D,impression,8,12,SESS-6248584b,reco-v1.3,2,0.563,,1784640383.581
EVT-8845F89E85,impression,8,2,SESS-6248584b,reco-v1.3,3,0.53,,1784640383.581
EVT-5A20FCF0DC,impression,8,1,SESS-6248584b,reco-v1.3,4,0.525,,1784640383.581
EVT-BA4451C452,impression,8,3,SESS-6248584b,reco-v1.3,5,0.525,,1784640383.581
EVT-3E4FE4706E,click,8,5,SESS-6248584b,,,,,1784640383.581
EVT-4FA8958FEB,impression,9,7,SESS-b0cadd67,reco-v1.3,1,0.877,,1784640383.581
EVT-F160A12AA4,impression,9,4,SESS-b0cadd67,reco-v1.3,2,0.422,,1784640383.581
EVT-3E7B664FD1,impression,9,5,SESS-b0cadd67,reco-v1.3,3,0.394,,1784640383.581
EVT-16626C3EC6,impression,9,12,SESS-b0cadd67,reco-v1.3,4,0.394,,1784640383.581
EVT-4EBD127B50,impression,9,1,SESS-b0cadd67,reco-v1.3,5,0.389,,1784640383.581
EVT-D1BDF00667,click,9,7,SESS-b0cadd67,,,,,1784640383.581
EVT-5B984ED911,apply,9,7,SESS-b0cadd67,,,,,1784640383.581
EVT-FC404D3001,shortlist,9,7,SESS-b0cadd67,,,,REC-007,1784640383.581
EVT-2FB8866DDA,click,9,4,SESS-b0cadd67,,,,,1784640383.581
EVT-AD5EDB6BF8,click,9,12,SESS-b0cadd67,,,,,1784640383.581
EVT-47846F2404,impression,10,2,SESS-51de040c,reco-v1.3,1,0.617,,1784640383.581
EVT-090307347F,impression,10,5,SESS-51de040c,reco-v1.3,2,0.592,,1784640383.581
EVT-985D73E29E,impression,10,6,SESS-51de040c,reco-v1.3,3,0.526,,1784640383.581
EVT-E23906BA23,impression,10,1,SESS-51de040c,reco-v1.3,4,0.433,,1784640383.581
EVT-40EC5843A7,impression,10,3,SESS-51de040c,reco-v1.3,5,0.433,,1784640383.581
EVT-25C1AD9BC1,click,10,5,SESS-51de040c,,,,,1784640383.581
EVT-B052ECE776,apply,10,5,SESS-51de040c,,,,,1784640383.581
EVT-DB9C9C8A41,shortlist,10,5,SESS-51de040c,,,,REC-005,1784640383.581
EVT-5E60472DB7,click,10,1,SESS-51de040c,,,,,1784640383.581
