session_id,student_id,window_index,eye_away_duration_sec,face_missing_duration_sec,tab_switch_count,window_focus_loss_count,multiple_faces_detected,audio_voice_detected,head_pose_deviation_deg,label_cheating,archetype,split
S00297,297,2,1.7,0.2,1,0,0,0,0.0,0,honest_normal,val
S00263,263,1,0.7,0.2,2,0,0,0,4.6,0,honest_normal,test
S00283,283,6,0.8,0.1,0,0,0,0,5.5,0,honest_normal,train
S00040,40,6,2.6,0.0,0,0,0,0,8.3,0,honest_normal,val
S00186,186,4,2.2,0.7,0,1,0,0,0.0,0,honest_normal,test
S00342,342,5,2.8,0.0,0,0,0,0,1.1,0,honest_normal,train
S00227,227,5,10.7,1.7,2,2,0,0,12.1,0,honest_distracted,train
S00026,26,2,2.3,0.2,1,0,0,0,1.5,0,honest_normal,train
S00228,228,7,21.3,6.9,8,6,0,0,14.5,1,cheating_lookup,test
S00279,279,6,0.0,0.9,0,0,0,0,3.7,0,honest_normal,test
S00026,26,4,0.7,0.5,0,0,0,0,8.8,0,honest_normal,train
S00238,238,9,0.7,1.1,0,0,0,0,1.4,0,honest_normal,train
S00178,178,4,0.1,1.1,0,0,0,0,5.1,0,honest_normal,train
S00282,282,3,0.0,0.0,0,0,0,0,5.2,0,honest_normal,train
S00008,8,7,9.1,1.6,3,2,0,0,8.3,0,honest_distracted,val
S00161,161,3,2.5,0.6,0,0,0,0,1.3,0,honest_normal,test
S00043,43,2,6.5,0.6,2,2,0,0,13.7,0,honest_distracted,train
S00045,45,4,23.0,0.1,5,6,0,0,22.0,1,cheating_lookup,train
S00201,201,1,2.8,1.0,0,1,0,0,12.1,0,honest_normal,train
S00132,132,1,13.6,2.6,4,1,0,0,15.1,0,honest_distracted,train
S00404,404,4,1.0,0.0,0,0,0,0,0.0,0,honest_normal,train
S00053,53,6,1.7,0.3,0,0,0,0,4.3,0,honest_normal,test
S00296,296,5,8.8,2.9,2,2,0,0,4.2,0,honest_distracted,test
S00072,72,2,11.3,0.0,0,1,0,0,17.1,0,honest_distracted,train
S00336,336,9,3.7,8.6,0,1,0,1,0.5,0,honest_environment_noise,train
S00310,310,3,1.8,0.3,0,0,0,0,7.5,0,honest_normal,train
S00383,383,3,30.1,5.5,10,6,0,0,15.8,1,cheating_lookup,train
S00099,99,5,4.1,0.0,1,0,0,0,12.4,0,honest_normal,train
S00028,28,4,1.1,0.0,0,0,0,0,2.2,0,honest_normal,test
S00200,200,7,1.5,2.1,0,0,0,0,9.6,0,honest_normal,test
S00177,177,4,3.4,9.8,1,0,0,0,12.5,0,honest_environment_noise,val
S00402,402,2,1.8,0.4,0,0,0,0,6.7,0,honest_normal,train
S00380,380,8,1.2,1.0,0,0,0,0,7.5,0,honest_normal,train
S00306,306,6,7.5,5.0,2,0,0,0,20.5,0,honest_distracted,test
S00193,193,5,3.0,0.7,0,0,0,0,4.1,0,honest_normal,train
S00050,50,4,3.2,0.2,1,1,0,0,7.6,0,honest_normal,train
S00379,379,9,1.1,0.4,0,3,0,0,0.0,0,honest_normal,train
S00040,40,3,0.0,0.0,0,0,0,0,10.1,0,honest_normal,val
S00144,144,4,0.0,0.7,0,1,0,0,6.5,0,honest_normal,val
S00228,228,2,19.8,1.7,6,6,0,0,20.6,1,cheating_lookup,test
S00224,224,5,0.0,0.7,0,1,0,0,0.0,0,honest_normal,train
S00304,304,3,16.5,0.9,8,7,0,1,26.2,1,cheating_lookup,train
S00103,103,8,4.0,6.6,0,0,0,1,3.4,0,honest_environment_noise,train
S00010,10,5,11.0,1.2,3,1,0,0,11.7,0,honest_distracted,train
S00093,93,7,0.9,0.0,0,0,0,0,15.4,0,honest_normal,val
S00409,409,5,0.0,0.0,0,0,0,0,5.6,0,honest_normal,train
S00210,210,6,2.5,1.2,1,0,0,0,5.1,0,honest_normal,train
S00371,371,1,3.6,8.6,0,0,0,0,8.3,0,honest_environment_noise,train
S00301,301,1,0.8,0.4,0,0,0,0,13.5,0,honest_normal,train
S00397,397,1,5.5,3.2,0,1,0,0,13.8,0,honest_distracted,val
S00178,178,6,2.7,0.0,0,0,0,0,6.5,0,honest_normal,train
S00326,326,3,14.5,3.2,8,6,0,0,15.7,1,cheating_lookup,train
S00065,65,4,1.7,0.5,1,0,0,0,11.6,0,honest_normal,val
S00007,7,1,0.3,1.2,0,0,0,0,10.3,0,honest_normal,train
S00122,122,4,2.8,0.7,0,0,0,0,7.4,0,honest_normal,train
S00246,246,3,31.1,0.0,10,7,0,0,15.0,1,cheating_lookup,test
S00366,366,1,0.5,1.0,0,0,0,0,0.9,0,honest_normal,test
S00173,173,6,1.9,0.1,0,1,0,0,4.3,0,honest_normal,train
S00205,205,5,8.8,2.8,2,1,0,0,20.5,0,honest_distracted,train
S00413,413,4,5.1,4.1,1,2,0,0,16.1,0,honest_distracted,train
S00230,230,5,0.4,0.8,1,0,0,0,6.3,0,honest_normal,train
S00128,128,6,1.0,0.8,0,2,0,0,0.0,0,honest_normal,train
S00057,57,2,1.4,0.4,0,0,0,0,4.8,0,honest_normal,val
S00262,262,5,13.8,0.0,3,3,1,1,34.9,1,cheating_collaboration,train
S00315,315,2,5.5,2.9,3,1,0,0,7.2,0,honest_distracted,train
S00084,84,7,2.2,0.3,0,0,0,0,0.0,0,honest_normal,train
S00062,62,5,2.3,0.5,0,0,0,0,15.2,0,honest_normal,train
S00095,95,5,2.1,0.5,0,0,0,0,6.0,0,honest_normal,val
S00002,2,4,0.0,0.0,0,0,0,0,7.5,0,honest_normal,train
S00202,202,4,2.8,1.3,0,0,0,0,6.2,0,honest_normal,train
S00315,315,1,0.1,0.4,0,0,0,0,11.5,0,honest_normal,train
S00199,199,5,0.0,0.0,1,0,0,0,6.0,0,honest_normal,train
S00394,394,1,3.5,0.2,0,0,0,0,2.9,0,honest_normal,train
S00314,314,2,2.2,0.2,0,0,0,0,1.6,0,honest_normal,train
S00063,63,6,2.7,0.3,0,0,0,1,2.7,0,honest_normal,train
S00044,44,5,0.2,7.9,1,1,0,1,9.7,0,honest_environment_noise,test
S00009,9,2,6.3,3.3,0,0,0,0,16.1,0,honest_distracted,train
S00200,200,8,1.7,1.1,0,0,0,0,8.2,0,honest_normal,test
S00332,332,2,0.7,0.1,0,0,0,0,2.9,0,honest_normal,train
S00040,40,7,1.5,1.2,0,0,0,0,0.2,0,honest_normal,val
S00125,125,1,2.2,0.0,0,0,0,0,8.2,0,honest_normal,train
S00412,412,3,1.3,0.0,0,0,0,0,0.1,0,honest_normal,train
S00246,246,1,16.4,2.0,7,6,0,1,31.3,1,cheating_lookup,test
S00235,235,2,6.4,4.4,3,3,1,1,27.4,1,cheating_collaboration,test
S00177,177,8,2.0,11.0,1,1,0,1,14.8,0,honest_environment_noise,val
S00313,313,4,2.2,0.0,0,0,0,0,10.1,0,honest_normal,train
S00085,85,7,1.8,0.0,0,0,0,0,0.0,0,honest_normal,val
S00325,325,1,1.3,0.0,0,0,0,0,0.7,0,honest_normal,train
S00262,262,3,6.7,1.0,2,0,1,1,34.9,1,cheating_collaboration,train
S00348,348,3,17.1,0.0,3,2,1,0,33.5,1,cheating_collaboration,train
S00089,89,3,2.4,0.8,0,0,0,0,6.9,0,honest_normal,train
S00420,420,6,0.4,0.0,0,0,0,0,2.6,0,honest_normal,test
S00137,137,4,21.0,3.9,6,7,0,0,29.6,1,cheating_lookup,train
S00029,29,7,1.1,0.5,0,0,0,0,1.5,0,honest_normal,train
S00242,242,6,3.3,1.9,0,0,0,0,6.6,0,honest_normal,train
S00237,237,8,2.6,0.9,1,0,0,0,12.0,0,honest_normal,test
S00235,235,4,15.1,4.4,3,5,1,1,53.5,1,cheating_collaboration,test
S00157,157,2,0.9,1.7,0,0,0,0,6.8,0,honest_normal,train
S00024,24,3,2.4,1.1,0,0,0,0,3.0,0,honest_normal,train
S00149,149,6,2.0,0.0,2,1,0,0,6.2,0,honest_distracted,train
S00138,138,6,0.7,1.0,0,0,0,0,11.1,0,honest_normal,train
S00144,144,6,0.0,0.4,0,0,0,0,1.6,0,honest_normal,val
S00054,54,2,3.0,0.3,0,0,0,0,14.9,0,honest_normal,train
S00064,64,3,10.9,1.6,3,1,0,0,16.9,0,honest_distracted,val
S00098,98,1,20.3,4.1,7,2,0,0,26.4,1,cheating_lookup,train
S00076,76,5,25.4,5.9,9,6,0,0,24.7,1,cheating_lookup,train
S00380,380,5,0.9,0.4,0,0,0,0,9.5,0,honest_normal,train
S00157,157,5,2.3,0.4,0,1,0,0,7.9,0,honest_normal,train
S00085,85,2,3.4,0.7,0,0,0,0,7.4,0,honest_normal,val
S00319,319,3,1.0,0.8,1,0,0,0,8.7,0,honest_normal,train
S00084,84,5,1.8,0.9,0,0,0,0,1.7,0,honest_normal,train
S00185,185,3,3.0,7.2,0,0,0,1,16.0,0,honest_environment_noise,train
S00238,238,5,4.1,0.0,0,0,0,0,12.1,0,honest_normal,train
S00056,56,9,1.5,0.8,0,0,0,0,6.6,0,honest_normal,train
S00234,234,3,0.0,6.3,1,0,0,1,2.8,0,honest_environment_noise,val
S00172,172,1,0.0,0.0,1,1,0,0,7.4,0,honest_normal,train
S00094,94,2,25.8,7.7,2,3,0,0,20.1,1,cheating_lookup,train
S00046,46,3,1.7,0.0,0,0,0,0,10.1,0,honest_normal,train
S00345,345,7,3.1,0.7,0,1,0,0,9.7,0,honest_normal,test
S00057,57,1,2.8,0.2,0,0,0,0,9.2,0,honest_normal,val
S00348,348,1,10.4,1.0,2,0,1,1,40.6,1,cheating_collaboration,train
S00342,342,2,2.8,1.4,0,0,0,0,10.0,0,honest_normal,train
S00149,149,4,18.4,0.7,7,5,0,0,28.1,1,cheating_lookup,train
S00012,12,7,7.0,6.8,1,0,0,0,13.7,0,honest_environment_noise,test
S00391,391,8,1.1,0.3,0,0,0,0,0.0,0,honest_normal,train
S00056,56,1,0.9,1.1,0,0,0,0,9.5,0,honest_normal,train
S00323,323,4,4.1,3.8,0,0,0,1,3.9,0,honest_environment_noise,train
S00033,33,3,21.4,2.2,12,5,0,0,33.9,1,cheating_lookup,test
S00041,41,4,9.9,2.3,2,3,1,1,33.5,1,cheating_collaboration,train
S00107,107,7,1.8,0.7,0,0,0,0,6.2,0,honest_normal,train
S00222,222,2,6.3,0.0,1,1,0,0,26.7,0,honest_distracted,val
S00381,381,5,9.5,1.3,4,3,0,0,7.0,0,honest_distracted,train
S00155,155,3,4.5,12.5,3,0,0,0,9.7,0,honest_environment_noise,test
S00393,393,2,0.0,1.0,0,1,0,0,7.2,0,honest_normal,test
S00007,7,3,1.2,1.0,0,0,0,0,0.0,0,honest_normal,train
S00327,327,6,10.0,0.0,0,1,0,0,13.7,0,honest_distracted,train
S00263,263,2,2.6,0.6,0,0,0,0,10.3,0,honest_normal,test
S00295,295,1,1.7,1.7,0,0,0,0,8.5,0,honest_normal,test
S00206,206,6,2.0,0.0,0,1,0,0,9.9,0,honest_normal,train
S00004,4,9,1.4,1.1,1,0,0,0,3.2,0,honest_normal,train
S00215,215,6,2.0,2.4,0,2,0,1,39.3,1,cheating_collaboration,test
S00352,352,7,2.5,0.7,0,0,0,0,7.8,0,honest_normal,val
S00192,192,1,15.0,0.0,3,3,1,1,35.3,1,cheating_collaboration,train
S00326,326,5,18.7,3.5,6,3,0,0,23.3,1,cheating_lookup,train
S00047,47,9,2.2,0.1,0,0,0,0,6.7,0,honest_normal,train
S00198,198,9,10.7,7.9,8,10,0,0,32.2,1,cheating_lookup,train
S00100,100,1,12.3,2.0,4,3,1,1,31.1,1,cheating_collaboration,train
S00416,416,2,1.2,0.8,0,0,0,0,8.1,0,honest_normal,train
S00113,113,3,0.5,1.0,0,0,0,0,6.3,0,honest_normal,train
S00265,265,7,3.3,0.0,0,0,0,0,7.3,0,honest_normal,train
S00103,103,6,1.9,7.1,0,0,0,1,5.2,0,honest_environment_noise,train
S00355,355,5,2.1,0.0,0,0,0,0,2.7,0,honest_normal,train
S00402,402,4,1.3,0.4,0,0,0,0,9.3,0,honest_normal,train
S00252,252,1,1.0,0.1,0,0,0,0,8.0,0,honest_normal,train
S00368,368,2,3.3,0.6,1,0,0,0,0.0,0,honest_normal,train
S00254,254,1,1.2,0.0,0,0,0,0,9.5,0,honest_normal,train
S00188,188,5,3.5,3.5,1,0,0,1,11.7,0,honest_environment_noise,train
S00379,379,5,1.9,0.8,0,0,0,1,12.6,0,honest_normal,train
S00308,308,3,2.4,0.6,0,0,0,0,7.3,0,honest_normal,val
S00076,76,3,19.0,8.9,7,5,0,0,19.9,1,cheating_lookup,train
S00005,5,6,3.9,5.2,0,0,0,1,14.1,0,honest_environment_noise,train
S00088,88,3,0.5,0.0,0,0,0,1,7.2,0,honest_normal,train
