age,annual_income,spending_score,num_purchases,account_balance,tenure_months,support_calls,region,noise_feature1,noise_feature2,true_segment
42.0,46281.0,83.3,21,3146.06,80,1,3,-0.637,48.282,3
35.6,51050.0,80.6,20,3424.87,12,2,1,-0.989,72.085,3
19.6,24471.0,88.7,3,588.68,12,3,1,-0.788,77.92,0
48.3,43599.0,48.0,6,7809.89,71,3,3,0.435,16.406,2
49.8,85194.0,10.5,12,13096.33,102,0,1,-2.287,75.122,1
31.9,22589.0,64.9,5,530.11,73,4,1,0.12,67.832,0
33.0,22107.0,68.3,5,80.15,90,3,2,2.031,70.151,0
40.2,68735.0,17.9,8,20401.82,38,1,0,-0.292,55.544,1
31.4,47887.0,67.9,19,2551.11,80,4,1,-0.44,26.125,3
43.7,66884.0,37.0,9,14600.35,17,4,0,-0.391,35.693,1
57.1,52487.0,60.3,9,8709.33,47,2,3,2.557,72.838,2
50.1,47946.0,62.0,11,9027.05,86,3,0,2.041,6.309,2
36.4,62664.0,28.5,8,14504.71,101,2,2,-0.062,6.544,1
42.2,49664.0,75.9,26,3430.94,45,1,2,-0.312,75.9,3
30.1,44702.0,90.6,23,3041.67,103,3,1,0.912,57.142,3
45.1,61945.0,24.5,12,13093.2,66,0,1,-0.134,13.723,1
38.1,79586.0,23.8,14,16661.03,39,2,3,0.209,6.376,1
50.4,63112.0,12.8,16,14149.45,83,1,3,-0.351,51.742,1
42.2,68465.0,25.7,18,16953.72,40,2,0,1.05,94.853,1
28.3,16959.0,97.0,5,432.84,110,0,2,0.226,75.758,0
57.7,66392.0,59.7,12,10474.86,23,0,2,-0.098,59.438,2
61.0,51935.0,59.5,6,6248.7,38,5,0,-0.552,84.907,2
28.2,30917.0,66.1,5,590.42,3,2,2,-1.143,32.401,0
48.0,80228.0,48.2,12,14568.35,86,1,0,0.182,57.097,1
38.3,45166.0,87.4,21,2372.95,41,4,0,0.273,93.257,3
28.9,28085.0,74.2,1,383.41,72,1,3,-1.315,30.386,0
23.7,31983.0,53.3,2,572.76,38,1,2,-1.035,15.564,0
33.1,85935.0,25.0,8,14510.38,82,2,2,0.24,67.14,1
46.2,53582.0,84.4,16,2126.76,112,2,3,-1.168,68.895,3
21.7,26390.0,77.8,4,622.55,93,1,1,-0.078,35.828,0
60.2,67572.0,59.1,13,7830.22,93,2,3,-1.561,5.945,2
32.9,58791.0,56.3,17,1992.57,50,1,0,0.615,60.032,3
19.6,28064.0,73.6,4,288.02,95,3,3,-0.618,4.539,0
58.0,38401.0,38.1,6,9371.28,112,2,2,0.036,25.52,2
40.7,80461.0,32.2,17,15815.04,63,0,1,0.705,12.493,1
57.9,52240.0,68.4,8,8288.47,99,4,0,2.628,11.071,2
56.2,64430.0,59.2,7,9734.69,95,0,1,0.051,4.175,2
57.4,57811.0,60.5,7,14024.35,101,3,3,0.113,73.525,2
24.5,27180.0,85.4,9,700.14,63,1,3,-0.813,95.046,0
44.2,46572.0,97.7,14,3031.91,29,5,1,3.955,50.463,3
42.5,75860.0,30.8,10,16784.37,102,1,0,-1.438,77.877,1
18.0,25681.0,62.4,4,449.22,18,1,1,0.237,44.628,0
24.1,34676.0,79.6,9,963.65,92,0,1,0.325,45.42,0
60.6,39114.0,64.6,9,8042.92,115,4,0,-1.397,76.433,2
53.8,47278.0,50.7,6,8309.16,90,1,3,-0.287,70.602,2
36.9,28768.0,76.9,4,557.59,45,2,0,0.199,13.837,0
52.5,63200.0,57.9,6,9430.81,102,8,2,-0.768,92.05,2
23.7,33935.0,78.2,5,806.45,53,1,1,0.581,98.073,0
46.3,70538.0,49.7,6,10692.89,38,1,3,-0.713,6.884,2
26.9,34675.0,74.4,3,630.55,78,5,0,-0.142,14.234,0
53.4,78315.0,67.9,9,6309.17,102,1,3,1.038,94.51,2
40.1,87031.0,28.8,8,17582.79,102,3,0,0.342,56.133,1
38.6,41487.0,82.8,18,3353.28,108,7,0,1.136,71.015,3
20.5,24881.0,65.3,4,585.46,117,0,3,-0.123,37.657,0
46.5,81651.0,14.5,14,7889.55,94,3,3,1.05,35.139,1
21.3,28080.0,70.2,6,812.33,54,2,1,0.862,65.512,0
31.2,47933.0,99.8,26,3078.69,91,5,3,-1.435,70.325,3
25.6,51171.0,81.3,18,2363.65,14,3,2,-1.186,6.448,3
39.2,61986.0,25.3,11,6929.94,10,6,3,0.217,98.696,1
58.5,47851.0,78.2,9,8743.51,33,2,3,-1.053,67.987,2
44.3,30761.0,86.8,21,2756.27,57,1,0,0.022,6.297,3
63.5,49251.0,39.1,7,7681.93,30,3,2,0.297,6.137,2
56.7,75782.0,68.2,9,8372.44,42,4,2,-2.2,95.112,2
25.2,21681.0,80.9,5,480.76,58,1,2,0.666,28.629,0
22.2,29632.0,73.1,6,409.33,65,1,2,-1.114,31.387,0
41.7,43628.0,89.7,22,1178.04,19,6,2,-0.235,48.484,3
36.7,39871.0,73.5,23,1536.67,112,1,0,1.103,19.549,3
55.0,59291.0,59.0,4,8778.17,19,2,1,-0.905,4.433,2
38.2,56524.0,34.3,12,13347.92,40,2,3,-1.931,31.794,1
31.6,60664.0,22.0,15,23098.39,5,0,3,-0.269,14.835,1
55.4,57249.0,77.8,9,8627.52,25,1,3,-0.636,61.412,2
26.1,37007.0,87.4,29,2819.35,116,0,1,-0.265,12.386,3
43.7,48017.0,67.5,15,3039.79,33,3,0,-1.557,96.363,3
29.3,49114.0,69.9,25,2821.38,56,2,2,0.667,77.036,3
48.4,54391.0,49.1,12,10403.95,119,1,0,-0.444,86.474,2
18.0,28703.0,78.2,7,376.23,85,2,1,-0.34,67.011,0
32.5,36246.0,60.0,5,718.34,31,2,3,-2.066,92.37,0
41.8,45465.0,82.2,18,3818.87,52,3,3,-1.309,41.235,3
59.7,52670.0,36.4,7,7601.03,78,1,2,-0.47,11.613,2
27.1,21295.0,76.0,7,568.05,64,2,1,1.494,61.072,0
18.0,19590.0,68.5,7,684.06,116,3,0,-0.074,82.414,0
65.7,58132.0,41.8,10,6834.81,31,3,1,0.662,90.156,2
26.3,23225.0,83.3,7,591.57,16,4,0,0.836,30.498,0
28.7,26372.0,72.6,3,400.34,40,3,1,0.026,8.645,0
53.0,65008.0,60.7,10,9300.65,89,1,0,-0.274,37.36,2
58.5,47906.0,61.7,7,9733.38,118,2,3,-0.873,42.375,2
59.6,60967.0,62.5,11,6900.65,69,2,1,0.156,10.378,2
26.0,26732.0,62.9,4,358.0,25,0,0,-1.33,42.336,0
43.2,75212.0,37.4,9,5885.44,95,1,3,-0.112,46.553,2
23.4,26763.0,75.2,4,607.12,79,1,3,-0.413,66.771,0
45.4,92183.0,28.8,13,13509.13,10,2,0,1.408,14.181,1
57.6,55154.0,40.6,4,7177.56,103,3,3,-0.757,42.63,2
57.2,41117.0,42.5,11,9022.41,115,0,1,-0.496,99.989,2
30.9,57192.0,80.8,13,2343.57,105,3,3,0.994,30.888,3
51.4,63805.0,32.8,10,8161.58,105,1,1,-0.859,21.996,2
57.1,50673.0,41.2,5,6670.11,76,1,3,-0.062,5.733,2
23.8,29022.0,84.8,1,256.04,78,0,3,0.228,8.832,0
38.1,61647.0,42.6,11,12670.62,62,3,2,-0.415,52.426,1
35.1,86380.0,47.1,16,16221.42,90,1,0,-0.545,33.075,1
20.6,28913.0,82.6,2,517.02,7,1,3,0.798,81.096,0
31.8,41324.0,83.8,22,4414.95,3,1,1,1.4,1.969,3
41.0,78594.0,37.7,14,18285.23,26,0,0,2.46,78.239,1
42.3,39241.0,69.2,21,3370.92,54,2,1,-1.464,80.707,3
57.2,49385.0,37.7,9,9544.13,66,1,0,1.069,16.506,2
34.2,61442.0,94.8,19,2592.94,32,2,2,-0.566,85.443,3
51.9,44556.0,50.1,11,6829.84,39,1,2,0.431,11.438,2
46.9,48160.0,48.3,10,8593.46,13,4,1,0.734,55.109,2
42.0,77578.0,25.7,12,18054.78,108,2,3,0.372,60.118,1
29.4,23083.0,80.3,2,410.42,66,0,0,0.317,60.888,0
57.8,68659.0,54.5,9,8122.93,75,4,0,-0.913,50.51,2
36.8,65254.0,30.9,16,9929.38,37,2,2,0.054,64.999,1
24.2,25620.0,58.4,5,598.74,100,1,0,-0.766,41.388,0
51.5,67461.0,57.5,6,6482.71,111,2,0,-1.35,99.648,2
24.7,28825.0,77.3,3,357.89,82,2,3,-0.142,57.256,0
38.4,44225.0,77.9,17,2376.3,58,0,1,-0.887,15.432,3
28.0,34723.0,87.8,17,1709.63,15,3,3,2.363,47.853,3
49.0,40249.0,65.2,17,3076.34,87,3,2,1.874,87.87,3
41.9,78942.0,27.8,10,14358.74,78,3,3,-1.022,16.134,1
28.4,18603.0,80.5,4,729.82,59,2,0,1.214,57.134,0
40.2,52141.0,77.5,20,4135.05,94,1,2,-0.905,85.313,3
42.0,67739.0,33.8,8,18540.74,73,0,2,-0.56,65.557,1
50.1,43584.0,63.7,21,2788.47,115,2,0,-0.602,21.029,3
31.5,46659.0,73.2,25,2393.27,98,2,0,-0.266,53.36,3
34.3,42585.0,85.4,15,2050.15,89,4,0,0.713,65.947,3
39.1,75025.0,22.6,20,17191.49,47,0,1,-2.995,3.485,1
39.5,72424.0,42.1,9,17377.45,46,2,2,-0.23,61.787,1
28.4,51745.0,88.5,23,2269.27,87,1,2,0.187,75.002,3
44.9,74465.0,25.7,13,16031.27,58,0,0,-0.376,55.323,1
22.5,17334.0,79.2,4,605.97,75,3,3,1.087,44.08,0
60.7,52258.0,35.4,7,6661.15,70,2,0,-0.654,54.741,2
30.2,39150.0,71.6,23,2950.03,52,2,3,-0.832,3.661,3
63.8,52215.0,63.1,12,9051.03,75,2,1,-1.08,42.935,2
42.5,59232.0,59.3,6,6647.07,45,3,0,-0.204,14.582,2
30.1,35558.0,73.7,3,637.76,116,0,2,-0.269,73.246,0
52.7,54257.0,59.4,9,8615.41,76,1,2,0.131,86.516,2
50.6,36581.0,87.2,26,2602.78,96,1,1,0.465,68.907,3
24.2,32990.0,75.6,8,217.11,40,4,2,-0.252,46.918,0
54.2,50207.0,70.7,7,7531.56,115,2,2,-0.013,7.261,2
32.8,38278.0,68.4,18,3596.42,12,1,0,0.352,43.667,3
50.1,50210.0,55.9,10,8873.56,81,3,0,2.062,90.369,2
47.5,55059.0,47.6,4,5696.33,53,4,3,-0.17,20.838,2
58.6,56290.0,39.3,9,6800.11,59,4,1,1.193,78.571,2
42.0,82452.0,30.7,11,14420.56,115,1,0,1.681,31.758,1
39.2,107917.0,23.6,13,22154.07,27,0,3,1.297,92.699,1
33.1,41178.0,84.1,23,2411.9,46,2,2,1.957,71.315,3
43.0,47783.0,71.3,20,2439.64,30,1,0,-0.181,41.582,3
34.0,31767.0,86.1,18,3824.97,73,2,3,1.998,3.656,3
29.2,49192.0,79.5,18,1213.78,66,5,2,-1.76,11.106,3
60.1,52971.0,61.4,9,15188.75,25,1,2,2.091,74.852,2
56.1,59132.0,60.5,7,10004.84,44,1,2,-0.347,87.116,2
30.6,47058.0,88.4,19,3134.6,22,1,1,0.299,88.802,3
59.8,46709.0,86.9,8,9167.79,81,5,2,-0.818,92.697,2
58.2,60913.0,64.9,10,7826.99,63,2,0,-0.762,62.756,2
45.8,49396.0,67.7,17,2058.47,92,6,2,0.135,12.5,3
44.0,48129.0,68.8,20,3887.8,112,1,3,-0.885,5.863,3
44.3,101625.0,41.9,24,18613.47,100,2,0,-0.819,21.539,1
40.8,83745.0,18.3,10,12307.68,51,0,0,-0.144,25.616,1
26.2,25341.0,64.1,5,479.84,102,3,3,0.208,92.136,0
49.4,71076.0,60.4,10,8087.71,31,1,3,-0.433,78.151,2
29.3,27743.0,66.5,5,434.66,12,3,3,-1.581,41.174,0
50.4,81526.0,46.8,10,16254.51,12,1,3,-0.21,40.544,1
49.3,71766.0,66.6,9,7120.48,20,0,3,-0.737,3.372,2
38.3,67630.0,39.8,8,13933.71,49,4,3,-1.131,93.997,1
51.9,64384.0,69.4,8,7451.73,77,7,2,0.296,31.068,2
32.2,38225.0,84.0,2,161.02,110,2,1,-0.196,3.559,0
24.1,29126.0,76.9,7,176.39,76,1,2,0.475,20.791,0
44.1,47393.0,86.5,19,3146.1,101,1,1,-0.653,22.921,3
46.8,92067.0,28.1,11,16368.61,100,1,1,-1.932,97.408,1
20.6,28484.0,79.9,4,746.38,117,2,1,0.904,31.832,0
45.1,60698.0,44.5,12,3076.18,97,3,1,-1.139,87.649,2
41.9,43513.0,77.0,16,2585.0,91,2,0,-1.421,65.265,3
19.4,23391.0,79.8,4,335.74,74,0,2,-0.852,39.612,0
56.2,55618.0,50.5,15,8482.09,77,0,3,0.267,33.367,2
28.6,27844.0,87.9,7,419.59,104,4,1,-0.529,36.248,0
21.4,34232.0,65.3,9,562.08,116,3,3,0.567,35.838,0
57.8,70629.0,65.2,10,12625.91,114,0,3,0.05,67.167,2
57.8,53583.0,52.2,12,8815.1,38,1,3,-0.519,46.775,2
54.3,57376.0,66.2,11,5950.68,117,3,0,-0.704,80.827,2
58.9,55817.0,48.5,6,6012.73,4,4,3,0.268,83.339,2
30.9,43384.0,78.3,9,1758.44,11,0,0,1.134,94.67,3
53.2,51636.0,62.5,9,7942.05,60,2,2,0.753,8.932,2
39.8,87079.0,37.8,16,10755.83,68,1,3,0.713,71.042,1
38.1,51154.0,70.1,17,1845.97,95,0,3,1.545,35.277,3
36.6,86450.0,30.0,11,12390.96,95,2,1,-1.321,36.034,1
39.7,70479.0,33.1,18,10138.4,60,3,0,-0.146,50.618,1
21.4,34048.0,68.4,4,381.98,73,1,3,0.621,97.715,0
27.4,26550.0,73.8,5,479.96,61,1,1,0.887,53.245,0
31.2,42943.0,83.5,21,4061.11,69,0,0,-0.798,29.656,3
35.6,35125.0,78.7,28,3555.2,43,6,3,0.105,10.362,3
59.3,69414.0,60.2,8,5387.4,88,0,1,0.666,55.11,2
43.5,89271.0,39.8,9,13511.52,67,1,0,-1.421,50.803,1
20.1,38888.0,84.6,1,239.5,43,0,2,0.962,45.211,0
27.2,25811.0,76.0,4,286.1,36,1,2,1.001,47.888,0
46.7,78094.0,22.5,16,13935.47,100,2,3,-2.206,21.641,1
60.6,74014.0,53.4,6,7010.69,11,5,0,0.838,35.726,2
62.8,54882.0,56.5,5,8278.0,5,2,2,1.962,48.326,2
54.7,49615.0,61.4,12,7197.75,66,1,2,-0.353,4.784,2
54.1,81808.0,37.5,13,14067.38,102,1,0,0.039,22.072,1
22.6,47709.0,71.9,17,2998.61,54,4,2,-1.245,58.813,3
59.5,64208.0,18.0,12,7054.95,13,4,3,0.671,80.085,2
56.0,49301.0,40.8,11,7350.32,12,1,2,0.307,93.781,2
57.2,52131.0,63.6,9,9615.55,16,1,3,-0.167,89.768,2
41.8,63775.0,14.3,11,16511.47,38,1,3,-0.921,35.18,1
23.9,22745.0,86.4,3,568.18,80,2,3,0.005,13.281,0
35.2,80915.0,49.9,10,18777.9,75,3,1,-0.33,23.059,1
33.3,43560.0,87.2,16,1070.77,73,2,1,-0.337,77.322,3
23.7,32692.0,75.4,5,38.24,24,4,1,-0.952,18.397,0
27.9,34102.0,67.2,6,222.67,99,1,2,-1.457,92.325,0
26.3,24264.0,44.9,5,618.42,102,4,0,2.411,67.325,0
26.3,30980.0,66.2,1,337.05,24,0,1,-1.07,43.04,0
41.7,58325.0,82.4,12,1256.12,116,4,1,-0.692,56.122,3
61.9,45712.0,56.3,7,7107.78,38,3,1,0.853,41.596,2
33.7,50037.0,5.1,14,16430.13,94,2,3,1.161,70.706,1
27.4,25252.0,67.2,5,325.1,106,3,2,-0.706,4.351,0
40.3,87566.0,51.3,15,11712.48,35,4,2,1.669,0.824,1
31.3,74327.0,26.2,14,14182.45,21,3,2,0.54,15.493,1
24.8,22646.0,84.1,3,306.6,118,1,3,-1.017,19.273,0
34.8,67562.0,36.8,6,12984.25,116,4,0,0.54,78.008,1
48.6,83485.0,47.4,12,12359.38,17,6,0,1.143,47.005,1
59.5,42813.0,56.8,11,7906.93,116,3,2,0.283,87.299,2
66.7,34499.0,67.1,9,6853.05,88,3,0,0.523,30.795,2
19.8,24135.0,92.6,9,790.36,64,0,2,-1.007,39.225,0
39.5,67020.0,37.1,13,13400.62,27,3,3,2.14,90.943,1
49.1,58625.0,43.0,9,7186.69,94,1,3,-1.66,32.163,2
63.0,67652.0,43.5,8,9786.39,77,3,3,-0.138,51.918,2
38.8,39222.0,78.4,19,4219.96,67,1,2,-0.792,89.56,3
47.8,37644.0,57.8,11,9302.33,28,3,1,0.606,91.91,2
29.1,31815.0,87.8,6,257.92,53,2,0,-0.98,98.087,0
26.0,20408.0,76.1,4,555.55,62,2,1,1.815,25.351,0
58.3,37687.0,71.9,8,8588.47,22,3,1,-0.907,31.116,2
25.6,30626.0,80.9,6,530.46,18,2,3,0.917,25.648,0
57.0,50998.0,50.8,10,10808.5,34,3,2,0.202,95.428,2
41.8,39093.0,88.7,18,4906.84,10,2,0,0.771,23.989,3
50.6,51666.0,64.7,9,7994.03,38,2,1,0.621,26.349,2
40.4,92489.0,20.7,11,18907.8,85,5,1,0.042,40.923,1
52.7,49086.0,52.0,5,7722.08,58,1,0,-1.426,66.734,2
44.3,89885.0,26.2,12,11538.72,62,2,3,-0.091,84.931,1
53.4,60571.0,55.9,9,7911.7,33,1,1,-1.222,70.151,2
38.5,28554.0,93.6,18,3204.76,24,0,1,-0.598,97.994,3
37.9,80152.0,18.5,6,5675.28,13,0,3,-0.236,94.213,1
37.2,54404.0,85.2,20,2184.68,39,1,3,0.664,65.643,3
30.6,33602.0,82.9,17,2535.09,113,2,3,-0.294,74.37,3
22.6,26751.0,77.5,5,239.79,107,0,1,1.701,39.674,0
25.5,30643.0,61.6,3,414.16,87,1,3,-0.27,80.607,0
32.8,32381.0,57.6,3,46.63,31,1,3,-0.209,31.092,0
23.0,32951.0,75.1,11,563.24,104,2,0,-1.594,55.707,0
20.8,30229.0,70.5,4,650.39,10,2,0,-0.43,67.744,0
56.6,48609.0,59.1,7,6475.31,60,5,3,-0.918,75.57,2
32.9,26294.0,85.7,4,448.35,65,0,3,-1.274,7.903,0
33.9,95382.0,27.8,14,19706.01,2,2,3,-0.975,84.982,1
38.2,39357.0,90.7,19,3474.39,2,0,2,-0.952,11.709,3
30.4,29839.0,79.5,3,646.14,115,1,1,-2.42,17.633,0
32.0,42049.0,79.9,24,3470.78,25,1,3,-0.588,75.839,3
39.7,73171.0,29.1,9,14069.62,94,2,0,0.037,71.121,1
29.9,16084.0,77.6,2,623.38,16,1,0,0.677,96.181,0
54.3,56416.0,68.3,10,5897.42,84,0,2,-1.239,77.339,2
