age,income,monthly_expense,credit_score,loan_amount,loan_tenure_months,num_existing_loans,num_late_payments,employment_type,education,years_employed,num_dependents,loan_default
45,114088.0,74893.95394896099,460,47322,60,4,0,salaried,bachelors,21.0,2,0
32,72249.0,56449.22198070089,499,72638,48,2,4,contract,bachelors,12.0,3,0
38,57384.0,42164.97592878634,515,13524,36,1,0,unemployed,bachelors,7.0,1,0
29,148782.0,56181.44852952656,511,35846,36,2,6,contract,masters,23.0,4,1
56,101929.0,61164.55205067895,807,78643,12,2,4,contract,masters,11.0,3,1
56,147959.0,52980.47075313672,315,65096,24,4,1,self_employed,bachelors,14.0,3,1
54,96153.0,31241.26872703053,797,52703,12,0,0,contract,bachelors,18.0,4,0
26,124056.0,82002.53229451018,631,29399,60,3,6,salaried,masters,28.0,3,0
63,95388.0,56692.310942805685,555,53591,24,2,0,self_employed,masters,20.0,2,1
60,51401.0,17739.154693955148,471,25714,12,3,2,self_employed,bachelors,25.0,3,1
62,145511.0,46449.52457607998,797,40877,48,2,5,salaried,high_school,19.0,1,0
49,91831.0,77538.97665988594,770,64136,60,4,5,salaried,masters,27.0,3,0
28,139503.0,44154.33624433558,683,38414,36,4,6,salaried,high_school,16.0,0,1
30,135760.0,73920.03559874932,806,50468,12,2,0,self_employed,high_school,8.0,3,0
29,121529.0,70187.91499285176,826,77108,60,4,6,salaried,masters,20.0,4,1
33,147834.0,53886.096353462046,624,51835,60,4,1,contract,bachelors,17.0,0,0
55,54084.0,21254.145473823486,513,68333,36,2,5,salaried,masters,27.0,4,0
54,140387.0,69279.96718921159,507,47464,36,0,7,salaried,bachelors,1.0,1,0
44,130641.0,93920.65397943601,468,27923,36,2,4,contract,phd,10.0,2,1
45,125111.0,72426.17403613222,629,66855,12,0,9,self_employed,bachelors,22.0,1,0
58,75826.0,49351.051146919075,579,72445,36,4,2,salaried,masters,19.0,0,1
56,56451.0,47523.048845183024,604,72619,48,0,7,salaried,bachelors,16.0,2,0
61,27227.0,19668.86619300002,445,51146,60,4,7,self_employed,high_school,20.0,3,1
43,51910.0,27974.237952680836,815,65032,36,0,3,unemployed,bachelors,17.0,0,0
48,56041.0,30572.778456670214,389,22140,60,0,7,contract,masters,14.0,2,1
56,108920.0,69744.16004721845,752,7670,24,2,4,self_employed,high_school,6.0,4,1
22,85681.0,57059.336032397085,359,41519,24,0,4,salaried,bachelors,15.0,2,1
56,123314.0,70953.76690974282,610,49512,36,4,2,salaried,bachelors,24.0,4,0
58,101571.0,66495.85959439717,827,62811,60,2,6,salaried,high_school,28.0,4,0
35,85481.0,26750.669635256367,526,19691,24,0,8,salaried,bachelors,0.0,2,1
24,88576.0,47502.651135889784,773,39262,36,2,8,salaried,phd,27.0,1,0
22,127958.0,58018.19708601547,840,59892,60,3,0,salaried,bachelors,17.0,1,0
26,149265.0,55384.172963067074,378,30595,36,2,0,self_employed,bachelors,26.0,4,0
47,147556.0,52345.5768842064,732,62207,60,3,9,salaried,phd,21.0,0,0
35,84174.0,53177.403541646956,452,38440,24,3,4,self_employed,bachelors,7.0,2,1
60,46160.0,27141.170691110503,700,13630,36,2,0,contract,bachelors,6.0,0,0
48,135170.0,59403.33080191957,578,36250,24,4,3,self_employed,high_school,24.0,1,0
30,137867.0,77070.75946403464,356,79191,36,4,0,self_employed,bachelors,29.0,0,1
36,37633.0,21478.198294492762,485,69791,12,4,1,self_employed,bachelors,1.0,3,1
36,114880.0,46785.4474200335,697,68753,24,1,1,salaried,bachelors,11.0,3,0
47,37014.0,24379.31492586808,457,65520,24,3,3,salaried,masters,15.0,1,1
63,100532.0,73338.66160491355,658,9008,48,2,7,salaried,bachelors,8.0,0,0
34,69104.0,50812.513091296125,739,49464,24,4,1,salaried,high_school,19.0,2,0
53,61621.0,38904.93639077768,765,5496,60,4,8,self_employed,phd,10.0,1,1
60,97231.0,56530.22205929844,745,28212,36,2,8,contract,bachelors,14.0,3,0
53,,,787,25637,12,3,1,unemployed,phd,2.0,1,1
25,36014.0,16505.476018262954,829,50227,60,2,0,salaried,bachelors,22.0,0,1
51,112578.0,39548.57211446605,372,14884,60,1,9,unemployed,high_school,20.0,0,1
58,53755.0,44622.172707162295,316,73259,60,1,9,salaried,bachelors,12.0,0,1
44,60390.0,22603.61951681553,830,54810,60,2,8,contract,bachelors,20.0,4,0
60,43711.0,16762.140217000837,625,9761,12,3,1,salaried,bachelors,27.0,0,0
36,111658.0,88127.99032725036,845,78166,48,4,7,salaried,bachelors,12.0,3,1
64,77993.0,63888.78923724866,501,21375,24,1,2,salaried,bachelors,1.0,3,0
50,94696.0,68295.32068466397,643,30218,60,1,0,contract,bachelors,5.0,4,0
57,47213.0,14304.250463746768,822,35565,24,3,0,salaried,bachelors,5.0,3,0
34,135788.0,40836.94409235743,699,37975,24,1,9,salaried,bachelors,11.0,3,0
53,124956.0,63472.07788425839,517,32073,60,1,1,contract,bachelors,3.0,1,0
28,77784.0,29469.826003509996,744,74726,48,3,6,contract,bachelors,4.0,0,1
43,27421.0,8503.591522166422,521,6883,24,2,5,salaried,high_school,22.0,1,1
49,106936.0,59374.78952398807,682,73422,36,4,1,self_employed,high_school,29.0,1,0
23,119073.0,97483.16512046717,306,54629,24,4,3,salaried,bachelors,7.0,3,1
63,37727.0,18037.307606289218,571,69170,60,1,1,salaried,bachelors,5.0,2,1
27,132418.0,87876.20949589413,315,79489,12,4,0,salaried,bachelors,20.0,0,1
49,24358.0,16045.331802379995,723,13381,24,2,2,salaried,phd,27.0,2,1
49,85108.0,37285.3090045043,823,28238,48,1,3,salaried,bachelors,2.0,3,0
41,146609.0,96429.70741764986,320,18795,36,4,9,self_employed,bachelors,22.0,4,1
51,114018.0,47520.84229413352,527,67999,36,0,4,salaried,phd,7.0,1,1
32,144457.0,53030.75371869216,587,54907,12,0,4,self_employed,phd,18.0,3,1
49,52117.0,35739.79598143291,433,14638,12,0,6,self_employed,masters,20.0,3,1
46,108700.0,39392.059250557664,582,75467,24,0,9,salaried,high_school,10.0,2,1
60,51910.0,44035.25664533539,703,47623,60,0,7,salaried,bachelors,17.0,4,1
54,146888.0,58887.225965085185,365,43492,48,1,8,self_employed,masters,9.0,1,1
22,118032.0,73979.86378967861,736,31411,36,3,6,self_employed,masters,,4,1
48,75754.0,39865.99810553411,558,25534,12,3,4,self_employed,bachelors,27.0,4,1
34,82438.0,30461.874139653108,402,34181,48,1,8,self_employed,high_school,19.0,4,1
62,129847.0,40942.59632696242,400,24996,60,1,7,salaried,phd,11.0,0,0
24,,,497,77089,36,2,9,self_employed,bachelors,19.0,4,1
60,71501.0,53176.48491266747,525,77666,36,3,8,salaried,bachelors,27.0,3,1
27,80946.0,61770.589854978694,762,34405,60,0,9,contract,bachelors,28.0,0,0
29,58467.0,33062.644746714024,536,76325,36,1,7,self_employed,bachelors,7.0,0,1
48,,,325,33930,60,0,5,salaried,bachelors,18.0,4,1
30,53893.0,36111.86281080398,420,22529,36,3,3,salaried,bachelors,20.0,3,0
58,96329.0,67270.39290870521,805,58546,24,4,8,contract,phd,15.0,1,1
54,51007.0,29121.398602641988,481,12942,60,4,8,salaried,bachelors,26.0,4,1
63,111302.0,72165.59643183608,842,12548,48,1,9,salaried,bachelors,20.0,0,0
45,59532.0,44234.6127778554,614,23296,24,2,9,self_employed,masters,17.0,1,0
36,74253.0,38525.151528199596,572,56016,48,0,8,self_employed,bachelors,8.0,1,1
53,32323.0,24025.310807008602,531,5296,36,1,9,salaried,bachelors,3.0,0,1
53,131335.0,82164.39262623587,719,72945,48,2,2,self_employed,bachelors,8.0,1,0
45,132356.0,51783.69778989089,741,64980,24,0,2,contract,high_school,24.0,3,0
62,130944.0,41060.933255988806,795,61782,60,3,5,unemployed,high_school,1.0,3,1
33,93379.0,46644.16264841983,323,39229,12,4,5,self_employed,bachelors,8.0,4,1
60,34210.0,20549.364765059785,408,58444,48,2,5,unemployed,phd,8.0,4,1
23,36456.0,27775.869917961707,801,40036,12,0,4,self_employed,masters,17.0,1,0
24,51367.0,19011.806312470213,324,44322,48,1,4,salaried,high_school,10.0,0,1
58,74624.0,55230.22916924668,486,32167,48,0,1,self_employed,bachelors,12.0,3,0
38,30106.0,23321.762687494967,587,56667,60,1,6,salaried,high_school,5.0,2,1
23,123493.0,47282.76740770668,637,56468,36,4,3,salaried,bachelors,8.0,4,0
23,88008.0,67623.31206932914,336,77894,24,4,2,salaried,high_school,15.0,3,1
49,145926.0,123351.169337565,436,58084,24,0,7,contract,masters,3.0,1,1
44,135395.0,94744.18894137687,807,68138,24,0,3,self_employed,high_school,1.0,3,0
58,136492.0,99860.73087641095,526,27588,36,1,3,self_employed,high_school,6.0,3,0
53,92240.0,78120.67535379677,619,67901,12,1,7,salaried,bachelors,14.0,1,0
54,84315.0,53372.6334009523,481,22671,24,2,0,salaried,high_school,24.0,4,0
22,89249.0,41887.903439712536,385,36645,12,2,8,salaried,masters,5.0,4,1
40,90587.0,68904.27311654622,766,12637,36,2,6,self_employed,phd,10.0,2,0
23,30756.0,19621.31851523125,352,5660,36,0,1,salaried,high_school,26.0,2,1
47,88011.0,54536.67474040781,534,11922,60,2,5,salaried,bachelors,29.0,4,0
53,56378.0,24778.105941823746,732,49721,24,0,7,salaried,phd,19.0,4,0
27,24255.0,17366.188239803105,795,62256,60,4,4,self_employed,masters,16.0,4,0
53,34484.0,11894.117887417759,399,74506,24,3,5,contract,phd,3.0,4,1
25,145703.0,117780.169491797,702,73943,36,4,9,self_employed,high_school,18.0,3,0
32,76549.0,36682.50305418591,695,32843,36,0,7,salaried,bachelors,6.0,2,0
38,54503.0,20181.156045557065,826,14046,48,0,5,salaried,high_school,10.0,1,0
59,144465.0,78488.06466255251,714,68985,48,3,8,salaried,bachelors,12.0,0,0
45,93794.0,30329.082467843997,762,35346,36,1,8,salaried,masters,26.0,1,0
26,145941.0,98735.5672794729,840,58526,36,1,8,salaried,high_school,25.0,0,0
55,126283.0,100582.89798656401,663,78143,12,1,5,salaried,bachelors,20.0,3,1
27,120732.0,91816.04055781555,429,41787,12,2,8,salaried,bachelors,27.0,2,1
43,65113.0,24095.274688536534,383,38583,60,1,2,salaried,masters,2.0,0,1
32,125730.0,46450.83853770532,570,17563,48,2,4,salaried,high_school,13.0,4,0
37,94069.0,70306.13257476865,543,51060,48,2,1,self_employed,bachelors,1.0,3,1
54,118117.0,95478.67818431293,687,38690,36,1,7,unemployed,bachelors,28.0,0,1
30,25249.0,13971.998893406171,513,19925,36,1,3,contract,high_school,17.0,4,1
27,145654.0,83668.62648462671,465,25108,60,3,5,salaried,bachelors,4.0,3,1
37,139979.0,66496.20126012289,358,73258,48,3,5,salaried,bachelors,12.0,0,1
50,39201.0,31041.147795423327,803,10355,12,2,4,contract,masters,12.0,4,1
24,145541.0,95285.19755653512,422,51069,24,3,0,salaried,bachelors,23.0,2,1
41,78576.0,36030.11076012673,712,59471,60,2,6,contract,bachelors,23.0,3,1
57,138562.0,64338.57369846057,438,37705,24,0,9,self_employed,phd,13.0,0,1
40,145281.0,114795.24079811428,528,48909,12,2,7,contract,phd,11.0,4,1
47,29686.0,9128.406798517519,573,58739,12,2,0,contract,bachelors,20.0,2,1
24,132413.0,63227.1565209488,738,28241,24,3,9,self_employed,bachelors,12.0,4,0
40,73363.0,44376.99806224206,417,32414,60,0,6,self_employed,bachelors,17.0,2,1
41,117543.0,44844.9588311475,782,55818,24,4,3,salaried,bachelors,12.0,0,0
53,20661.0,7244.868798284749,694,25895,60,4,5,salaried,phd,3.0,4,1
28,64843.0,48528.629725297855,759,67409,60,4,8,salaried,masters,22.0,4,0
62,115673.0,91604.04136647632,377,60324,36,0,4,salaried,bachelors,29.0,1,1
54,80963.0,60963.805655896096,711,71920,48,1,7,salaried,high_school,21.0,3,1
61,133092.0,105719.41280150769,374,58555,48,0,4,salaried,high_school,9.0,4,1
60,62828.0,37961.40540471045,594,70453,12,3,1,contract,bachelors,22.0,2,1
39,68604.0,51229.48587283178,320,27689,36,2,3,salaried,bachelors,4.0,3,1
61,30526.0,15605.607068739702,470,69356,48,2,1,salaried,bachelors,17.0,0,1
22,88910.0,59253.83156025572,314,13252,60,3,6,salaried,bachelors,7.0,3,1
32,45592.0,38473.244250902135,510,35844,60,3,6,salaried,bachelors,13.0,1,1
49,48982.0,20775.727452998475,385,28365,24,2,2,salaried,bachelors,27.0,0,1
46,20207.0,10395.387295317125,448,11026,24,1,6,unemployed,high_school,1.0,4,1
44,120969.0,68229.66815220307,671,33523,60,1,0,self_employed,bachelors,27.0,0,0
52,137181.0,51567.506388693735,779,15482,60,1,0,salaried,masters,7.0,0,0
51,108733.0,37466.26417743336,450,53888,24,3,8,salaried,bachelors,15.0,1,1
63,118936.0,89956.9553558558,440,55110,48,2,5,salaried,bachelors,6.0,2,0
56,144982.0,121384.28096870902,368,5493,12,2,4,contract,bachelors,2.0,0,1
28,145839.0,76215.28422111948,559,61194,24,2,5,salaried,bachelors,28.0,2,1
37,88619.0,30857.792458553686,820,44767,48,0,5,salaried,bachelors,3.0,3,1
47,49328.0,16583.899392239615,670,34550,48,0,0,salaried,bachelors,28.0,1,1
23,66479.0,52533.36867234446,718,18833,48,4,4,unemployed,bachelors,6.0,4,1
22,128427.0,71289.54995737721,400,7970,36,0,8,salaried,bachelors,3.0,0,1
33,40103.0,19089.63051185588,542,54177,36,1,3,contract,bachelors,8.0,2,0
26,59891.0,33661.958097689385,811,72342,48,1,2,salaried,bachelors,22.0,0,0
58,30754.0,14610.218270492647,394,76200,60,1,0,self_employed,masters,16.0,1,1
53,119983.0,68266.68868580379,525,66501,36,1,1,self_employed,bachelors,16.0,4,1
30,101437.0,78386.05222879062,817,33900,24,4,2,salaried,high_school,19.0,3,0
62,118540.0,74178.27248913544,513,19126,36,1,3,salaried,bachelors,13.0,3,1
56,92982.0,63419.26340688965,366,75690,60,3,6,salaried,bachelors,13.0,2,1
40,122747.0,61443.32732265486,695,52994,12,3,5,salaried,high_school,28.0,3,0
37,75922.0,53614.46381955158,311,72061,36,3,7,contract,bachelors,24.0,2,1
24,68231.0,45485.47267512245,536,21978,48,0,8,salaried,masters,12.0,4,0
41,49301.0,18032.289328145773,698,61344,48,2,5,self_employed,bachelors,3.0,0,0
45,111652.0,68660.79590983369,706,51648,48,4,6,salaried,bachelors,12.0,1,0
54,140787.0,62116.48063822905,779,6055,12,3,3,salaried,bachelors,20.0,4,0
45,146823.0,108979.75617643716,521,49876,60,3,1,self_employed,bachelors,16.0,4,0
32,82711.0,44189.65359275496,455,43725,24,1,8,self_employed,high_school,14.0,3,1
29,61323.0,51945.259384289304,727,10255,60,3,8,salaried,phd,29.0,3,1
57,38752.0,13597.117334055898,457,79947,12,1,3,salaried,bachelors,17.0,1,1
59,117912.0,85980.40745527967,715,58380,48,1,2,salaried,masters,10.0,0,0
61,102205.0,68532.12712217186,625,58333,60,2,9,contract,high_school,3.0,4,0
41,118452.0,85537.07431462164,670,47459,24,0,5,salaried,masters,27.0,3,0
56,33395.0,15666.976636222083,643,41163,48,1,2,salaried,masters,19.0,4,0
46,105957.0,60462.239642320055,561,38971,24,1,0,self_employed,masters,10.0,0,0
56,141237.0,104244.16059011957,582,70149,36,2,3,salaried,phd,,2,0
46,76273.0,32637.04374269461,528,24476,24,1,0,salaried,high_school,21.0,0,0
50,147431.0,62557.66512966127,579,73580,48,4,1,salaried,bachelors,12.0,4,1
39,111878.0,67471.16320400174,589,74050,36,0,2,contract,bachelors,21.0,4,1
39,24895.0,14637.26342181767,346,12507,48,4,7,unemployed,bachelors,7.0,1,1
23,139968.0,63719.64240231656,513,75393,48,3,9,self_employed,masters,27.0,4,1
56,135700.0,62956.876176920145,323,17118,36,0,3,salaried,bachelors,12.0,3,1
37,96559.0,43723.348112734515,620,55529,24,3,3,self_employed,high_school,8.0,1,0
62,30699.0,22236.256835210366,573,73682,12,1,9,salaried,bachelors,29.0,4,1
57,85061.0,56016.53673908466,612,59176,12,2,8,salaried,masters,,0,1
54,29715.0,22518.902132769614,662,9414,12,4,6,unemployed,phd,0.0,4,1
25,39169.0,32765.266675317558,679,67137,12,3,1,salaried,bachelors,14.0,0,1
54,145436.0,81559.10722593694,769,8937,60,1,2,salaried,bachelors,21.0,0,0
35,138413.0,46601.115113834814,415,41731,12,4,3,contract,bachelors,3.0,4,1
42,36163.0,11805.43922178674,341,43665,36,4,3,self_employed,bachelors,26.0,0,1
41,139264.0,64425.722816017515,678,79510,12,3,9,salaried,high_school,19.0,2,0
29,25782.0,20958.17553147669,505,22500,48,1,7,salaried,bachelors,0.0,1,0
28,108177.0,63582.890256171384,765,6750,12,2,9,salaried,bachelors,24.0,4,0
24,149772.0,67319.9055474942,579,70018,24,3,9,salaried,bachelors,11.0,2,1
38,144481.0,75063.90970076065,417,9027,36,4,5,salaried,high_school,10.0,0,1
54,104328.0,65646.02670092297,536,10745,36,4,2,salaried,masters,18.0,0,0
33,135028.0,88999.9675414701,608,66731,60,0,8,unemployed,masters,14.0,1,1
43,55585.0,21381.088773205527,755,33451,48,1,9,salaried,bachelors,,2,0
43,,,774,76474,36,0,7,salaried,masters,9.0,2,1
51,67864.0,40692.93232657799,399,66536,24,2,8,salaried,bachelors,0.0,4,1
59,149992.0,56191.28918926476,560,17150,12,3,4,salaried,bachelors,23.0,0,1
59,104416.0,82645.20023736445,604,18406,36,4,2,salaried,bachelors,2.0,3,0
29,75114.0,25617.715111655118,653,24781,24,1,3,contract,masters,13.0,4,0
48,147810.0,118137.80590788249,585,62417,12,4,4,contract,bachelors,14.0,4,0
48,,,627,23325,60,0,8,salaried,bachelors,0.0,4,0
55,,,402,73684,36,0,8,contract,bachelors,9.0,1,1
42,142262.0,102961.54941043537,362,78469,36,3,2,salaried,masters,21.0,1,1
51,38073.0,18485.071991054636,581,14436,24,1,6,self_employed,masters,0.0,4,1
54,56035.0,45829.192418620296,740,22669,48,1,5,salaried,bachelors,14.0,3,0
49,84977.0,50250.52703389492,592,77010,60,3,3,contract,masters,2.0,2,1
54,122710.0,86242.26245509226,306,6843,48,0,4,salaried,bachelors,20.0,2,1
26,110373.0,89209.9975105516,391,70609,36,0,9,self_employed,phd,19.0,0,1
40,103362.0,86446.70397222928,489,55812,48,0,1,self_employed,masters,22.0,2,0
25,110517.0,83800.88523289707,775,21059,12,4,6,salaried,high_school,21.0,2,0
56,85450.0,39876.06528438795,810,45768,60,2,3,salaried,masters,11.0,3,1
38,30382.0,25265.70565633695,761,30395,48,0,1,salaried,bachelors,18.0,2,1
49,24437.0,15773.24634174954,352,25202,12,2,5,self_employed,phd,15.0,3,1
51,90971.0,73855.11219391778,785,18273,24,2,1,salaried,masters,26.0,1,0
50,84612.0,56847.22914431217,789,53889,48,1,9,self_employed,high_school,7.0,3,1
27,110355.0,51754.445599087856,663,78048,60,3,1,contract,bachelors,23.0,1,0
56,81929.0,41252.356581173226,411,50510,12,4,6,salaried,bachelors,13.0,3,1
62,122411.0,73784.39038882143,708,75649,48,2,0,salaried,masters,17.0,4,0
58,117518.0,86317.93028273882,306,7881,24,4,6,self_employed,masters,22.0,1,1
45,118864.0,56447.372890384664,496,50913,48,1,9,self_employed,bachelors,29.0,1,1
50,32329.0,20006.870878473765,666,70037,12,0,4,unemployed,bachelors,0.0,2,1
52,145605.0,71360.09995433057,549,67457,48,2,0,salaried,bachelors,1.0,1,0
56,45169.0,33816.81853087974,539,40343,60,3,5,salaried,high_school,23.0,3,1
54,107468.0,59827.48412957976,679,67389,36,1,6,contract,bachelors,11.0,4,1
42,54594.0,18681.93330506353,770,13656,12,4,0,contract,bachelors,16.0,4,0
53,96957.0,37942.074878906926,754,10741,12,0,8,self_employed,high_school,1.0,2,0
44,80631.0,26899.111750161213,665,21661,12,4,6,salaried,high_school,27.0,3,0
54,65033.0,37369.04266848229,589,33690,12,3,0,salaried,high_school,16.0,3,1
24,83133.0,29801.97619724759,702,37833,48,2,2,salaried,masters,20.0,0,0
39,93165.0,33798.11763240253,357,76240,60,3,4,contract,bachelors,6.0,1,1
46,93861.0,76738.55190450417,820,62141,24,4,3,salaried,bachelors,5.0,2,0
63,72290.0,56383.329342183875,603,44023,60,4,1,self_employed,bachelors,5.0,4,1
52,114031.0,62562.83769654829,414,45209,12,3,0,self_employed,bachelors,21.0,0,0
